Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 85°C@120Hz
6.3,4700,0.104,16,15,0.37,ESRG6R3E□□472ML15S,1410
6.3,6800,0.084,18,15,0.43,ESRG6R3E□□682MM15S,1660
6.3,10000,0.073,18,20,0.55,ESRG6R3E□□103MM20S,2020
10,1000,0.318,10,12.5,0.24,ESRG100E□□102MJC5S,625
10,2200,0.163,12.5,15,0.27,ESRG100E□□222MK15S,970
10,3300,0.121,16,15,0.3,ESRG100E□□332ML15S,1310
10,4700,0.093,18,15,0.33,ESRG100E□□472MM15S,1560
10,6800,0.076,18,20,0.39,ESRG100E□□682MM20S,1870
10,10000,0.068,18,25,0.51,ESRG100E□□103MM25S,2370
16,1000,0.265,12.5,13,0.2,ESRG160E□□102MK13S,715
16,2200,0.139,16,15,0.23,ESRG160E□□222ML15S,1160
16,3300,0.104,18,15,0.26,ESRG160E□□332MM15S,1460
16,4700,0.082,18,20,0.29,ESRG160E□□472MM20S,1770
16,6800,0.068,18,25,0.35,ESRG160E□□682MM25S,2170
25,470,0.452,10,12.5,0.16,ESRG250E□□471MJC5S,525
25,1000,0.212,12.5,15,0.16,ESRG250E□□102MK15S,830
25,2200,0.115,18,15,0.19,ESRG250E□□222MM15S,1360
25,3300,0.088,18,20,0.22,ESRG250E□□332MM20S,1720
25,4700,0.071,18,25,0.25,ESRG250E□□472MM25S,2070
35,330,0.563,10,12.5,0.14,ESRG350E□□331MJC5S,475
35,470,0.395,12.5,13,0.14,ESRG350E□□471MK13S,585
35,1000,0.186,16,15,0.14,ESRG350E□□102ML15S,1010
35,2200,0.102,18,20,0.17,ESRG350E□□222MM20S,1560
50,220,0.723,10,12.5,0.12,ESRG500E□□221MJC5S,415
50,330,0.482,12.5,13,0.12,ESRG500E□□331MK13S,525
50,470,0.339,16,15,0.12,ESRG500E□□471ML15S,745
50,1000,0.159,18,20,0.12,ESRG500E□□102MM20S,1160
