Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
420,150,0.902,0.786,16,35,0.2,1.768,EKHF421E□□151ML35S,1357.5,1267,905,1176.5,63000
420,150,0.902,0.786,16,40,0.2,1.768,EKHF421E□□151ML40S,1402.5,1309,935,1215.5,63000
420,150,0.902,0.786,18,31.5,0.2,1.768,EKHF421E□□151MMN3S,1372.5,1281,915,1189.5,63000
420,180,0.752,0.655,16,45,0.2,1.474,EKHF421E□□181ML45S,1560,1456,1040,1352,75600
420,180,0.752,0.655,18,35,0.2,1.474,EKHF421E□□181MM35S,1530,1428,1020,1326,75600
420,220,0.615,0.536,16,50,0.2,1.206,EKHF421E□□221ML50S,1755,1638,1170,1521,92400
420,220,0.615,0.536,18,40,0.2,1.206,EKHF421E□□221MM40S,1740,1624,1160,1508,92400
420,220,0.615,0.536,18,45,0.2,1.206,EKHF421E□□221MM45S,1785,1666,1190,1547,92400
420,270,0.501,0.437,18,50,0.2,0.982,EKHF421E□□271MM50S,1965,1834,1310,1703,113400
450,18,4.812,4.548,10,20,0.2,14.737,EKHF451E□□180MJ20S,378,367.5,210,315,8100
450,27,3.208,3.032,10,25,0.2,9.824,EKHF451E□□270MJ25S,513,498.75,285,427.5,12150
450,33,2.625,2.481,10,30,0.2,8.038,EKHF451E□□330MJ30S,603,586.25,335,502.5,14850
450,33,2.625,2.481,12.5,20,0.2,8.038,EKHF451E□□330MK20S,576,560,320,480,14850
450,39,2.221,2.099,10,35,0.2,6.801,EKHF451E□□390MJ35S,693,673.75,385,577.5,17550
450,47,1.843,1.742,10,40,0.2,5.644,EKHF451E□□470MJ40S,801,778.75,445,667.5,21150
450,47,1.843,1.742,12.5,25,0.2,5.644,EKHF451E□□470MK25S,747,726.25,415,622.5,21150
450,56,1.547,1.462,10,45,0.2,4.737,EKHF451E□□560MJ45S,909,883.75,505,757.5,25200
450,56,1.547,1.462,10,50,0.2,4.737,EKHF451E□□560MJ50S,936,910,520,780,25200
450,56,1.547,1.462,12.5,30,0.2,4.737,EKHF451E□□560MK30S,864,840,480,720,25200
450,56,1.547,1.462,16,20,0.2,4.737,EKHF451E□□560ML20S,828,805,460,690,25200
450,68,1.274,1.204,12.5,35,0.2,3.901,EKHF451E□□680MK35S,1008,980,560,840,30600
