Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Part Number,Ripple Current 125°C@100kHz
50,1000,0.133,0.031,14.5,25,0.1,0.14,EGXF500E□□102MU25S,2480
50,1200,0.111,0.027,12.5,35,0.1,0.11,EGXF500E□□122MK35S,2900
50,1200,0.111,0.036,18,20,0.1,0.14,EGXF500E□□122MM20S,1830
50,1300,0.102,0.026,14.5,30,0.1,0.11,EGXF500E□□132MU30S,2870
50,1300,0.102,0.027,16,25,0.1,0.13,EGXF500E□□132ML25S,2690
50,1500,0.088,0.023,12.5,40,0.1,0.090,EGXF500E□□152MK40S,3260
50,1500,0.088,0.023,14.5,35,0.1,0.085,EGXF500E□□152MU35S,3160
50,1600,0.083,0.023,16,30,0.1,0.094,EGXF500E□□162ML30S,3150
50,1800,0.074,0.025,18,25,0.1,0.11,EGXF500E□□182MM25S,2900
50,2000,0.066,0.020,14.5,40,0.1,0.072,EGXF500E□□202MU40S,3560
50,2000,0.066,0.020,16,35,0.1,0.074,EGXF500E□□202ML35S,3470
50,2200,0.06,0.021,18,30,0.1,0.079,EGXF500E□□222MM30S,3330
50,2400,0.055,0.018,16,40,0.1,0.063,EGXF500E□□242ML40S,3800
50,2700,0.049,0.019,18,35,0.1,0.065,EGXF500E□□272MM35S,3590
50,3300,0.04,0.017,18,40,0.1,0.058,EGXF500E□□332MM40S,3850
63,390,0.34,0.097,12.5,20,0.1,0.75,EGXF630E□□391MK20S,1310
63,510,0.26,0.072,12.5,25,0.1,0.55,EGXF630E□□511MK25S,1880
63,510,0.26,0.072,14.5,20,0.1,0.59,EGXF630E□□511MU20S,1510
63,620,0.214,0.062,16,20,0.1,0.39,EGXF630E□□621ML20S,1630
63,680,0.195,0.052,12.5,30,0.1,0.37,EGXF630E□□681MK30S,2410
63,680,0.195,0.054,14.5,25,0.1,0.40,EGXF630E□□681MU25S,2130
63,820,0.162,0.044,12.5,35,0.1,0.29,EGXF630E□□821MK35S,2760
63,820,0.162,0.055,18,20,0.1,0.29,EGXF630E□□821MM20S,1750
63,910,0.146,0.042,14.5,30,0.1,0.30,EGXF630E□□911MU30S,2700
63,910,0.146,0.047,16,25,0.1,0.27,EGXF630E□□911ML25S,2300
63,1000,0.133,0.038,12.5,40,0.1,0.26,EGXF630E□□102MK40S,3080
63,1100,0.121,0.037,14.5,35,0.1,0.24,EGXF630E□□112MU35S,2940
63,1100,0.121,0.037,16,30,0.1,0.23,EGXF630E□□112ML30S,2940
63,1200,0.111,0.044,18,25,0.1,0.22,EGXF630E□□122MM25S,2440
63,1300,0.102,0.032,14.5,40,0.1,0.20,EGXF630E□□132MU40S,3350
63,1300,0.102,0.031,16,35,0.1,0.17,EGXF630E□□132ML35S,3220
