Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 135°C@100kHz,VC
25,2000,0.053,0.048,0.042,12.5,20,0.16,0.48,0.133,EGPD250E□□202MK20H,2760,2611.26,1652.69,2396.41,1690,50000
25,3000,0.066,0.06,0.033,12.5,25,0.18,0.3,0.106,EGPD250E□□302MK25H,3480,3323.01,2616.54,3139.85,2010,75000
25,3300,0.06,0.055,0.035,16,20,0.18,0.27,0.096,EGPD250E□□332ML20H,3040,2902.86,2285.71,2742.86,1860,82500
25,3600,0.055,0.05,0.028,12.5,30,0.18,0.24,0.088,EGPD250E□□362MK30H,4490,4287.44,3375.94,4051.13,2900,90000
25,4300,0.054,0.049,0.034,18,20,0.2,0.22,0.086,EGPD250E□□432MM20H,3250,3103.38,2443.61,2932.33,1870,107500
25,4700,0.06,0.057,0.025,12.5,35,0.2,0.21,0.079,EGPD250E□□472MK35H,5140,5009.32,4355.93,4878.64,3190,117500
25,4700,0.06,0.057,0.028,16,25,0.2,0.22,0.079,EGPD250E□□472ML25H,4260,4151.69,3610.17,4043.39,2870,117500
25,5100,0.063,0.06,0.024,12.5,40,0.22,0.19,0.083,EGPD250E□□512MK40H,5810,5662.29,4923.73,5514.58,3470,127500
25,5600,0.057,0.054,0.023,16,30,0.22,0.18,0.076,EGPD250E□□562ML30H,5480,5340.68,4644.07,5201.36,3400,140000
25,6200,0.058,0.055,0.027,18,25,0.24,0.19,0.077,EGPD250E□□622MM25H,4500,4385.59,3813.56,4271.19,2900,155000
25,7500,0.053,0.051,0.02,16,35,0.26,0.14,0.071,EGPD250E□□752ML35H,6070,5915.68,5144.07,5761.36,3630,187500
25,7500,0.053,0.051,0.022,18,30,0.26,0.16,0.071,EGPD250E□□752MM30H,5600,5457.63,4745.76,5315.25,3470,187500
25,9100,0.053,0.05,0.019,16,40,0.3,0.12,0.07,EGPD250E□□912ML40H,6810,6636.86,5771.19,6463.73,3930,227500
25,10000,0.052,0.05,0.019,18,35,0.32,0.12,0.069,EGPD250E□□103MM35H,6280,6120.34,5322.03,5960.68,3750,250000
25,12000,0.05,0.048,0.018,18,40,0.36,0.1,0.066,EGPD250E□□123MM40H,7070,6890.25,5991.53,6710.51,4080,300000
35,1300,0.057,0.051,0.042,12.5,20,0.12,0.48,0.143,EGPD350E□□132MK20H,2760,2611.26,1652.69,2396.41,1690,45500
35,1800,0.041,0.037,0.033,12.5,25,0.12,0.3,0.103,EGPD350E□□182MK25H,3480,3292.46,2083.83,3021.56,2010,63000
35,2000,0.048,0.043,0.035,16,20,0.14,0.27,0.119,EGPD350E□□202ML20H,3040,2876.17,1820.36,2639.52,1860,70000
35,2200,0.067,0.061,0.028,12.5,30,0.14,0.24,0.109,EGPD350E□□222MK30H,4490,4287.44,3375.94,4051.13,2900,77000
35,2400,0.062,0.056,0.034,18,20,0.14,0.22,0.099,EGPD350E□□242MM20H,3250,3103.38,2443.61,2932.33,1870,84000
35,2700,0.055,0.05,0.025,12.5,35,0.14,0.21,0.088,EGPD350E□□272MK35H,5140,4908.12,3864.66,4637.59,3190,94500
35,3000,0.06,0.055,0.028,16,25,0.16,0.22,0.097,EGPD350E□□302ML25H,4260,4067.82,3203.01,3843.61,2870,105000
35,3300,0.055,0.05,0.024,12.5,40,0.16,0.19,0.088,EGPD350E□□332MK40H,5810,5547.89,4368.42,5242.11,3470,115500
35,3600,0.05,0.046,0.023,16,30,0.16,0.18,0.081,EGPD350E□□362ML30H,5480,5232.78,4120.3,4944.36,3400,126000
35,3900,0.046,0.042,0.027,18,25,0.16,0.19,0.075,EGPD350E□□392MM25H,4500,4296.99,3383.46,4060.15,2900,136500
35,4300,0.05,0.045,0.02,16,35,0.18,0.14,0.08,EGPD350E□□432ML35H,6070,5796.17,4563.91,5476.69,3630,150500
35,4700,0.055,0.053,0.022,18,30,0.18,0.16,0.073,EGPD350E□□472MM30H,5600,5457.63,4745.76,5315.25,3470,164500
35,5600,0.054,0.051,0.019,16,40,0.2,0.12,0.071,EGPD350E□□562ML40H,6810,6636.86,5771.19,6463.73,3930,196000
35,6200,0.055,0.052,0.019,18,35,0.22,0.12,0.073,EGPD350E□□622MM35H,6280,6120.34,5322.03,5960.68,3750,217000
35,7500,0.051,0.048,0.018,18,40,0.24,0.1,0.067,EGPD350E□□752MM40H,7070,6890.25,5991.53,6710.51,4080,262500
50,620,0.061,0.053,0.073,12.5,20,0.1,0.88,0.214,EGPD500E□□621MK20H,2400,2256,1200,2040,1470,31000
50,820,0.065,0.058,0.058,12.5,25,0.1,0.67,0.162,EGPD500E□□821MK25H,3350,3169.46,2005.99,2908.68,2260,41000
50,1000,0.064,0.057,0.05,16,20,0.1,0.55,0.159,EGPD500E□□102ML20H,2960,2800.48,1772.46,2570.06,1870,50000
50,1100,0.058,0.052,0.048,12.5,30,0.1,0.52,0.145,EGPD500E□□112MK30H,4220,3992.57,2526.95,3664.07,2520,55000
50,1300,0.049,0.044,0.042,12.5,35,0.1,0.44,0.122,EGPD500E□□132MK35H,4810,4550.78,2880.24,4176.35,2780,65000
50,1300,0.049,0.044,0.042,16,25,0.1,0.44,0.122,EGPD500E□□132ML25H,4040,3822.28,2419.16,3507.78,2500,65000
50,1300,0.049,0.044,0.042,18,20,0.1,0.44,0.122,EGPD500E□□132MM20H,3130,2961.32,1874.25,2717.66,2110,65000
