Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@120Hz
160,39,6.801,10,16,0.2,EKXJ161E□□390MJ16S,245
160,56,4.737,10,20,0.2,EKXJ161E□□560MJ20S,315
160,82,3.235,10,25,0.2,EKXJ161E□□820MJ25S,415
160,82,3.235,10,30,0.2,EKXJ161E□□820MJ30S,445
160,100,2.653,12.5,20,0.2,EKXJ161E□□101MK20S,575
160,120,2.21,10,35,0.2,EKXJ161E□□121MJ35S,570
160,120,2.21,14.5,20,0.2,EKXJ161E□□121MU20S,675
160,150,1.768,10,40,0.2,EKXJ161E□□151MJ40S,665
160,150,1.768,10,45,0.2,EKXJ161E□□151MJ45S,695
160,150,1.768,12.5,25,0.2,EKXJ161E□□151MK25S,765
160,180,1.474,10,50,0.2,EKXJ161E□□181MJ50S,785
160,180,1.474,12.5,30,0.2,EKXJ161E□□181MK30S,885
160,180,1.474,14.5,25,0.2,EKXJ161E□□181MU25S,890
160,180,1.474,16,20,0.2,EKXJ161E□□181ML20S,855
160,220,1.206,12.5,35,0.2,EKXJ161E□□221MK35S,1040
160,220,1.206,16,25,0.2,EKXJ161E□□221ML25S,1020
160,220,1.206,18,20,0.2,EKXJ161E□□221MM20S,990
160,270,0.982,12.5,40,0.2,EKXJ161E□□271MK40S,1190
160,270,0.982,12.5,45,0.2,EKXJ161E□□271MK45S,1230
160,270,0.982,14.5,31.5,0.2,EKXJ161E□□271MUN3S,1170
160,270,0.982,14.5,35.5,0.2,EKXJ161E□□271MUP1S,1210
160,330,0.804,12.5,50,0.2,EKXJ161E□□331MK50S,1400
160,330,0.804,14.5,40,0.2,EKXJ161E□□331MU40S,1385
160,330,0.804,16,31.5,0.2,EKXJ161E□□331MLN3S,1350
160,330,0.804,18,25,0.2,EKXJ161E□□331MM25S,1290
160,390,0.68,14.5,45,0.2,EKXJ161E□□391MU45S,1545
160,390,0.68,16,35.5,0.2,EKXJ161E□□391MLP1S,1500
160,470,0.564,14.5,50,0.2,EKXJ161E□□471MU50S,1735
160,470,0.564,16,40,0.2,EKXJ161E□□471ML40S,1700
160,470,0.564,16,45,0.2,EKXJ161E□□471ML45S,1730
160,470,0.564,18,31.5,0.2,EKXJ161E□□471MMN3S,1660
160,470,0.564,18,35.5,0.2,EKXJ161E□□471MMP1S,1715
160,560,0.474,16,50,0.2,EKXJ161E□□561ML50S,1920
160,560,0.474,18,40,0.2,EKXJ161E□□561MM40S,1905
160,680,0.39,18,45,0.2,EKXJ161E□□681MM45S,2130
160,680,0.39,18,50,0.2,EKXJ161E□□681MM50S,2145
200,27,9.824,10,16,0.2,EKXJ201E□□270MJ16S,200
200,47,5.644,10,20,0.2,EKXJ201E□□470MJ20S,290
200,56,4.737,10,25,0.2,EKXJ201E□□560MJ25S,345
200,68,3.901,10,30,0.2,EKXJ201E□□680MJ30S,405
200,82,3.235,12.5,20,0.2,EKXJ201E□□820MK20S,520
200,100,2.653,10,35,0.2,EKXJ201E□□101MJ35S,520
200,100,2.653,12.5,25,0.2,EKXJ201E□□101MK25S,625
200,100,2.653,14.5,20,0.2,EKXJ201E□□101MU20S,615
200,120,2.21,10,40,0.2,EKXJ201E□□121MJ40S,595
200,120,2.21,10,45,0.2,EKXJ201E□□121MJ45S,620
200,120,2.21,12.5,30,0.2,EKXJ201E□□121MK30S,725
200,120,2.21,16,20,0.2,EKXJ201E□□121ML20S,695
200,150,1.768,10,50,0.2,EKXJ201E□□151MJ50S,720
200,150,1.768,12.5,35,0.2,EKXJ201E□□151MK35S,860
200,150,1.768,14.5,25,0.2,EKXJ201E□□151MU25S,810
200,180,1.474,14.5,31.5,0.2,EKXJ201E□□181MUN3S,955
200,180,1.474,16,25,0.2,EKXJ201E□□181ML25S,925
200,180,1.474,18,20,0.2,EKXJ201E□□181MM20S,895
200,220,1.206,12.5,40,0.2,EKXJ201E□□221MK40S,1075
200,220,1.206,12.5,45,0.2,EKXJ201E□□221MK45S,1110
200,220,1.206,14.5,35.5,0.2,EKXJ201E□□221MUP1S,1095
200,220,1.206,18,25,0.2,EKXJ201E□□221MM25S,1050
200,270,0.982,12.5,50,0.2,EKXJ201E□□271MK50S,1265
200,270,0.982,14.5,40,0.2,EKXJ201E□□271MU40S,1250
200,270,0.982,14.5,45,0.2,EKXJ201E□□271MU45S,1290
200,270,0.982,16,31.5,0.2,EKXJ201E□□271MLN3S,1220
200,270,0.982,16,35.5,0.2,EKXJ201E□□271MLP1S,1250
200,330,0.804,14.5,50,0.2,EKXJ201E□□331MU50S,1450
200,330,0.804,16,40,0.2,EKXJ201E□□331ML40S,1425
200,330,0.804,18,31.5,0.2,EKXJ201E□□331MMN3S,1395
200,390,0.68,16,45,0.2,EKXJ201E□□391ML45S,1575
200,390,0.68,18,35.5,0.2,EKXJ201E□□391MMP1S,1565
200,470,0.564,16,50,0.2,EKXJ201E□□471ML50S,1755
200,470,0.564,18,40,0.2,EKXJ201E□□471MM40S,1745
200,470,0.564,18,45,0.2,EKXJ201E□□471MM45S,1770
200,560,0.474,18,50,0.2,EKXJ201E□□561MM50S,1945
220,27,9.824,10,16,0.2,EKXJ221E□□270MJ16S,200
220,39,6.801,10,20,0.2,EKXJ221E□□390MJ20S,265
220,56,4.737,10,25,0.2,EKXJ221E□□560MJ25S,345
220,56,4.737,10,30,0.2,EKXJ221E□□560MJ30S,370
220,68,3.901,12.5,20,0.2,EKXJ221E□□680MK20S,475
220,82,3.235,10,35,0.2,EKXJ221E□□820MJ35S,470
220,82,3.235,14.5,20,0.2,EKXJ221E□□820MU20S,555
220,100,2.653,10,40,0.2,EKXJ221E□□101MJ40S,545
220,100,2.653,10,45,0.2,EKXJ221E□□101MJ45S,565
220,100,2.653,12.5,25,0.2,EKXJ221E□□101MK25S,625
220,120,2.21,10,50,0.2,EKXJ221E□□121MJ50S,645
220,120,2.21,12.5,30,0.2,EKXJ221E□□121MK30S,725
220,120,2.21,14.5,25,0.2,EKXJ221E□□121MU25S,725
220,120,2.21,16,20,0.2,EKXJ221E□□121ML20S,695
220,150,1.768,12.5,35,0.2,EKXJ221E□□151MK35S,860
220,150,1.768,16,25,0.2,EKXJ221E□□151ML25S,845
220,150,1.768,18,20,0.2,EKXJ221E□□151MM20S,815
220,180,1.474,12.5,40,0.2,EKXJ221E□□181MK40S,975
220,180,1.474,12.5,45,0.2,EKXJ221E□□181MK45S,1005
220,180,1.474,14.5,31.5,0.2,EKXJ221E□□181MUN3S,955
220,220,1.206,12.5,50,0.2,EKXJ221E□□221MK50S,1145
220,220,1.206,14.5,35.5,0.2,EKXJ221E□□221MUP1S,1095
220,220,1.206,14.5,40,0.2,EKXJ221E□□221MU40S,1130
220,220,1.206,16,31.5,0.2,EKXJ221E□□221MLN3S,1100
220,220,1.206,18,25,0.2,EKXJ221E□□221MM25S,1050
220,270,0.982,14.5,45,0.2,EKXJ221E□□271MU45S,1285
220,270,0.982,14.5,50,0.2,EKXJ221E□□271MU50S,1315
220,270,0.982,16,35.5,0.2,EKXJ221E□□271MLP1S,1245
220,270,0.982,18,31.5,0.2,EKXJ221E□□271MMN3S,1260
220,330,0.804,16,40,0.2,EKXJ221E□□331ML40S,1425
220,330,0.804,16,45,0.2,EKXJ221E□□331ML45S,1450
220,330,0.804,18,35.5,0.2,EKXJ221E□□331MMP1S,1440
220,390,0.68,16,50,0.2,EKXJ221E□□391ML50S,1600
220,390,0.68,18,40,0.2,EKXJ221E□□391MM40S,1590
220,390,0.68,18,45,0.2,EKXJ221E□□391MM45S,1620
220,470,0.564,18,50,0.2,EKXJ221E□□471MM50S,1785
250,22,12.057,10,16,0.2,EKXJ251E□□220MJ16S,185
250,33,8.038,10,20,0.2,EKXJ251E□□330MJ20S,240
250,47,5.644,10,25,0.2,EKXJ251E□□470MJ25S,315
250,47,5.644,10,30,0.2,EKXJ251E□□470MJ30S,340
250,56,4.737,12.5,20,0.2,EKXJ251E□□560MK20S,430
250,68,3.901,10,35,0.2,EKXJ251E□□680MJ35S,430
250,68,3.901,14.5,20,0.2,EKXJ251E□□680MU20S,505
250,82,3.235,10,40,0.2,EKXJ251E□□820MJ40S,495
250,82,3.235,10,45,0.2,EKXJ251E□□820MJ45S,515
250,82,3.235,12.5,25,0.2,EKXJ251E□□820MK25S,565
250,100,2.653,10,50,0.2,EKXJ251E□□101MJ50S,585
250,100,2.653,12.5,30,0.2,EKXJ251E□□101MK30S,660
250,100,2.653,14.5,25,0.2,EKXJ251E□□101MU25S,665
250,100,2.653,16,20,0.2,EKXJ251E□□101ML20S,635
250,120,2.21,12.5,35,0.2,EKXJ251E□□121MK35S,770
250,120,2.21,16,25,0.2,EKXJ251E□□121ML25S,755
250,120,2.21,18,20,0.2,EKXJ251E□□121MM20S,730
