Voltage,Capacitance,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,100k,10k,1k,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,VC
50,2.2,2.5,5,11,1.0,0.9,0.75,0.1,60.286,1.0,10.0,EKYA500E□□2R2ME11D,43,110.00000000000001
50,3.3,2.2,5,11,1.0,0.9,0.75,0.1,40.191,1.0,8.8,EKYA500E□□3R3ME11D,53,165.0
50,4.7,1.9,5,11,1.0,0.9,0.75,0.1,28.219,1.0,7.6,EKYA500E□□4R7ME11D,88,235.0
50,10,1.5,5,11,1.0,0.9,0.75,0.1,13.263,1.0,6.0,EKYA500E□□100ME11D,100,500.0
50,22,0.7,5,11,1.0,0.9,0.75,0.1,6.029,1.0,2.8,EKYA500E□□220ME11D,180,1100.0
50,27,0.7,5,11,1.0,0.9,0.75,0.1,4.912,1.0,2.8,EKYA500E□□270ME11D,250,1350.0
50,47,0.3,6.3,11,1.0,0.9,0.75,0.1,2.822,1.0,1.2,EKYA500E□□470MF11D,295,2350.0
50,56,0.3,6.3,11,1.0,0.9,0.75,0.1,2.368,1.0,1.2,EKYA500E□□560MF11D,295,2800.0
50,100,0.17,8,11.5,1.0,0.9,0.75,0.1,1.326,1.0,0.68,EKYA500E□□101MHB5D,555,5000.0
50,150,0.12,8,15,1.0,0.9,0.75,0.1,0.884,1.0,0.48,EKYA500E□□151MH15D,730,7500.0
50,180,0.12,10,12.5,1.0,0.9,0.75,0.1,0.737,1.0,0.48,EKYA500E□□181MJC5S,760,9000.0
50,180,0.091,8,20,1.0,0.9,0.75,0.1,0.737,1.0,0.36,EKYA500E□□181MH20D,910,9000.0
50,220,0.084,10,16,1.0,0.94,0.85,0.1,0.603,1.0,0.34,EKYA500E□□221MJ16S,1050,11000.0
50,330,0.06,10,20,1.0,0.94,0.85,0.1,0.402,1.0,0.24,EKYA500E□□331MJ20S,1220,16500.0
50,470,0.055,10,25,1.0,0.94,0.85,0.1,0.282,1.0,0.22,EKYA500E□□471MJ25S,1440,23500.0
50,470,0.045,12.5,20,1.0,0.94,0.85,0.1,0.282,1.0,0.15,EKYA500E□□471MK20S,1660,23500.0
50,560,0.045,12.5,20,1.0,0.94,0.85,0.1,0.237,1.0,0.15,EKYA500E□□561MK20S,1660,28000.0
50,820,0.034,12.5,25,1.0,0.95,0.87,0.1,0.162,1.0,0.11,EKYA500E□□821MK25S,1950,41000.0
50,1000,0.025,16,25,1.0,0.95,0.87,0.1,0.159,1.0,0.075,EKYA500E□□102ML25S,2555,50000.0
50,1200,0.025,16,25,1.0,0.95,0.87,0.1,0.133,1.0,0.075,EKYA500E□□122ML25S,2555,60000.0
