Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz
6.3,150,1.945,0.3,5,11,0.22,1.0,EKZE6R3E□□151ME11D,250
6.3,330,0.884,0.13,6.3,11,0.22,0.41,EKZE6R3E□□331MF11D,405
6.3,560,0.521,0.072,8,11.5,0.22,0.22,EKZE6R3E□□561MHB5D,760
6.3,820,0.356,0.056,8,15,0.22,0.17,EKZE6R3E□□821MH15D,995
6.3,1000,0.292,0.053,10,12.5,0.22,0.16,EKZE6R3E□□102MJC5S,1030
6.3,1200,0.243,0.041,8,20,0.22,0.13,EKZE6R3E□□122MH20D,1250
6.3,1200,0.243,0.038,10,16,0.22,0.12,EKZE6R3E□□122MJ16S,1430
6.3,1500,0.195,0.023,10,20,0.22,0.069,EKZE6R3E□□152MJ20S,1820
6.3,2200,0.133,0.022,10,25,0.22,0.066,EKZE6R3E□□222MJ25S,2150
6.3,3300,0.088,0.021,12.5,20,0.22,0.053,EKZE6R3E□□332MK20S,2360
6.3,3900,0.075,0.018,12.5,25,0.22,0.045,EKZE6R3E□□392MK25S,2770
6.3,4700,0.062,0.016,12.5,30,0.22,0.041,EKZE6R3E□□472MK30S,3290
6.3,5600,0.052,0.015,12.5,35,0.22,0.039,EKZE6R3E□□562MK35S,3400
6.3,5600,0.052,0.018,16,20,0.22,0.045,EKZE6R3E□□562ML20S,3140
6.3,6800,0.043,0.016,16,25,0.22,0.043,EKZE6R3E□□682ML25S,3460
10,100,2.52,0.3,5,11,0.19,1.0,EKZE100E□□101ME11D,250
10,220,1.145,0.13,6.3,11,0.19,0.41,EKZE100E□□221MF11D,405
10,470,0.536,0.072,8,11.5,0.19,0.22,EKZE100E□□471MHB5D,760
10,680,0.371,0.056,8,15,0.19,0.17,EKZE100E□□681MH15D,995
10,680,0.371,0.053,10,12.5,0.19,0.16,EKZE100E□□681MJC5S,1030
10,1000,0.252,0.041,8,20,0.19,0.13,EKZE100E□□102MH20D,1250
10,1000,0.252,0.038,10,16,0.19,0.12,EKZE100E□□102MJ16S,1430
10,1200,0.21,0.023,10,20,0.19,0.069,EKZE100E□□122MJ20S,1820
10,1500,0.168,0.022,10,25,0.19,0.066,EKZE100E□□152MJ25S,2150
10,2200,0.115,0.021,12.5,20,0.19,0.053,EKZE100E□□222MK20S,2360
10,3300,0.076,0.018,12.5,25,0.19,0.045,EKZE100E□□332MK25S,2770
10,3900,0.065,0.016,12.5,30,0.19,0.041,EKZE100E□□392MK30S,3290
10,3900,0.065,0.018,16,20,0.19,0.045,EKZE100E□□392ML20S,3140
10,4700,0.054,0.015,12.5,35,0.19,0.039,EKZE100E□□472MK35S,3400
10,5600,0.045,0.016,16,25,0.19,0.043,EKZE100E□□562ML25S,3460
16,56,3.789,0.3,5,11,0.16,1.0,EKZE160E□□560ME11D,250
16,120,1.768,0.13,6.3,11,0.16,0.41,EKZE160E□□121MF11D,405
