Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz
10,680,0.371,0.062,8,11.5,0.19,0.19,900
10,1000,0.252,0.048,8,16,0.19,0.15,1210
10,1000,0.252,0.045,10,12.5,0.19,0.14,1240
10,1500,0.168,0.033,8,20,0.19,0.11,1410
10,1500,0.168,0.032,10,16,0.19,0.1,1650
10,1800,0.14,0.02,10,20,0.19,0.06,1960
10,2200,0.115,0.018,10,23,0.19,0.054,2250
10,3300,0.076,0.017,12.5,20,0.19,0.043,2480
10,3900,0.065,0.015,12.5,25,0.19,0.038,2900
10,4700,0.054,0.013,12.5,30,0.19,0.033,3450
10,5600,0.045,0.012,12.5,35,0.19,0.031,3570
16,470,0.452,0.062,8,11.5,0.16,0.19,900
16,680,0.312,0.048,8,16,0.16,0.15,1210
16,680,0.312,0.045,10,12.5,0.16,0.14,1240
16,1000,0.212,0.033,8,20,0.16,0.11,1410
16,1000,0.212,0.032,10,16,0.16,0.1,1650
16,1500,0.141,0.02,10,20,0.16,0.06,1960
16,1800,0.118,0.018,10,23,0.16,0.054,2250
16,2200,0.096,0.017,10,25,0.16,0.051,2500
16,2200,0.096,0.017,12.5,20,0.16,0.043,2480
16,2700,0.079,0.015,12.5,25,0.16,0.038,2900
16,3300,0.064,0.013,12.5,30,0.16,0.033,3450
16,3900,0.054,0.012,12.5,35,0.16,0.031,3570
25,330,0.563,0.062,8,11.5,0.14,0.19,900
25,390,0.476,0.048,8,16,0.14,0.15,1210
25,470,0.395,0.045,10,12.5,0.14,0.14,1240
25,560,0.332,0.033,8,20,0.14,0.11,1410
25,680,0.273,0.032,10,16,0.14,0.1,1650
25,820,0.226,0.02,10,20,0.14,0.06,1960
25,1000,0.186,0.02,10,20,0.14,0.06,1960
25,1000,0.186,0.018,10,23,0.14,0.054,2250
25,1500,0.124,0.017,12.5,20,0.14,0.043,2480
25,1800,0.103,0.015,12.5,25,0.14,0.038,2900
25,2200,0.084,0.013,12.5,30,0.14,0.033,3450
25,2700,0.069,0.012,12.5,35,0.14,0.031,3570
35,220,0.723,0.062,8,11.5,0.12,0.19,900
35,270,0.589,0.048,8,16,0.12,0.15,1210
35,330,0.482,0.045,10,12.5,0.12,0.14,1240
35,390,0.408,0.033,8,20,0.12,0.11,1410
35,470,0.339,0.032,10,16,0.12,0.1,1650
35,560,0.284,0.02,10,20,0.12,0.06,1960
35,680,0.234,0.018,10,23,0.12,0.054,2250
35,1000,0.159,0.017,12.5,20,0.12,0.043,2480
35,1200,0.133,0.015,12.5,25,0.12,0.038,2900
35,1500,0.106,0.013,12.5,30,0.12,0.033,3450
35,1800,0.088,0.012,12.5,35,0.12,0.031,3570
