Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@120Hz,Status,Vibration resistant,Weight (g)
400,33,9.646,10,31.5,-40,105,0.24,10000,628,1000,UCP2G330MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,330,MP,Normal,3.21
400,56,5.684,12.5,31.5,-40,105,0.24,10000,996,600,UCP2G560MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,470,MP,Normal,6.01
400,68,4.681,12.5,35.5,-40,105,0.24,10000,1188,500,UCP2G680MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,540,MP,Normal,7.06
400,82,3.882,12.5,40,-40,105,0.24,10000,1412,400,UCP2G820MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,620,MP,Normal,7.57
400,100,3.183,16,31.5,-40,105,0.24,10000,1700,300,UCP2G101MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,710,MP,Normal,11.6
400,120,2.653,16,35.5,-40,105,0.24,10000,2020,300,UCP2G121MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,800,MP,Normal,11.8
400,150,2.122,16,40,-40,105,0.24,10000,2500,300,UCP2G151MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,920,MP,Normal,14.1
400,150,2.122,18,31.5,-40,105,0.24,10000,2500,300,UCP2G151MHD6,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,890,MP,Normal,13.8
400,180,1.768,18,40,-40,105,0.24,10000,2980,200,UCP2G181MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,1060,MP,Normal,17.7
400,220,1.447,18,46,-40,105,0.24,10000,3620,200,UCP2G221MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,1200,MP,Normal,20.9
420,33,9.646,10,31.5,-40,105,0.24,10000,654,1000,UCPW6330MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,320,MP,Normal,3.21
420,56,5.684,12.5,31.5,-40,105,0.24,10000,1041,600,UCPW6560MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,460,MP,Normal,6.01
420,100,3.183,16,31.5,-40,105,0.24,10000,1780,300,UCPW6101MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,690,MP,Normal,11.6
420,120,2.653,16,35.5,-40,105,0.24,10000,2116,300,UCPW6121MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,780,MP,Normal,11.8
420,120,2.653,18,31.5,-40,105,0.24,10000,2116,300,UCPW6121MHD6,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,800,MP,Normal,13.8
420,150,2.122,18,35.5,-40,105,0.24,10000,2620,250,UCPW6151MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,920,MP,Normal,14.2
420,180,1.768,18,40,-40,105,0.24,10000,3124,200,UCPW6181MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,1040,MP,Normal,17.7
450,27,11.789,10,31.5,-40,105,0.24,10000,586,1000,UCP2W270MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,300,MP,Normal,3.21
450,47,6.773,12.5,31.5,-40,105,0.24,10000,946,600,UCP2W470MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,430,MP,Normal,6.01
450,56,5.684,12.5,35.5,-40,105,0.24,10000,1108,500,UCP2W560MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,490,MP,Normal,7.06
450,68,4.681,12.5,40,-40,105,0.24,10000,1324,400,UCP2W680MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,560,MP,Normal,7.57
450,82,3.882,16,31.5,-40,105,0.24,10000,1576,300,UCP2W820MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,640,MP,Normal,11.6
450,100,3.183,16,35.5,-40,105,0.24,10000,1900,300,UCP2W101MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,730,MP,Normal,11.8
450,120,2.653,16,40,-40,105,0.24,10000,2260,300,UCP2W121MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,820,MP,Normal,14.1
450,120,2.653,18,31.5,-40,105,0.24,10000,2260,300,UCP2W121MHD6,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,800,MP,Normal,13.8
450,150,2.122,18,40,-40,105,0.24,10000,2800,200,UCP2W151MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,970,MP,Normal,17.7
450,180,1.768,18,46,-40,105,0.24,10000,3340,200,UCP2W181MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,1090,MP,Normal,20.9
