Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@500Hz,Ripple Current 105°C@60Hz,Status,VC,Vibration resistant,Weight (g)
400,33,0.15,10,31.5,-40,105,6.029,2000,628,1000,UPH2G330MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,495,495,330,462,412.5,264,MP,13200,Normal,3.21
400,56,0.15,12.5,31.5,-40,105,3.553,2000,996,600,UPH2G560MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,705,705,470,658,587.5,376,MP,22400,Normal,6.01
400,68,0.15,12.5,35.5,-40,105,2.926,2000,1188,500,UPH2G680MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,810,810,540,756,675,432,MP,27200,Normal,7.06
400,82,0.15,12.5,40,-40,105,2.426,2000,1412,400,UPH2G820MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,930,930,620,868,775,496,MP,32800,Normal,7.57
400,100,0.15,16,31.5,-40,105,1.989,2000,1700,300,UPH2G101MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1065,1065,710,994,887.5,568,MP,40000,Normal,11.6
400,120,0.15,16,35.5,-40,105,1.658,2000,2020,300,UPH2G121MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1200,1200,800,1120,1000,640,MP,48000,Normal,11.8
400,150,0.15,16,40,-40,105,1.326,2000,2500,300,UPH2G151MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1380,1380,920,1288,1150,736,MP,60000,Normal,14.1
400,150,0.15,18,31.5,-40,105,1.326,2000,2500,300,UPH2G151MHD6,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1335,1335,890,1246,1112.5,712,MP,60000,Normal,13.8
400,180,0.15,18,40,-40,105,1.105,2000,2980,200,UPH2G181MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1590,1590,1060,1484,1325,848,MP,72000,Normal,17.7
400,220,0.15,18,46,-40,105,0.904,2000,3620,200,UPH2G221MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1800,1800,1200,1680,1500,960,MP,88000,Normal,20.9
420,33,0.2,10,31.5,-40,105,8.038,2000,654,1000,UPHW6330MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,480,480,320,448,400,256,MP,13860,Normal,3.21
420,56,0.2,12.5,31.5,-40,105,4.737,2000,1041,600,UPHW6560MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,690,690,460,644,575,368,MP,23520,Normal,6.01
420,100,0.2,16,31.5,-40,105,2.653,2000,1780,300,UPHW6101MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1035,1035,690,966,862.5,552,MP,42000,Normal,11.6
420,120,0.2,16,35.5,-40,105,2.21,2000,2116,300,UPHW6121MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1170,1170,780,1092,975,624,MP,50400,Normal,11.8
420,120,0.2,18,31.5,-40,105,2.21,2000,2116,300,UPHW6121MHD6,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1200,1200,800,1120,1000,640,MP,50400,Normal,13.8
420,150,0.2,18,35.5,-40,105,1.768,2000,2620,250,UPHW6151MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1380,1380,920,1288,1150,736,MP,63000,Normal,14.2
420,180,0.2,18,40,-40,105,1.474,2000,3124,200,UPHW6181MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1560,1560,1040,1456,1300,832,MP,75600,Normal,17.7
450,27,0.2,10,31.5,-40,105,9.824,2000,586,1000,UPH2W270MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,450,450,300,420,375,240,MP,12150,Normal,3.21
