Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Ripple Current 150°C@100kHz,Size Code
35,2200,0.072,0.038,16,26.5,0.12,0.38,1800,J26
35,2700,0.059,0.032,16,33,0.12,0.32,2200,J33
35,3000,0.053,0.03,16,37,0.12,0.3,2600,J37
35,3600,0.044,0.027,16,41.5,0.12,0.27,3000,J41
35,2400,0.066,0.036,18,27.5,0.12,0.36,2200,K27
35,3300,0.048,0.028,18,34,0.12,0.28,2800,K34
35,4700,0.034,0.023,18,42.5,0.12,0.23,3600,K42
50,1300,0.102,0.04,16,26.5,0.1,0.4,1800,J26
50,1800,0.074,0.038,16,33,0.1,0.38,2200,J33
50,2000,0.066,0.032,16,37,0.1,0.32,2600,J37
50,2400,0.055,0.029,16,41.5,0.1,0.29,3000,J41
50,1800,0.074,0.034,18,27.5,0.1,0.34,2200,K27
50,2400,0.055,0.03,18,34,0.1,0.3,2700,K34
50,3000,0.044,0.023,18,42.5,0.1,0.23,3700,K42
