Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Ripple Current 105°C@100kHz,Size Code
25,1100,0.241,0.174,12.5,15,0.2,0.52,1210,G15
25,1800,0.147,0.107,12.5,20,0.2,0.27,1670,G20
25,2400,0.111,0.084,12.5,25,0.2,0.21,1950,G25
25,3200,0.083,0.07,12.5,30,0.2,0.18,2330,G30
25,3700,0.072,0.062,12.5,35,0.2,0.16,2620,G35
25,4200,0.063,0.048,12.5,40,0.2,0.12,3160,G40
25,2100,0.126,0.121,16,16,0.2,0.36,1700,J16
25,3100,0.086,0.082,16,20,0.2,0.21,2230,J20
25,4300,0.062,0.062,16,25,0.2,0.16,2650,J25
25,5800,0.046,0.051,16,31.5,0.2,0.13,3210,J31
25,6800,0.039,0.045,16,35.5,0.2,0.11,3570,J35
25,7800,0.034,0.042,16,40,0.2,0.11,3880,J40
25,3000,0.088,0.107,18,16,0.2,0.32,2010,K16
25,4300,0.062,0.079,18,20,0.2,0.2,2500,K20
25,6000,0.044,0.056,18,25,0.2,0.14,3000,K25
25,8000,0.033,0.045,18,31.5,0.2,0.11,3660,K31
25,9300,0.029,0.042,18,35.5,0.2,0.11,3960,K35
25,11000,0.024,0.04,18,40,0.2,0.1,4300,K40
35,830,0.256,0.174,12.5,15,0.16,0.52,1210,G15
35,1300,0.163,0.107,12.5,20,0.16,0.27,1670,G20
35,1600,0.133,0.084,12.5,25,0.16,0.21,1950,G25
35,2200,0.096,0.07,12.5,30,0.16,0.18,2330,G30
35,2500,0.085,0.062,12.5,35,0.16,0.16,2620,G35
35,2900,0.073,0.048,12.5,40,0.16,0.12,3160,G40
35,1500,0.141,0.121,16,16,0.16,0.36,1700,J16
35,2100,0.101,0.082,16,20,0.16,0.21,2230,J20
35,3000,0.071,0.062,16,25,0.16,0.16,2650,J25
35,4000,0.053,0.051,16,31.5,0.16,0.13,3210,J31
35,4600,0.046,0.045,16,35.5,0.16,0.11,3570,J35
35,5300,0.04,0.042,16,40,0.16,0.11,3880,J40
35,2100,0.101,0.107,18,16,0.16,0.32,2010,K16
35,3000,0.071,0.079,18,20,0.16,0.2,2500,K20
35,4200,0.051,0.056,18,25,0.16,0.14,3000,K25
35,5600,0.038,0.045,18,31.5,0.16,0.11,3660,K31
35,6500,0.033,0.042,18,35.5,0.16,0.11,3960,K35
35,7400,0.029,0.04,18,40,0.16,0.1,4300,K40
