Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Endurance,Impedance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping
6.3,150,1.945,5,11,0.22,2000,0.3,0.5,2.0,5.0,2.5,EEUFM0J151( ),280,200,2000
6.3,330,0.884,6.3,11.2,0.22,2000,0.13,0.5,2.5,5.0,2.5,EEUFM0J331( ),455,200,2000
6.3,560,0.521,8,11.5,0.22,3000,0.056,0.6,3.5,5.0,,EEUFM0J561( ),950,200,1000
6.3,820,0.356,8,15,0.22,3000,0.041,0.6,3.5,5.0,,EEUFM0J821L( ),1240,200,1000
6.3,1000,0.292,10,12.5,0.22,4000,0.038,0.6,5.0,5.0,,EEUFM0J102( ),1290,200,500
6.3,1200,0.243,8,20,0.22,4000,0.03,0.6,3.5,5.0,,EEUFM0J122L( ),1560,200,1000
6.3,1200,0.243,10,16,0.22,4000,0.026,0.6,5.0,5.0,,EEUFM0J122( ),1790,200,500
6.3,1500,0.195,10,20,0.22,5000,0.019,0.6,5.0,5.0,,EEUFM0J152( ),2180,200,500
6.3,2200,0.133,10,25,0.22,5000,0.018,0.6,5.0,5.0,,EEUFM0J222L( ),2470,200,500
6.3,3300,0.088,12.5,20,0.22,5000,0.018,0.6,5.0,5.0,,EEUFM0J332( ),2600,200,500
6.3,3900,0.075,12.5,25,0.22,7000,0.015,0.6,5.0,5.0,,EEUFM0J392( ),3190,200,500
6.3,4700,0.062,12.5,30,0.22,7000,0.013,0.8,5.0,,,EEUFM0J472L,3630,100,
6.3,5600,0.052,12.5,35,0.22,7000,0.012,0.8,5.0,,,EEUFM0J562L,3750,100,
6.3,5600,0.052,16,20,0.22,5000,0.017,0.8,7.5,7.5,,EEUFM0J562S( ),3300,100,250
6.3,6800,0.043,16,25,0.22,7000,0.014,0.8,7.5,7.5,,EEUFM0J682( ),3820,100,250
10,100,2.52,5,11,0.19,2000,0.3,0.5,2.0,5.0,2.5,EEUFM1A101( ),280,200,2000
10,220,1.145,6.3,11.2,0.19,2000,0.13,0.5,2.5,5.0,2.5,EEUFM1A221( ),455,200,2000
10,470,0.536,8,11.5,0.19,3000,0.056,0.6,3.5,5.0,,EEUFM1A471( ),950,200,1000
10,680,0.371,8,15,0.19,3000,0.041,0.6,3.5,5.0,,EEUFM1A681L( ),1240,200,1000
10,680,0.371,10,12.5,0.19,4000,0.038,0.6,5.0,5.0,,EEUFM1A681( ),1290,200,500
10,1000,0.252,8,20,0.19,4000,0.03,0.6,3.5,5.0,,EEUFM1A102L( ),1560,200,1000
10,1000,0.252,10,16,0.19,4000,0.026,0.6,5.0,5.0,,EEUFM1A102( ),1790,200,500
10,1200,0.21,10,20,0.19,5000,0.019,0.6,5.0,5.0,,EEUFM1A122( ),2180,200,500
10,1500,0.168,10,25,0.19,5000,0.018,0.6,5.0,5.0,,EEUFM1A152L( ),2470,200,500
10,2200,0.115,12.5,20,0.19,5000,0.018,0.6,5.0,5.0,,EEUFM1A222( ),2600,200,500
10,3300,0.076,12.5,25,0.19,7000,0.015,0.6,5.0,5.0,,EEUFM1A332( ),3190,200,500
10,3900,0.065,12.5,30,0.19,7000,0.013,0.8,5.0,,,EEUFM1A392L,3630,100,
10,3900,0.065,16,20,0.19,5000,0.017,0.8,7.5,7.5,,EEUFM1A392S( ),3300,100,250
10,4700,0.054,12.5,35,0.19,7000,0.012,0.8,5.0,,,EEUFM1A472L,3750,100,
