Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 300Hz,Frequency Coefficient 50Hz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,V,VC,Vibration resistant,Weight (g)
10,33,3.768,5,11,-40,85,0.24,9.646,2000,1.6,1.6,1.0,1.4,1.25,0.8,10,6000,UVR1A330MDD,Uni-Polar,Radial Lead,Standard,85,EOL,160 to 450,330.0,Normal,0.44
10,47,1.693,5,11,-40,85,0.24,6.773,2000,2.0,2.0,1.0,1.57,1.35,0.75,14,6000,UVR1A470MDD,Uni-Polar,Radial Lead,Standard,100,EOL,6.3 to 100,470.0,Normal,0.44
10,47,2.646,5,11,-40,85,0.24,6.773,2000,1.6,1.6,1.0,1.4,1.25,0.8,14,6000,UVR1A470MDD,Uni-Polar,Radial Lead,Standard,100,EOL,160 to 450,470.0,Normal,0.44
10,100,1.415,5,11,-40,85,0.24,3.183,2000,1.5,1.5,1.0,1.34,1.23,0.8,30,6000,UVR1A101MDD,Uni-Polar,Radial Lead,Standard,145,EOL,6.3 to 100,1000.0,Normal,0.44
10,100,1.243,5,11,-40,85,0.24,3.183,2000,1.6,1.6,1.0,1.4,1.25,0.8,30,6000,UVR1A101MDD,Uni-Polar,Radial Lead,Standard,145,EOL,160 to 450,1000.0,Normal,0.44
10,220,0.643,6.3,11,-40,85,0.24,1.447,2000,1.5,1.5,1.0,1.34,1.23,0.8,66,4000,UVR1A221MED,Uni-Polar,Radial Lead,Standard,240,EOL,6.3 to 100,2200.0,Normal,0.59
10,220,0.565,6.3,11,-40,85,0.24,1.447,2000,1.6,1.6,1.0,1.4,1.25,0.8,66,4000,UVR1A221MED,Uni-Polar,Radial Lead,Standard,240,EOL,160 to 450,2200.0,Normal,0.59
10,330,0.429,6.3,11,-40,85,0.24,0.965,2000,1.5,1.5,1.0,1.34,1.23,0.8,99,4000,UVR1A331MED,Uni-Polar,Radial Lead,Standard,290,EOL,6.3 to 100,3300.0,Normal,0.59
10,330,0.729,6.3,11,-40,85,0.24,0.965,2000,1.15,1.15,1.0,1.13,1.1,0.9,99,4000,UVR1A331MED,Uni-Polar,Radial Lead,Standard,290,EOL,160 to 450,3300.0,Normal,0.59
10,470,0.301,6.3,11,-40,85,0.24,0.677,2000,1.5,1.5,1.0,1.34,1.23,0.8,141,4000,UVR1A471MED,Uni-Polar,Radial Lead,Standard,350,EOL,6.3 to 100,4700.0,Normal,0.59
