Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@120Hz,Status,Vibration resistant,Weight (g)
25,47,3.951,0.55,6.3,11,-55,105,0.14,2000,1.1,35,4000,UPM1E470MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,125,EOL,Normal,0.59
25,56,3.316,0.44,6.3,11,-55,105,0.14,2000,0.88,42,4000,UPM1E560MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,140,EOL,Normal,0.59
25,68,2.731,0.36,6.3,11,-55,105,0.14,2000,0.72,51,4000,UPM1E680MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,160,EOL,Normal,0.59
25,82,2.264,0.3,6.3,11,-55,105,0.14,2000,0.6,62,4000,UPM1E820MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,180,EOL,Normal,0.59
25,100,1.857,0.24,6.3,15,-55,105,0.14,2000,0.48,75,4000,UPM1E101MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,245,EOL,Normal,0.72
25,120,1.547,0.2,6.3,15,-55,105,0.14,2000,0.4,90,4000,UPM1E121MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,275,EOL,Normal,0.72
25,150,1.238,0.16,8,11.5,-55,105,0.14,3000,0.32,113,3000,UPM1E151MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,320,MP,Normal,1.19
25,180,1.032,0.14,8,15,-55,105,0.14,3000,0.28,135,2000,UPM1E181MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,390,MP,Normal,1.36
25,180,1.032,0.15,10,12.5,-55,105,0.14,5000,0.3,135,2000,UPM1E181MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,450,MP,Normal,1.49
25,220,0.844,0.11,8,15,-55,105,0.14,3000,0.22,165,2000,UPM1E221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,455,MP,Normal,1.36
25,220,0.844,0.13,10,12.5,-55,105,0.14,5000,0.26,165,2000,UPM1E221MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,485,MP,Normal,1.49
25,270,0.688,0.095,8,20,-55,105,0.14,3000,0.19,203,2000,UPM1E271MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,560,MP,Normal,1.66
25,270,0.688,0.11,10,16,-55,105,0.14,5000,0.22,203,1800,UPM1E271MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,525,MP,Normal,1.77
25,330,0.563,0.085,8,20,-55,105,0.14,3000,0.17,248,2000,UPM1E331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,610,MP,Normal,1.66
25,330,0.563,0.095,10,16,-55,105,0.14,5000,0.19,248,1800,UPM1E331MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,630,MP,Normal,1.77
25,390,0.476,0.07,10,20,-55,105,0.14,5000,0.14,293,1400,UPM1E391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,770,MP,Normal,2.34
25,390,0.476,0.08,12.5,15,-55,105,0.14,5000,0.16,293,1200,UPM1E391MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,720,MP,Normal,2.96
25,470,0.395,0.065,10,20,-55,105,0.14,5000,0.13,353,1400,UPM1E471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,845,MP,Normal,2.34
25,470,0.395,0.07,12.5,15,-55,105,0.14,5000,0.14,353,1200,UPM1E471MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,785,MP,Normal,2.96
25,560,0.332,0.055,10,25,-55,105,0.14,5000,0.11,420,1200,UPM1E561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1030,MP,Normal,3.07
25,560,0.332,0.06,12.5,15,-55,105,0.14,5000,0.12,420,1200,UPM1E561MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,860,MP,Normal,2.96
25,680,0.273,0.046,10,30.5,-55,105,0.14,5000,0.092,510,1000,UPM1E681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1180,MP,Normal,3.21
25,680,0.273,0.055,16,15,-55,105,0.14,5000,0.11,510,700,UPM1E681MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1050,MP,Normal,4.74
25,820,0.226,0.041,12.5,20,-55,105,0.14,5000,0.082,615,1000,UPM1E821MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1220,MP,Normal,3.43
25,820,0.226,0.049,16,15,-55,105,0.14,5000,0.098,615,700,UPM1E821MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1140,MP,Normal,4.74
25,1000,0.186,0.036,12.5,25,-55,105,0.14,5000,0.072,750,800,UPM1E102MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1470,MP,Normal,4.56
25,1000,0.186,0.043,18,15,-55,105,0.14,5000,0.086,750,400,UPM1E102MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1310,MP,Normal,6.31
25,1200,0.155,0.032,12.5,25,-55,105,0.14,5000,0.064,900,800,UPM1E122MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1550,MP,Normal,4.56
25,1200,0.155,0.039,18,15,-55,105,0.14,5000,0.078,900,400,UPM1E122MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1400,MP,Normal,6.31
25,1500,0.124,0.029,12.5,30.5,-55,105,0.14,5000,0.058,1125,600,UPM1E152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1780,MP,Normal,6.01
25,1500,0.124,0.034,16,20,-55,105,0.14,5000,0.068,1125,600,UPM1E152MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1590,MP,Normal,6.6
25,1800,0.103,0.026,12.5,35.5,-55,105,0.14,5000,0.052,1350,500,UPM1E182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,Normal,7.06
25,1800,0.103,0.031,16,25,-55,105,0.14,5000,0.062,1350,400,UPM1E182MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1970,MP,Normal,8.2
25,2200,0.096,0.024,12.5,40,-55,105,0.16,5000,0.048,1650,400,UPM1E222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2210,MP,Normal,7.57
25,2200,0.096,0.028,18,20,-55,105,0.16,5000,0.056,1650,400,UPM1E222MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1840,MP,Normal,9.0
25,2700,0.079,0.022,16,30.5,-55,105,0.16,5000,0.044,2025,300,UPM1E272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2250,MP,Normal,9.6
25,2700,0.079,0.025,18,25,-55,105,0.16,5000,0.05,2025,300,UPM1E272MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2110,MP,Normal,10.6
25,3300,0.072,0.02,16,35.5,-55,105,0.18,5000,0.04,2475,300,UPM1E332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2490,MP,Normal,11.8
25,3300,0.072,0.023,18,30.5,-55,105,0.18,5000,0.046,2475,300,UPM1E332MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2440,MP,Normal,13.1
25,3900,0.061,0.019,16,40,-55,105,0.18,5000,0.038,2925,300,UPM1E392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2790,MP,Normal,14.1
25,3900,0.061,0.021,18,35.5,-55,105,0.18,5000,0.042,2925,250,UPM1E392MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2740,MP,Normal,14.2
25,4700,0.056,0.018,18,40,-55,105,0.2,5000,0.036,3525,200,UPM1E472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2970,MP,Normal,17.7
35,22,7.234,0.75,5,11,-55,105,0.12,2000,1.5,23,6000,UPM1V220MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,85,EOL,Normal,0.44
35,27,5.895,0.6,5,11,-55,105,0.12,2000,1.2,28,6000,UPM1V270MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,99,EOL,Normal,0.44
35,33,4.823,0.49,6.3,11,-55,105,0.12,2000,0.98,35,4000,UPM1V330MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,125,EOL,Normal,0.59
35,39,4.081,0.41,6.3,11,-55,105,0.12,2000,0.82,41,4000,UPM1V390MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,140,EOL,Normal,0.59
35,47,3.386,0.34,6.3,11,-55,105,0.12,2000,0.68,49,4000,UPM1V470MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,160,EOL,Normal,0.59
35,56,2.842,0.28,6.3,11,-55,105,0.12,2000,0.56,59,4000,UPM1V560MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,180,EOL,Normal,0.59
35,68,2.341,0.24,6.3,15,-55,105,0.12,2000,0.48,71,4000,UPM1V680MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,230,EOL,Normal,0.72
35,82,1.941,0.19,6.3,15,-55,105,0.12,2000,0.38,86,4000,UPM1V820MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,265,EOL,Normal,0.72
35,100,1.592,0.16,8,11.5,-55,105,0.12,3000,0.32,105,3000,UPM1V101MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,305,MP,Normal,1.19
35,120,1.326,0.14,8,15,-55,105,0.12,3000,0.28,126,2000,UPM1V121MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,370,MP,Normal,1.36
35,120,1.326,0.15,10,12.5,-55,105,0.12,5000,0.3,126,2000,UPM1V121MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,425,MP,Normal,1.49
35,150,1.061,0.12,8,15,-55,105,0.12,3000,0.24,158,2000,UPM1V151MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,415,MP,Normal,1.36
35,150,1.061,0.12,10,12.5,-55,105,0.12,5000,0.24,158,2000,UPM1V151MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,475,MP,Normal,1.49
35,180,0.884,0.1,8,20,-55,105,0.12,3000,0.2,189,2000,UPM1V181MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,520,MP,Normal,1.66
35,180,0.884,0.11,10,16,-55,105,0.12,5000,0.22,189,1800,UPM1V181MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,500,MP,Normal,1.77
35,220,0.723,0.085,8,20,-55,105,0.12,3000,0.17,231,2000,UPM1V221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,580,MP,Normal,1.66
35,220,0.723,0.09,10,16,-55,105,0.12,5000,0.18,231,1800,UPM1V221MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,600,MP,Normal,1.77
35,270,0.589,0.07,10,20,-55,105,0.12,5000,0.14,284,1400,UPM1V271MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,735,MP,Normal,2.34
35,270,0.589,0.08,12.5,15,-55,105,0.12,5000,0.16,284,1200,UPM1V271MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,690,MP,Normal,2.96
35,330,0.482,0.06,10,20,-55,105,0.12,5000,0.12,347,1400,UPM1V331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,810,MP,Normal,2.34
35,330,0.482,0.065,12.5,15,-55,105,0.12,5000,0.13,347,1200,UPM1V331MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,780,MP,Normal,2.96
35,390,0.408,0.055,10,25,-55,105,0.12,5000,0.11,410,1200,UPM1V391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,980,MP,Normal,3.07
35,390,0.408,0.06,12.5,15,-55,105,0.12,5000,0.12,410,1200,UPM1V391MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,825,MP,Normal,2.96
35,470,0.339,0.046,10,30.5,-55,105,0.12,5000,0.092,494,1000,UPM1V471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1160,MP,Normal,3.21
35,470,0.339,0.055,16,15,-55,105,0.12,5000,0.11,494,700,UPM1V471MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1010,MP,Normal,4.74
35,560,0.284,0.041,12.5,20,-55,105,0.12,5000,0.082,588,1000,UPM1V561MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1170,MP,Normal,3.43
35,560,0.284,0.048,16,15,-55,105,0.12,5000,0.096,588,700,UPM1V561MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1110,MP,Normal,4.74
35,680,0.234,0.036,12.5,25,-55,105,0.12,5000,0.072,714,800,UPM1V681MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1410,MP,Normal,4.56
35,680,0.234,0.042,18,15,-55,105,0.12,5000,0.084,714,400,UPM1V681MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1280,MP,Normal,6.31
35,820,0.194,0.032,12.5,25,-55,105,0.12,5000,0.064,861,800,UPM1V821MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1490,MP,Normal,4.56
35,820,0.194,0.038,18,15,-55,105,0.12,5000,0.076,861,400,UPM1V821MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1380,MP,Normal,6.31
35,1000,0.159,0.029,12.5,30.5,-55,105,0.12,5000,0.058,1050,600,UPM1V102MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1710,MP,Normal,6.01
35,1000,0.159,0.034,16,20,-55,105,0.12,5000,0.068,1050,600,UPM1V102MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1530,MP,Normal,6.6
35,1200,0.133,0.026,12.5,35.5,-55,105,0.12,5000,0.052,1260,500,UPM1V122MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1960,MP,Normal,7.06
35,1200,0.133,0.031,16,25,-55,105,0.12,5000,0.062,1260,400,UPM1V122MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1920,MP,Normal,8.2
35,1500,0.106,0.024,12.5,40,-55,105,0.12,5000,0.048,1575,400,UPM1V152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2210,MP,Normal,7.57
35,1500,0.106,0.028,18,20,-55,105,0.12,5000,0.056,1575,400,UPM1V152MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1840,MP,Normal,9.0
35,1800,0.088,0.022,16,30.5,-55,105,0.12,5000,0.044,1890,300,UPM1V182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2250,MP,Normal,9.6
35,1800,0.088,0.025,18,25,-55,105,0.12,5000,0.05,1890,300,UPM1V182MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2110,MP,Normal,10.6
35,2200,0.084,0.02,16,35.5,-55,105,0.14,5000,0.04,2310,300,UPM1V222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2490,MP,Normal,11.8
35,2200,0.084,0.023,18,30.5,-55,105,0.14,5000,0.046,2310,300,UPM1V222MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2440,MP,Normal,13.1
35,2700,0.069,0.018,16,40,-55,105,0.14,5000,0.036,2835,300,UPM1V272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2790,MP,Normal,14.1
35,2700,0.069,0.021,18,35.5,-55,105,0.14,5000,0.042,2835,250,UPM1V272MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2740,MP,Normal,14.2
35,3300,0.064,0.017,18,40,-55,105,0.16,5000,0.034,3465,200,UPM1V332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2970,MP,Normal,17.7
50,2.2,60.286,5,5,11,-55,105,0.1,2000,10.0,4,6000,UPM1H2R2MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,27,EOL,Normal,0.44
50,3.3,40.191,3.3,5,11,-55,105,0.1,2000,6.6,5,6000,UPM1H3R3MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,33,EOL,Normal,0.44
50,4.7,28.219,2.2,5,11,-55,105,0.1,2000,4.4,7,6000,UPM1H4R7MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,40,EOL,Normal,0.44
50,6.8,19.504,1.8,5,11,-55,105,0.1,2000,3.6,10,6000,UPM1H6R8MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,45,EOL,Normal,0.44
50,10,13.263,1.4,5,11,-55,105,0.1,2000,2.8,15,6000,UPM1H100MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,57,EOL,Normal,0.44
50,12,11.052,1.2,5,11,-55,105,0.1,2000,2.4,18,6000,UPM1H120MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,62,EOL,Normal,0.44
50,15,8.842,0.93,5,11,-55,105,0.1,2000,1.86,23,6000,UPM1H150MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,72,EOL,Normal,0.44
50,18,7.368,0.8,5,11,-55,105,0.1,2000,1.6,27,6000,UPM1H180MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,79,EOL,Normal,0.44
50,22,6.029,0.65,6.3,11,-55,105,0.1,2000,1.3,33,4000,UPM1H220MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,100,EOL,Normal,0.59
50,27,4.912,0.53,6.3,11,-55,105,0.1,2000,1.06,41,4000,UPM1H270MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,115,EOL,Normal,0.59
50,33,4.019,0.43,6.3,11,-55,105,0.1,2000,0.86,50,4000,UPM1H330MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,135,EOL,Normal,0.59
50,39,3.401,0.36,6.3,11,-55,105,0.1,2000,0.72,59,4000,UPM1H390MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,150,EOL,Normal,0.59
50,47,2.822,0.3,6.3,15,-55,105,0.1,2000,0.6,71,4000,UPM1H470MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,195,EOL,Normal,0.72
50,56,2.368,0.25,6.3,15,-55,105,0.1,2000,0.5,84,4000,UPM1H560MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,220,EOL,Normal,0.72
50,68,1.95,0.2,8,11.5,-55,105,0.1,3000,0.4,102,3000,UPM1H680MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,260,MP,Normal,1.19
50,82,1.617,0.17,8,15,-55,105,0.1,3000,0.34,123,2000,UPM1H820MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,320,MP,Normal,1.36
50,82,1.617,0.18,10,12.5,-55,105,0.1,5000,0.36,123,2000,UPM1H820MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,340,MP,Normal,1.49
50,100,1.326,0.14,8,20,-55,105,0.1,3000,0.28,150,2000,UPM1H101MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,410,MP,Normal,1.66
50,100,1.326,0.16,10,16,-55,105,0.1,5000,0.32,150,1800,UPM1H101MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,385,MP,Normal,1.77
50,120,1.105,0.12,8,20,-55,105,0.1,3000,0.24,180,2000,UPM1H121MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,510,MP,Normal,1.66
50,120,1.105,0.13,10,16,-55,105,0.1,5000,0.26,180,1800,UPM1H121MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,510,MP,Normal,1.77
50,150,0.884,0.1,10,20,-55,105,0.1,5000,0.2,225,1400,UPM1H151MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,570,MP,Normal,2.34
50,150,0.884,0.11,12.5,15,-55,105,0.1,5000,0.22,225,1200,UPM1H151MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,545,MP,Normal,2.96
50,180,0.737,0.085,10,20,-55,105,0.1,5000,0.17,270,1400,UPM1H181MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,670,MP,Normal,2.34
50,180,0.737,0.095,12.5,15,-55,105,0.1,5000,0.19,270,1200,UPM1H181MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,605,MP,Normal,2.96
50,220,0.603,0.075,10,25,-55,105,0.1,5000,0.15,330,1200,UPM1H221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,840,MP,Normal,3.07
50,220,0.603,0.08,12.5,15,-55,105,0.1,5000,0.16,330,1200,UPM1H221MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,670,MP,Normal,2.96
50,270,0.491,0.065,10,30.5,-55,105,0.1,5000,0.13,405,1000,UPM1H271MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,900,MP,Normal,3.21
50,270,0.491,0.07,16,15,-55,105,0.1,5000,0.14,405,700,UPM1H271MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,840,MP,Normal,4.74
50,330,0.402,0.055,10,30.5,-55,105,0.1,5000,0.11,495,1000,UPM1H331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,995,MP,Normal,3.21
50,330,0.402,0.06,16,15,-55,105,0.1,5000,0.12,495,700,UPM1H331MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,925,MP,Normal,4.74
50,390,0.34,0.048,12.5,25,-55,105,0.1,5000,0.096,585,800,UPM1H391MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1120,MP,Normal,4.56
50,390,0.34,0.055,16,15,-55,105,0.1,5000,0.11,585,700,UPM1H391MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,990,MP,Normal,4.74
50,470,0.282,0.044,12.5,25,-55,105,0.1,5000,0.088,705,800,UPM1H471MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1200,MP,Normal,4.56
50,470,0.282,0.046,18,15,-55,105,0.1,5000,0.092,705,400,UPM1H471MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1170,MP,Normal,6.31
50,560,0.237,0.04,12.5,30.5,-55,105,0.1,5000,0.08,840,600,UPM1H561MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1410,MP,Normal,6.01
50,560,0.237,0.044,16,20,-55,105,0.1,5000,0.088,840,600,UPM1H561MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1270,MP,Normal,6.6
50,680,0.195,0.036,12.5,35.5,-55,105,0.1,5000,0.072,1020,500,UPM1H681MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1580,MP,Normal,7.06
50,680,0.195,0.04,16,20,-55,105,0.1,5000,0.08,1020,600,UPM1H681MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1350,MP,Normal,6.6
50,820,0.162,0.033,12.5,40,-55,105,0.1,5000,0.066,1230,400,UPM1H821MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1800,MP,Normal,7.57
50,820,0.162,0.036,18,20,-55,105,0.1,5000,0.072,1230,400,UPM1H821MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1540,MP,Normal,9.0
50,1000,0.133,0.03,16,30.5,-55,105,0.1,5000,0.06,1500,300,UPM1H102MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1860,MP,Normal,9.6
50,1000,0.133,0.033,18,25,-55,105,0.1,5000,0.066,1500,300,UPM1H102MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1750,MP,Normal,10.6
50,1200,0.111,0.028,16,35.5,-55,105,0.1,5000,0.056,1800,300,UPM1H122MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2040,MP,Normal,11.8
50,1200,0.111,0.031,18,30.5,-55,105,0.1,5000,0.062,1800,300,UPM1H122MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1880,MP,Normal,13.1
50,1500,0.088,0.026,16,40,-55,105,0.1,5000,0.052,2250,300,UPM1H152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2380,MP,Normal,14.1
50,1500,0.088,0.029,18,30.5,-55,105,0.1,5000,0.058,2250,300,UPM1H152MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2100,MP,Normal,13.1
50,1800,0.074,0.025,18,35.5,-55,105,0.1,5000,0.05,2700,250,UPM1H182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2350,MP,Normal,14.2
50,2200,0.072,0.024,18,40,-55,105,0.12,5000,0.048,3300,200,UPM1H222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2510,MP,Normal,17.7
63,10,10.61,1.06,5,11,-55,105,0.08,2000,2.12,19,6000,UPM1J100MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,67,EOL,Normal,0.44
63,12,8.842,0.93,5,11,-55,105,0.08,2000,1.86,23,6000,UPM1J120MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,72,EOL,Normal,0.44
63,15,7.074,0.73,6.3,11,-55,105,0.08,2000,1.46,28,4000,UPM1J150MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,92,EOL,Normal,0.59
63,18,5.895,0.63,6.3,11,-55,105,0.08,2000,1.26,34,4000,UPM1J180MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,100,EOL,Normal,0.59
63,22,4.823,0.52,6.3,11,-55,105,0.08,2000,1.04,42,4000,UPM1J220MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,110,EOL,Normal,0.59
63,27,3.93,0.43,6.3,11,-55,105,0.08,2000,0.86,51,4000,UPM1J270MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,130,EOL,Normal,0.59
63,33,3.215,0.35,6.3,15,-55,105,0.08,2000,0.7,62,4000,UPM1J330MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,170,EOL,Normal,0.72
63,39,2.721,0.3,6.3,15,-55,105,0.08,2000,0.6,74,4000,UPM1J390MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,190,EOL,Normal,0.72
63,47,2.258,0.25,8,11.5,-55,105,0.08,3000,0.5,89,3000,UPM1J470MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,215,MP,Normal,1.19
63,56,1.895,0.21,8,15,-55,105,0.08,3000,0.42,106,2000,UPM1J560MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,275,MP,Normal,1.36
63,56,1.895,0.23,10,12.5,-55,105,0.08,5000,0.46,106,2000,UPM1J560MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,275,MP,Normal,1.49
