Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@120Hz,Status,Vibration resistant,Weight (g)
6.3,820,0.356,0.095,10,16,-55,105,0.22,5000,0.19,155,1800,UPM0J821MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,715,MP,Normal,1.77
6.3,1000,0.292,0.075,10,20,-55,105,0.22,5000,0.15,189,1400,UPM0J102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,820,MP,Normal,2.34
6.3,1000,0.292,0.085,12.5,15,-55,105,0.22,5000,0.17,189,1200,UPM0J102MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,770,MP,Normal,2.96
6.3,1200,0.243,0.065,10,20,-55,105,0.22,5000,0.13,227,1400,UPM0J122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,930,MP,Normal,2.34
6.3,1200,0.243,0.075,12.5,15,-55,105,0.22,5000,0.15,227,1200,UPM0J122MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,835,MP,Normal,2.96
6.3,1500,0.195,0.055,10,25,-55,105,0.22,5000,0.11,284,1200,UPM0J152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1130,MP,Normal,3.07
6.3,1500,0.195,0.065,12.5,15,-55,105,0.22,5000,0.13,284,1200,UPM0J152MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,915,MP,Normal,2.96
6.3,1800,0.162,0.05,10,30.5,-55,105,0.22,5000,0.1,340,1000,UPM0J182MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1230,MP,Normal,3.21
6.3,1800,0.162,0.055,16,15,-55,105,0.22,5000,0.11,340,700,UPM0J182MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1140,MP,Normal,4.74
6.3,2200,0.145,0.043,10,30.5,-55,105,0.24,5000,0.086,416,1000,UPM0J222MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1320,MP,Normal,3.21
6.3,2200,0.145,0.049,16,15,-55,105,0.24,5000,0.098,416,700,UPM0J222MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1200,MP,Normal,4.74
6.3,2700,0.118,0.038,12.5,25,-55,105,0.24,5000,0.076,510,800,UPM0J272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1530,MP,Normal,4.56
6.3,2700,0.118,0.044,18,15,-55,105,0.24,5000,0.088,510,400,UPM0J272MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1350,MP,Normal,6.31
6.3,3300,0.104,0.034,12.5,25,-55,105,0.26,5000,0.068,624,800,UPM0J332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1530,MP,Normal,4.56
6.3,3300,0.104,0.039,18,15,-55,105,0.26,5000,0.078,624,400,UPM0J332MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1440,MP,Normal,6.31
6.3,3900,0.088,0.031,12.5,30.5,-55,105,0.26,5000,0.062,737,600,UPM0J392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1780,MP,Normal,6.01
6.3,3900,0.088,0.036,16,20,-55,105,0.26,5000,0.072,737,600,UPM0J392MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1590,MP,Normal,6.6
6.3,4700,0.079,0.028,12.5,35.5,-55,105,0.28,5000,0.056,888,500,UPM0J472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,Normal,7.06
6.3,4700,0.079,0.032,18,20,-55,105,0.28,5000,0.064,888,400,UPM0J472MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1720,MP,Normal,9.0
6.3,5600,0.071,0.026,12.5,40,-55,105,0.3,5000,0.052,1058,400,UPM0J562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2210,MP,Normal,7.57
6.3,5600,0.071,0.03,18,20,-55,105,0.3,5000,0.06,1058,400,UPM0J562MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1780,MP,Normal,9.0
6.3,6800,0.062,0.024,16,30.5,-55,105,0.32,5000,0.048,1285,300,UPM0J682MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2250,MP,Normal,9.6
6.3,6800,0.062,0.027,18,25,-55,105,0.32,5000,0.054,1285,300,UPM0J682MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2110,MP,Normal,10.6
6.3,8200,0.058,0.022,16,35.5,-55,105,0.36,5000,0.044,1550,300,UPM0J822MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2490,MP,Normal,11.8
6.3,8200,0.058,0.025,18,30.5,-55,105,0.36,5000,0.05,1550,300,UPM0J822MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2340,MP,Normal,13.1
6.3,10000,0.053,0.02,16,40,-55,105,0.4,5000,0.04,1890,300,UPM0J103MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2790,MP,Normal,14.1
6.3,10000,0.053,0.023,18,30.5,-55,105,0.4,5000,0.046,1890,300,UPM0J103MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2440,MP,Normal,13.1
6.3,12000,0.049,0.019,18,35.5,-55,105,0.44,5000,0.038,2268,250,UPM0J123MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2740,MP,Normal,14.2
6.3,15000,0.044,0.018,18,40,-55,105,0.5,5000,0.036,2835,200,UPM0J153MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2970,MP,Normal,17.7
10,68,3.706,0.8,5,11,-55,105,0.19,2000,1.6,20,6000,UPM1A680MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,97,EOL,Normal,0.44
10,82,3.073,0.65,5,11,-55,105,0.19,2000,1.3,25,6000,UPM1A820MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,110,EOL,Normal,0.44
