Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
35,1000,,,0.038,16,20,,,0.095,ELXV350E□□102ML20S,1770,,,,35000
35,1200,,,0.027,12.5,35,,,0.068,ELXV350E□□122MK35S,2230,,,,42000
35,1200,,,0.028,16,25,,,0.07,ELXV350E□□122ML25S,2190,,,,42000
35,1500,,,0.024,12.5,40,,,0.06,ELXV350E□□152MK40S,2460,,,,52500
35,1500,,,0.036,18,20,,,0.09,ELXV350E□□152MM20S,1940,,,,52500
35,1800,,,0.025,16,30,,,0.063,ELXV350E□□182ML30S,2510,,,,63000
35,1800,,,0.027,18,25,,,0.068,ELXV350E□□182MM25S,2350,,,,63000
35,2200,,,0.022,16,35,,,0.055,ELXV350E□□222ML35S,2770,,,,77000
35,2200,,,0.024,18,30,,,0.06,ELXV350E□□222MM30S,2720,,,,77000
35,2700,,,0.018,16,40,,,0.045,ELXV350E□□272ML40S,3110,,,,94500
35,2700,,,0.021,18,35,,,0.053,ELXV350E□□272MM35S,3050,,,,94500
35,3300,,,0.017,18,40,,,0.043,ELXV350E□□332MM40S,3300,,,,115500
50,18,,,1.1,5,11.5,,,3.3,ELXV500E□□180MEB5D,165,,,,900
50,39,,,0.56,6.3,11.5,,,1.6,ELXV500E□□390MFB5D,255,,,,1950
50,56,,,0.41,6.3,15,,,1.2,ELXV500E□□560MF15D,310,,,,2800
50,68,,,0.29,8,12,,,0.84,ELXV500E□□680MH12D,415,,,,3400
50,82,,,0.24,8,15,,,0.72,ELXV500E□□820MH15D,505,,,,4100
50,82,,,0.16,10,12.5,,,0.4,ELXV500E□□820MJC5S,530,,,,4100
50,120,,,0.18,8,20,,,0.52,ELXV500E□□121MH20D,610,,,,6000
50,120,,,0.12,10,16,,,0.3,ELXV500E□□121MJ16S,755,,,,6000
50,180,,,0.088,10,20,,,0.22,ELXV500E□□181MJ20S,945,,,,9000
50,220,,,0.068,10,25,,,0.17,ELXV500E□□221MJ25S,1150,,,,11000
50,330,,,0.059,10,30,,,0.15,ELXV500E□□331MJ30S,1260,,,,16500
50,330,,,0.059,12.5,20,,,0.15,ELXV500E□□331MK20S,1190,,,,16500
50,470,,,0.045,12.5,25,,,0.11,ELXV500E□□471MK25S,1500,,,,23500
50,560,,,0.039,12.5,30,,,0.098,ELXV500E□□561MK30S,1720,,,,28000
50,680,,,0.033,12.5,35,,,0.083,ELXV500E□□681MK35S,1900,,,,34000
50,680,,,0.043,16,20,,,0.11,ELXV500E□□681ML20S,1500,,,,34000
50,820,,,0.029,12.5,40,,,0.073,ELXV500E□□821MK40S,2120,,,,41000
50,820,,,0.033,16,25,,,0.083,ELXV500E□□821ML25S,1880,,,,41000
50,820,,,0.039,18,20,,,0.098,ELXV500E□□821MM20S,1660,,,,41000
50,1000,,,0.029,16,30,,,0.073,ELXV500E□□102ML30S,2150,,,,50000
50,1000,,,0.03,18,25,,,0.075,ELXV500E□□102MM25S,2020,,,,50000
50,1200,,,0.025,16,35,,,0.063,ELXV500E□□122ML35S,2320,,,,60000
50,1500,,,0.021,16,40,,,0.053,ELXV500E□□152ML40S,2650,,,,75000
50,1500,,,0.026,18,30,,,0.065,ELXV500E□□152MM30S,2340,,,,75000
50,1800,,,0.023,18,35,,,0.058,ELXV500E□□182MM35S,2620,,,,90000
50,2200,,,0.02,18,40,,,0.05,ELXV500E□□222MM40S,2790,,,,110000
63,12,,,1.9,5,11.5,,,4.8,ELXV630E□□120MEB5D,100,80,20,55,756
63,27,,,1.1,6.3,11.5,,,2.8,ELXV630E□□270MFB5D,160,128,32,88,1701
63,39,,,0.62,6.3,15,,,1.6,ELXV630E□□390MF15D,230,184,46,126.5,2457
63,47,,,0.49,8,12,,,1.3,ELXV630E□□470MH12D,275,220,55,151.25,2961
63,56,,,0.27,10,12.5,,,0.68,ELXV630E□□560MJC5S,420,,,,3528
63,68,,,0.34,8,15,,,0.85,ELXV630E□□680MH15D,360,288,72,198,4284
63,68,,,0.21,10,16,,,0.53,ELXV630E□□680MJ16S,523,,,,4284
63,82,,,0.21,8,20,,,0.53,ELXV630E□□820MH20D,500,400,100,275,5166
63,120,,,0.16,10,20,,,0.4,ELXV630E□□121MJ20S,650,,,,7560
63,150,,,0.13,10,25,,,0.33,ELXV630E□□151MJ25S,780,,,,9450
63,180,,,0.1,10,30,,,0.25,ELXV630E□□181MJ30S,960,,,,11340
63,220,,,0.11,12.5,20,,,0.28,ELXV630E□□221MK20S,870,,,,13860
63,270,,,0.074,12.5,25,,,0.19,ELXV630E□□271MK25S,1150,,,,17010
63,390,,,0.068,12.5,30,,,0.17,ELXV630E□□391MK30S,1280,,,,24570
63,390,,,0.085,16,20,,,0.22,ELXV630E□□391ML20S,1100,,,,24570
63,470,,,0.063,12.5,35,,,0.16,ELXV630E□□471MK35S,1390,,,,29610
63,470,,,0.055,16,25,,,0.14,ELXV630E□□471ML25S,1480,,,,29610
63,560,,,0.051,12.5,40,,,0.13,ELXV630E□□561MK40S,1530,,,,35280
63,560,,,0.085,18,20,,,0.22,ELXV630E□□561MM20S,1170,,,,35280
63,680,,,0.046,16,30,,,0.12,ELXV630E□□681ML30S,1720,,,,42840
63,680,,,0.055,18,25,,,0.14,ELXV630E□□681MM25S,1520,,,,42840
63,820,,,0.04,16,35,,,0.1,ELXV630E□□821ML35S,1910,,,,51660
63,820,,,0.046,18,30,,,0.12,ELXV630E□□821MM30S,1770,,,,51660
63,1000,,,0.036,16,40,,,0.09,ELXV630E□□102ML40S,2070,,,,63000
63,1000,,,0.04,18,35,,,0.1,ELXV630E□□102MM35S,1970,,,,63000
63,1200,,,0.036,18,40,,,0.09,ELXV630E□□122MM40S,2130,,,,75600
80,8.2,,,1.9,5,11.5,,,5.1,ELXV800E□□8R2MEB5D,100,80,20,55,656
80,18,,,1.1,6.3,11.5,,,3,ELXV800E□□180MFB5D,150,120,30,82.5,1440
80,27,,,0.62,6.3,15,,,1.7,ELXV800E□□270MF15D,220,176,44,121,2160
80,33,,,0.53,8,12,,,1.5,ELXV800E□□330MH12D,275,220,55,151.25,2640
80,39,,,0.47,10,12.5,,,1.3,ELXV800E□□390MJC5S,380,,,,3120
80,47,,,0.35,8,15,,,0.97,ELXV800E□□470MH15D,360,288,72,198,3760
80,56,,,0.27,8,20,,,0.74,ELXV800E□□560MH20D,490,392,98,269.5,4480
80,56,,,0.33,10,16,,,0.9,ELXV800E□□560MJ16S,500,,,,4480
80,82,,,0.26,10,20,,,0.7,ELXV800E□□820MJ20S,620,,,,6560
80,100,,,0.19,10,25,,,0.52,ELXV800E□□101MJ25S,795,,,,8000
80,150,,,0.15,10,30,,,0.41,ELXV800E□□151MJ30S,955,,,,12000
80,150,,,0.15,12.5,20,,,0.41,ELXV800E□□151MK20S,890,,,,12000
80,180,,,0.11,12.5,25,,,0.3,ELXV800E□□181MK25S,1040,,,,14400
