Voltage,Capacitance,Case Size Diameter,Case Size Length,Endurance,Impedance,Lead Diameter,Lead Space,Lead Space Taping,Min Packaging Qty Straight,Min Packaging Qty Taping,Part Number,Ripple Current
6.3,680,8,11.5,3000,0.09,0.6,3.5,5.0,200,1000,EEUFK0J681(),630
6.3,1000,8,15,3000,0.062,0.6,3.5,5.0,200,1000,EEUFK0J102L(),860
6.3,1000,10,12.5,4000,0.063,0.6,5.0,5.0,200,500,EEUFK0J102(),900
6.3,1500,8,20,3000,0.044,0.6,3.5,5.0,200,1000,EEUFK0J152L(),1220
6.3,1800,10,16,4000,0.049,0.6,5.0,5.0,200,500,EEUFK0J182(),1240
6.3,2200,10,20,4000,0.035,0.6,5.0,5.0,200,500,EEUFK0J222(),1490
6.3,2200,12.5,15,5000,0.048,0.6,5.0,5.0,200,500,EEUFK0J222S(),1400
6.3,3300,10,25,4000,0.033,0.6,5.0,5.0,200,500,EEUFK0J332(),1680
6.3,3300,10,30,4000,0.025,0.6,5.0,,100,,EEUFK0J332L,2140
6.3,4700,12.5,20,5000,0.029,0.6,5.0,5.0,200,500,EEUFK0J472(),1890
6.3,4700,16,15,5000,0.038,0.8,7.5,7.5,100,250,EEUFK0J472S(),1800
6.3,5600,12.5,25,5000,0.022,0.6,5.0,5.0,200,500,EEUFK0J562(),2280
6.3,5600,18,15,5000,0.036,0.8,7.5,7.5,100,250,EEUFK0J562S(),2060
6.3,6800,12.5,30,5000,0.018,0.8,5.0,,100,,EEUFK0J682L,2720
6.3,6800,12.5,35,5000,0.016,0.8,5.0,,100,,EEUFK0J682L,2940
6.3,8200,16,20,5000,0.026,0.8,7.5,7.5,100,250,EEUFK0J822(),2330
6.3,8200,12.5,40,5000,0.014,0.8,5.0,,100,,EEUFK0J822L,3010
6.3,8200,18,20,5000,0.025,0.8,7.5,7.5,100,250,EEUFK0J822(),2640
6.3,12000,18,25,5000,0.018,0.8,7.5,7.5,100,250,EEUFK0J123S(),2850
10,560,8,11.5,3000,0.09,0.6,3.5,5.0,200,1000,EEUFK1A561(),630
10,820,8,15,3000,0.062,0.6,3.5,5.0,200,1000,EEUFK1A821L(),860
10,820,10,12.5,4000,0.063,0.6,5.0,5.0,200,500,EEUFK1A821(),900
10,1000,8,20,3000,0.044,0.6,3.5,5.0,200,1000,EEUFK1A102L(),1220
10,1200,10,16,4000,0.049,0.6,5.0,5.0,200,500,EEUFK1A122(),1240
10,1200,10,20,4000,0.035,0.6,5.0,5.0,200,500,EEUFK1A122(),1490
10,1500,12.5,15,5000,0.048,0.6,5.0,5.0,200,500,EEUFK1A152S(),1400
10,1800,10,25,4000,0.033,0.6,5.0,5.0,200,500,EEUFK1A182L(),1680
10,2200,12.5,20,5000,0.029,0.6,5.0,5.0,200,500,EEUFK1A222(),1890
10,2200,16,15,5000,0.038,0.8,7.5,7.5,100,250,EEUFK1A222S(),1800
10,2700,12.5,25,5000,0.022,0.6,5.0,5.0,200,500,EEUFK1A272(),2280
10,3300,18,15,5000,0.036,0.8,7.5,7.5,100,250,EEUFK1A272S(),2060
10,3300,12.5,30,5000,0.018,0.8,5.0,,100,,EEUFK1A332L,2720
10,3900,12.5,35,5000,0.016,0.8,5.0,,100,,EEUFK1A392L,2940
10,3900,16,20,5000,0.026,0.8,7.5,7.5,100,250,EEUFK1A392S(),2330
10,4700,12.5,40,5000,0.014,0.8,5.0,,100,,EEUFK1A472L,3010
10,4700,18,20,5000,0.025,0.8,7.5,7.5,100,250,EEUFK1A472S(),2640
10,5600,16,25,5000,0.019,0.8,7.5,7.5,100,250,EEUFK1A562(),2760
10,6800,18,25,5000,0.018,0.8,7.5,7.5,100,250,EEUFK1A682S(),2850
16,270,8,11.5,3000,0.09,0.6,3.5,5.0,200,1000,EEUFK1C271(),630
16,390,8,15,3000,0.062,0.6,3.5,5.0,200,1000,EEUFK1C391L(),860
16,470,10,12.5,4000,0.063,0.6,5.0,5.0,200,500,EEUFK1C471(),900
16,560,8,20,3000,0.044,0.6,3.5,5.0,200,1000,EEUFK1C561L(),1220
16,820,10,16,4000,0.049,0.6,5.0,5.0,200,500,EEUFK1C561(),1240
16,1000,10,20,4000,0.035,0.6,5.0,5.0,200,500,EEUFK1C821(),1490
16,1200,12.5,15,5000,0.048,0.6,5.0,5.0,200,500,EEUFK1C821S(),1400
16,1500,10,25,4000,0.033,0.6,5.0,5.0,200,500,EEUFK1C102L(),1680
16,1800,12.5,20,5000,0.029,0.6,5.0,5.0,200,500,EEUFK1C122(),1890
16,2200,10,30,4000,0.025,0.6,5.0,,100,,EEUFK1C152L,2140
16,2200,16,15,5000,0.038,0.8,7.5,7.5,100,250,EEUFK1C152S(),1800
16,2700,12.5,25,5000,0.022,0.6,5.0,5.0,200,500,EEUFK1C182(),2280
16,3300,18,15,5000,0.036,0.8,7.5,7.5,100,250,EEUFK1C182S(),2060
16,3900,12.5,30,5000,0.018,0.8,5.0,,100,,EEUFK1C222L,2720
16,4700,12.5,35,5000,0.016,0.8,5.0,,100,,EEUFK1C272L,2940
16,4700,16,20,5000,0.026,0.8,7.5,7.5,100,250,EEUFK1C272S(),2330
16,5600,12.5,40,5000,0.014,0.8,5.0,,100,,EEUFK1C332L,3010
16,6800,18,20,5000,0.025,0.8,7.5,7.5,100,250,EEUFK1C332S(),2640
16,8200,18,25,5000,0.018,0.8,7.5,7.5,100,250,EEUFK1C472S(),2850
25,180,8,11.5,3000,0.09,0.6,3.5,5.0,200,1000,EEUFK1E181(),630
25,270,8,15,3000,0.062,0.6,3.5,5.0,200,1000,EEUFK1E271L(),860
25,390,10,12.5,4000,0.063,0.6,5.0,5.0,200,500,EEUFK1E271(),900
25,560,8,20,3000,0.044,0.6,3.5,5.0,200,1000,EEUFK1E391L(),1220
25,680,10,16,4000,0.049,0.6,5.0,5.0,200,500,EEUFK1E391(),1240
25,820,10,20,4000,0.035,0.6,5.0,5.0,200,500,EEUFK1E561(),1490
25,1000,12.5,15,5000,0.048,0.6,5.0,5.0,200,500,EEUFK1E561S(),1400
25,1200,10,25,4000,0.033,0.6,5.0,5.0,200,500,EEUFK1E681L(),1680
25,1500,12.5,20,5000,0.029,0.6,5.0,5.0,200,500,EEUFK1E821(),1890
25,1800,10,30,4000,0.025,0.6,5.0,,100,,EEUFK1E102L,2140
25,2200,16,15,5000,0.038,0.8,7.5,7.5,100,250,EEUFK1E102S(),1800
25,2700,12.5,25,5000,0.022,0.6,5.0,5.0,200,500,EEUFK1E122(),2280
25,3300,18,15,5000,0.036,0.8,7.5,7.5,100,250,EEUFK1E122S(),2060
25,3900,12.5,30,5000,0.018,0.8,5.0,,100,,EEUFK1E152L,2720
25,4700,16,20,5000,0.026,0.8,7.5,7.5,100,250,EEUFK1E152S(),2330
25,5600,12.5,35,5000,0.016,0.8,5.0,,100,,EEUFK1E182L,2940
25,6800,12.5,40,5000,0.014,0.8,5.0,,100,,EEUFK1E222L,3010
25,8200,18,20,5000,0.025,0.8,7.5,7.5,100,250,EEUFK1E222S(),2640
35,180,8,11.5,3000,0.09,0.6,3.5,5.0,200,1000,EEUFK1V181(),630
35,270,8,15,3000,0.062,0.6,3.5,5.0,200,1000,EEUFK1V271L(),860
35,390,10,12.5,4000,0.063,0.6,5.0,5.0,200,500,EEUFK1V271(),900
35,560,8,20,3000,0.044,0.6,3.5,5.0,200,1000,EEUFK1V391L(),1220
35,680,10,16,4000,0.049,0.6,5.0,5.0,200,500,EEUFK1V391(),1240
35,820,10,20,4000,0.035,0.6,5.0,5.0,200,500,EEUFK1V561(),1490
35,1000,12.5,15,5000,0.048,0.6,5.0,5.0,200,500,EEUFK1V561S(),1400
35,1200,10,25,4000,0.033,0.6,5.0,5.0,200,500,EEUFK1V681L(),1680
35,1500,12.5,20,5000,0.029,0.6,5.0,5.0,200,500,EEUFK1V821(),1890
35,1800,10,30,4000,0.025,0.6,5.0,,100,,EEUFK1V102L,2140
35,2200,16,15,5000,0.038,0.8,7.5,7.5,100,250,EEUFK1V102S(),1800
35,2700,12.5,25,5000,0.022,0.6,5.0,5.0,200,500,EEUFK1V122(),2280
35,3300,18,15,5000,0.036,0.8,7.5,7.5,100,250,EEUFK1V122S(),2060
35,3900,12.5,30,5000,0.018,0.8,5.0,,100,,EEUFK1V152L,2720
35,4700,12.5,35,5000,0.016,0.8,5.0,,100,,EEUFK1V182L,2940
35,5600,16,20,5000,0.026,0.8,7.5,7.5,100,250,EEUFK1V182S(),2330
35,6800,12.5,40,5000,0.014,0.8,5.0,,100,,EEUFK1V222L,3010
35,8200,18,20,5000,0.025,0.8,7.5,7.5,100,250,EEUFK1V222S(),2640
35,10000,18,25,5000,0.018,0.8,7.5,7.5,100,250,EEUFK1V332S(),2850
