Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR 20°C@120Hz,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Size Code,VC
6.3,100,0.22,0.65,5,11.5,3.65,2.918,1.46,175,157.87,122.38,148.08,C11,630
10,82,0.19,0.65,5,11.5,3.84,3.073,1.46,175,157.87,122.38,148.08,C11,820
16,56,0.16,0.65,5,11.5,4.74,3.789,1.46,175,157.87,122.38,148.08,C11,896
25,39,0.14,0.65,5,11.5,5.96,4.761,1.46,175,152.25,87.5,133,C11,975
35,27,0.12,0.65,5,11.5,7.37,5.895,1.46,175,152.25,87.5,133,C11,945
50,18,0.1,0.95,5,11.5,9.22,7.368,1.9,120,104.4,60,91.2,C11,900
63,12,0.08,1.2,5,11.5,11.1,8.842,3.6,120,104.4,60,91.2,C11,756
100,5.6,0.07,1.9,5,11.5,20.7,16.579,7.6,57,49.59,28.5,43.32,C11,560
50,1,0.1,3.5,5,11.5,166,132.629,7,36,28.08,14.4,24.48,C11,50
50,2.2,0.1,3,5,11.5,75.4,60.286,6,54,42.12,21.6,36.72,C11,110.00000000000001
50,3.3,0.1,2.6,5,11.5,50.3,40.191,5.2,63,49.14,25.2,42.84,C11,165
50,4.7,0.1,2.2,5,11.5,35.3,28.219,4.4,75,58.5,30,51,C11,235
50,10,0.1,1.4,5,11.5,16.6,13.263,2.8,110,95.7,55,83.6,C11,500
6.3,220,0.22,0.31,6.3,11.5,1.66,1.326,0.7,290,261.61,202.8,245.38,D11,1386
10,180,0.19,0.31,6.3,11.5,1.75,1.4,0.7,290,261.61,202.8,245.38,D11,1800
16,120,0.16,0.31,6.3,11.5,2.21,1.768,0.7,290,261.61,202.8,245.38,D11,1920
25,82,0.14,0.31,6.3,11.5,2.83,2.264,0.7,290,261.61,202.8,245.38,D11,2050
35,56,0.12,0.31,6.3,11.5,3.56,2.842,0.7,290,261.61,202.8,245.38,D11,1960
50,39,0.1,0.43,6.3,11.5,4.25,3.401,0.86,148,128.76,74,112.48,D11,1950
63,27,0.08,0.55,6.3,11.5,4.92,3.93,1.7,148,128.76,74,112.48,D11,1701
100,12,0.07,1.1,6.3,11.5,9.68,7.737,4.4,78,67.86,39,59.28,D11,1200
6.3,470,0.22,0.17,8,12,0.777,0.621,0.38,488,476.29,390.4,452.86,E12,2961
10,330,0.19,0.17,8,12,0.956,0.764,0.38,488,476.29,390.4,452.86,E12,3300
16,270,0.16,0.17,8,12,0.983,0.786,0.38,488,440.22,341.26,412.92,E12,4320
25,180,0.14,0.17,8,12,1.29,1.032,0.38,488,440.22,341.26,412.92,E12,4500
35,120,0.12,0.17,8,12,1.66,1.326,0.38,488,440.22,341.26,412.92,E12,4200
50,68,0.1,0.2,8,12,2.44,1.95,0.4,360,324.76,251.75,304.62,E12,3400
63,47,0.08,0.32,8,12,2.82,2.258,0.96,360,313.2,180,273.6,E12,2961
100,22,0.07,0.53,8,12,5.28,4.22,2.1,275,239.25,137.5,209,E12,2200
6.3,680,0.22,0.13,8,15,0.537,0.429,0.29,617,602.19,493.6,572.58,E15,4284
10,470,0.19,0.13,8,15,0.671,0.536,0.29,617,602.19,493.6,572.58,E15,4700
