Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Ripple Current 125°C@100kHz,Ripple Current 135°C@100kHz
80,470,0.226,0.07,18,20,0.08,0.49,1910,EGPA800E□□471MM20S
80,560,0.189,0.053,16,30,0.08,0.41,2330,EGPA800E□□561ML30S
80,560,0.189,0.049,18,25,0.08,0.34,2280,EGPA800E□□561MM25S
80,680,0.156,0.044,16,35,0.08,0.33,2580,EGPA800E□□681ML35S
80,680,0.156,0.041,18,30,0.08,0.26,2580,EGPA800E□□681MM30S
80,820,0.129,0.036,16,40,0.08,0.26,2900,EGPA800E□□821ML40S
80,820,0.129,0.035,18,35,0.08,0.21,2890,EGPA800E□□821MM35S
80,1200,0.088,0.03,18,40,0.08,0.18,3210,EGPA800E□□122MM40S
100,200,0.531,0.11,16,20,0.08,0.88,1580,EGPA101E□□201ML20S
100,270,0.393,0.091,18,20,0.08,0.73,1690,EGPA101E□□271MM20S
100,300,0.354,0.079,16,25,0.08,0.72,1990,EGPA101E□□301ML25S
100,360,0.295,0.068,16,30,0.08,0.62,2250,EGPA101E□□361ML30S
100,390,0.272,0.064,18,25,0.08,0.5,2110,EGPA101E□□391MM25S
100,470,0.226,0.056,16,35,0.08,0.5,2500,EGPA101E□□471ML35S
100,510,0.208,0.054,18,30,0.08,0.39,2410,EGPA101E□□511MM30S
100,560,0.189,0.046,16,40,0.08,0.39,2700,EGPA101E□□561ML40S
100,620,0.171,0.044,18,35,0.08,0.32,2690,EGPA101E□□621MM35S
100,750,0.141,0.039,18,40,0.08,0.27,2880,EGPA101E□□751MM40S
