Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 85°C@120Hz
6.3,220,2.05,5,11,0.34,ESMG6R3E□□221ME11D,200
6.3,330,1.366,6.3,11,0.34,ESMG6R3E□□331MF11D,270
6.3,470,0.959,6.3,11,0.34,ESMG6R3E□□471MF11D,320
6.3,1000,0.451,8,11.5,0.34,ESMG6R3E□□102MHB5D,540
6.3,2200,0.217,10,20,0.36,ESMG6R3E□□222MJ20S,1000
6.3,3300,0.153,10,20,0.38,ESMG6R3E□□332MJ20S,1185
6.3,4700,0.113,12.5,20,0.4,ESMG6R3E□□472MK20S,1545
6.3,6800,0.086,12.5,25,0.44,ESMG6R3E□□682MK25S,1915
6.3,10000,0.069,16,25,0.52,ESMG6R3E□□103ML25S,2330
6.3,15000,0.055,16,35.5,0.62,ESMG6R3E□□153MLP1S,2845
6.3,22000,0.046,18,40,0.76,ESMG6R3E□□223MM40S,3320
10,220,1.447,5,11,0.24,ESMG100E□□221ME11D,240
10,330,0.965,6.3,11,0.24,ESMG100E□□331MF11D,290
10,470,0.677,6.3,11,0.24,ESMG100E□□471MF11D,350
10,1000,0.318,10,12.5,0.24,ESMG100E□□102MJC5S,650
10,2200,0.157,10,20,0.26,ESMG100E□□222MJ20S,1070
10,3300,0.113,12.5,20,0.28,ESMG100E□□332MK20S,1420
10,4700,0.085,12.5,25,0.3,ESMG100E□□472MK25S,1780
10,6800,0.066,16,25,0.34,ESMG100E□□682ML25S,2220
10,10000,0.056,16,35.5,0.42,ESMG100E□□103MLP1S,2670
10,15000,0.046,18,35.5,0.52,ESMG100E□□153MMP1S,3080
16,100,2.653,5,11,0.2,ESMG160E□□101ME11D,160
16,220,1.206,6.3,11,0.2,ESMG160E□□221MF11D,260
16,330,0.804,8,11.5,0.2,ESMG160E□□331MHB5D,370
16,470,0.564,8,11.5,0.2,ESMG160E□□471MHB5D,440
16,1000,0.265,10,16,0.2,ESMG160E□□102MJ16S,785
16,2200,0.133,12.5,20,0.22,ESMG160E□□222MK20S,1295
16,3300,0.096,12.5,25,0.24,ESMG160E□□332MK25S,1655
16,4700,0.073,16,25,0.26,ESMG160E□□472ML25S,2090
16,6800,0.059,16,31.5,0.3,ESMG160E□□682MLN3S,2520
16,10000,0.05,18,35.5,0.38,ESMG160E□□103MMP1S,2920
25,47,4.515,5,11,0.16,ESMG250E□□470ME11D,115
25,100,2.122,6.3,11,0.16,ESMG250E□□101MF11D,190
25,220,0.965,8,11.5,0.16,ESMG250E□□221MHB5D,330
25,330,0.643,8,11.5,0.16,ESMG250E□□331MHB5D,440
25,470,0.452,10,12.5,0.16,ESMG250E□□471MJC5S,545
25,1000,0.212,10,20,0.16,ESMG250E□□102MJ20S,955
25,2200,0.109,12.5,25,0.18,ESMG250E□□222MK25S,1540
25,3300,0.08,16,25,0.2,ESMG250E□□332ML25S,1975
25,4700,0.062,16,31.5,0.22,ESMG250E□□472MLN3S,2420
25,6800,0.051,18,35.5,0.26,ESMG250E□□682MMP1S,2880
35,47,3.951,5,11,0.14,ESMG350E□□470ME11D,130
35,100,1.857,6.3,11,0.14,ESMG350E□□101MF11D,210
35,220,0.844,8,11.5,0.14,ESMG350E□□221MHB5D,385
35,330,0.563,10,12.5,0.14,ESMG350E□□331MJC5S,490
35,470,0.395,10,16,0.14,ESMG350E□□471MJ16S,645
35,1000,0.186,12.5,20,0.14,ESMG350E□□102MK20S,1145
35,2200,0.096,16,25,0.16,ESMG350E□□222ML25S,1785
35,3300,0.072,16,35.5,0.18,ESMG350E□□332MLP1S,2275
35,4700,0.056,18,35.5,0.2,ESMG350E□□472MMP1S,2700
50,1,159.155,5,11,0.12,ESMG500E□□1R0ME11D,17
50,2.2,72.343,5,11,0.12,ESMG500E□□2R2ME11D,28
50,3.3,48.229,5,11,0.12,ESMG500E□□3R3ME11D,35
50,4.7,33.863,5,11,0.12,ESMG500E□□4R7ME11D,41
50,10,15.916,5,11,0.12,ESMG500E□□100ME11D,60
50,22,7.234,5,11,0.12,ESMG500E□□220ME11D,95
50,33,4.823,5,11,0.12,ESMG500E□□330ME11D,125
50,47,3.386,6.3,11,0.12,ESMG500E□□470MF11D,155
50,100,1.592,8,11.5,0.12,ESMG500E□□101MHB5D,260
50,220,0.723,10,12.5,0.12,ESMG500E□□221MJC5S,430
50,330,0.482,10,16,0.12,ESMG500E□□331MJ16S,585
50,470,0.339,10,20,0.12,ESMG500E□□471MJ20S,755
50,1000,0.159,12.5,25,0.12,ESMG500E□□102MK25S,1340
