Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Endurance 125°C,Endurance 135°C,Lead Diameter,Lead Space,Lead Space Taping,Min Packaging Qty Straight,Min Packaging Qty Taping,Part Number,Ripple Current 125°C,Ripple Current 135°C
35,390,0.408,0.052,10,20,0.12,3000,2000,0.6,5.0,5.0,200,500,EEUTP1V391( ),1540,1100
35,470,0.339,0.038,12.5,20,0.12,4000,2000,0.6,5.0,5.0,200,500,EEUTP1V471( ),1860,1490
35,560,0.284,0.038,12.5,20,0.12,4000,2000,0.6,5.0,5.0,200,500,EEUTP1V561( ),1860,1490
35,620,0.257,0.038,12.5,20,0.12,4000,2000,0.6,5.0,5.0,200,500,EEUTP1V621( ),1860,1490
35,820,0.194,0.03,12.5,25,0.12,4000,2000,0.6,5.0,5.0,200,500,EEUTP1V821( ),2180,1750
35,1000,0.159,0.029,16,20,0.12,5000,2000,0.8,7.5,7.5,100,250,EEUTP1V102( ),2380,1985
35,1200,0.133,0.029,16,20,0.12,5000,2000,0.8,7.5,7.5,100,250,EEUTP1V122( ),2380,1985
35,1500,0.106,0.022,16,25,0.12,5000,2000,0.8,7.5,7.5,100,250,EEUTP1V152( ),2760,2300
35,1500,0.106,0.028,18,20,0.12,5000,2000,0.8,7.5,7.5,100,250,EEUTP1V152S( ),2700,2250
35,1600,0.099,0.022,16,25,0.12,5000,2000,0.8,7.5,7.5,100,250,EEUTP1V162( ),2760,2300
35,1800,0.088,0.018,16,31.5,0.12,5000,2000,0.8,7.5,,100,,EEUTP1V182,3250,2710
35,1800,0.088,0.02,18,25,0.12,5000,2000,0.8,7.5,7.5,100,250,EEUTP1V182S( ),2960,2470
35,2000,0.093,0.018,16,31.5,0.14,5000,2000,0.8,7.5,,100,,EEUTP1V202,3250,2710
35,2000,0.093,0.02,18,25,0.14,5000,2000,0.8,7.5,7.5,100,250,EEUTP1V202S( ),2960,2470
35,2200,0.084,0.016,18,31.5,0.14,5000,2000,0.8,7.5,,50,,EEUTP1V222,3480,2900
35,2700,0.069,0.016,18,31.5,0.14,5000,2000,0.8,7.5,,50,,EEUTP1V272,3480,2900
