Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Ripple Current 150°C@100kHz,Ripple Current 150°C@10kHz,Ripple Current 150°C@120Hz,Ripple Current 150°C@1kHz,Size Code,VC
35,2200,0.12,0.038,16,26.5,0.38,0.096,1800,1800,1525.42,1708.47,J26,77000
35,2700,0.12,0.032,16,33,0.32,0.079,2200,2200,1864.41,2088.14,J33,94500
35,3000,0.12,0.03,16,37,0.3,0.08,2600,2600,2203.39,2467.8,J37,105000
35,3600,0.12,0.027,16,41.5,0.27,0.066,3000,3000,2542.37,2847.46,J41,126000
35,2400,0.12,0.036,18,27.5,0.36,0.088,2200,2200,1864.41,2088.14,K27,84000
35,3300,0.12,0.028,18,34,0.28,0.072,2800,2800,2372.88,2657.63,K34,115500
35,4700,0.12,0.023,18,42.5,0.23,0.056,3600,3600,3050.85,3416.95,K42,164500
50,1300,0.1,0.04,16,26.5,0.4,0.122,1800,1800,1525.42,1708.47,J26,65000
50,1800,0.1,0.038,16,33,0.38,0.088,2200,2200,1864.41,2088.14,J33,90000
50,2000,0.1,0.032,16,37,0.32,0.093,2600,2600,2203.39,2467.8,J37,100000
50,2400,0.1,0.029,16,41.5,0.29,0.077,3000,3000,2542.37,2847.46,J41,120000
50,1800,0.1,0.034,18,27.5,0.34,0.088,2200,2200,1864.41,2088.14,K27,90000
50,2400,0.1,0.03,18,34,0.3,0.077,2700,2700,2288.14,2562.71,K34,120000
50,3000,0.1,0.023,18,42.5,0.23,0.071,3700,3700,3135.59,3511.86,K42,150000
