Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 125°C@50Hz,Ripple Current 125°C@60Hz,Size Code,VC
10,220,0.2,0.153,8,12,1.206,501,501,325.32,426.18,276.53,276.53,E12,2200
10,330,0.2,0.153,8,12,0.804,501,501,325.32,426.18,276.53,276.53,E12,3300
10,330,0.2,0.098,10,12.5,0.804,732,732,475.32,622.68,404.03,404.03,F12,3300
10,470,0.2,0.098,10,12.5,0.564,732,732,550.38,660.45,511.85,511.85,F12,4700
10,1000,0.2,0.057,10,20,0.292,1140,1140,857.14,1028.57,797.14,797.14,F20,10000
10,1000,0.2,0.059,12.5,15,0.292,1380,1380,1037.59,1245.11,964.96,964.96,G15,10000
10,2200,0.2,0.032,12.5,25,0.145,2400,2400,2033.9,2277.97,1911.86,1911.86,G25,22000
10,2200,0.2,0.032,16,20,0.145,2280,2280,1932.2,2164.07,1816.27,1816.27,J20,22000
10,2200,0.2,0.041,18,16,0.145,2170,2170,1838.98,2059.66,1728.64,1728.64,K16,22000
10,3300,0.2,0.024,16,25,0.104,3100,3100,2627.12,2942.37,2469.49,2469.49,J25,33000
10,3300,0.2,0.029,18,20,0.104,2490,2490,2110.17,2363.39,1983.56,1983.56,K20,33000
10,4700,0.2,0.02,16,31.5,0.079,3160,3160,2677.97,2999.32,2517.29,2517.29,J31,47000
10,4700,0.2,0.022,18,25,0.079,3200,3200,2711.86,3037.29,2549.15,2549.15,K25,47000
16,100,0.16,0.153,8,12,2.122,501,501,325.32,426.18,276.53,276.53,E12,1600
16,220,0.16,0.153,8,12,0.965,501,501,325.32,426.18,276.53,276.53,E12,3520
16,220,0.16,0.098,10,12.5,0.965,732,732,475.32,622.68,404.03,404.03,F12,3520
16,330,0.16,0.153,8,12,0.643,501,501,325.32,426.18,276.53,276.53,E12,5280
16,330,0.16,0.098,10,12.5,0.643,732,732,475.32,622.68,404.03,404.03,F12,5280
16,470,0.16,0.075,10,16,0.452,953,953,716.54,859.85,666.38,666.38,F16,7520
16,1000,0.16,0.057,10,20,0.239,1140,1140,857.14,1028.57,797.14,797.14,F20,16000
16,1000,0.16,0.04,12.5,20,0.239,1820,1820,1368.42,1642.11,1272.63,1272.63,G20,16000
