Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
250,220,0.2,18,30.5,-40,105,1.206,10000,2300,300,UCS2E221MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,3130,3130,1738.89,2782.22,1391.11,MP,55000,Normal,13.1
350,6.8,0.24,10,16,-40,105,46.81,8000,195,1800,UCS2V6R8MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,280,280,155.56,248.89,124.44,MP,2380,Normal,1.77
350,10,0.24,10,20,-40,105,31.831,8000,240,1400,UCS2V100MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,350,350,194.44,311.11,155.56,MP,3500,Normal,2.34
350,22,0.24,12.5,20,-40,105,14.469,10000,408,1000,UCS2V220MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,650,650,361.11,577.78,288.89,MP,7700,Normal,3.43
350,33,0.24,16,20,-40,105,9.646,10000,562,600,UCS2V330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,900,900,500,800,400,MP,11550,Normal,6.6
350,47,0.24,16,20,-40,105,6.773,10000,758,600,UCS2V470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1080,1080,600,960,480,MP,16450,Normal,6.6
350,68,0.24,16,25,-40,105,4.681,10000,1052,400,UCS2V680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1400,1400,777.78,1244.44,622.22,MP,23800,Normal,8.2
350,68,0.24,18,20,-40,105,4.681,10000,1052,400,UCS2V680MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1375,1375,763.89,1222.22,611.11,MP,23800,Normal,9
350,82,0.24,18,25,-40,105,3.882,10000,1248,300,UCS2V820MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1530,1530,850,1360,680,MP,28700,Normal,10.6
350,100,0.24,18,25,-40,105,3.183,10000,1500,300,UCS2V101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1575,1575,875,1400,700,MP,35000,Normal,10.6
400,6.8,0.24,10,16,-40,105,46.81,8000,209,1800,UCS2G6R8MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,280,280,155.56,248.89,124.44,MP,2720,Normal,1.77
400,10,0.24,10,20,-40,105,31.831,8000,260,1400,UCS2G100MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,350,350,194.44,311.11,155.56,MP,4000,Normal,2.34
400,15,0.24,12.5,20,-40,105,21.221,10000,340,1000,UCS2G150MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,550,550,305.56,488.89,244.44,MP,6000,Normal,3.43
400,22,0.24,12.5,20,-40,105,14.469,10000,452,1000,UCS2G220MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,760,760,422.22,675.56,337.78,MP,8800,Normal,3.43
400,33,0.24,16,20,-40,105,9.646,10000,628,600,UCS2G330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,900,900,500,800,400,MP,13200,Normal,6.6
400,39,0.24,10,40,-40,105,8.162,10000,724,500,UCS2G390MND9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,800,800,444.44,711.11,355.56,LTB,15600,Normal,5.24
400,47,0.24,16,25,-40,105,6.773,10000,852,400,UCS2G470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1180,1180,655.56,1048.89,524.44,MP,18800,Normal,8.2
400,47,0.24,18,20,-40,105,6.773,10000,852,400,UCS2G470MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1180,1180,655.56,1048.89,524.44,MP,18800,Normal,9
400,56,0.24,10,50,-40,105,5.684,10000,996,300,UCS2G560MND9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1040,1040,577.78,924.44,462.22,LTB,22400,Normal,6.45
400,68,0.24,18,25,-40,105,4.681,10000,1188,300,UCS2G680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1470,1470,816.67,1306.67,653.33,MP,27200,Normal,10.6
400,82,0.24,12.5,50,-40,105,3.882,10000,1412,400,UCS2G820MNY9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1400,1400,777.78,1244.44,622.22,LTB,32800,Normal,10.4
400,82,0.24,18,25,-40,105,3.882,10000,1412,300,UCS2G820MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1525,1525,847.22,1355.56,677.78,MP,32800,Normal,10.6
450,6.8,0.24,10,20,-40,105,46.81,8000,222,1400,UCS2W6R8MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,280,280,155.56,248.89,124.44,MP,3060,Normal,2.34
450,10,0.24,12.5,20,-40,105,31.831,10000,280,1000,UCS2W100MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,450,450,250,400,200,MP,4500,Normal,3.43
450,15,0.24,12.5,25,-40,105,21.221,10000,370,800,UCS2W150MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,600,600,333.33,533.33,266.67,MP,6750,Normal,4.56
450,22,0.24,16,20,-40,105,14.469,10000,496,600,UCS2W220MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,730,730,405.56,648.89,324.44,MP,9900,Normal,6.6
450,27,0.24,10,40,-40,105,11.789,10000,586,500,UCS2W270MND9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,580,580,322.22,515.56,257.78,LTB,12150,Normal,5.24
450,33,0.24,10,40,-40,105,9.646,10000,694,500,UCS2W330MND9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,720,720,400,640,320,LTB,14850,Normal,5.24
450,33,0.24,16,25,-40,105,9.646,10000,694,400,UCS2W330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,980,980,544.44,871.11,435.56,MP,14850,Normal,8.2
450,33,0.24,18,20,-40,105,9.646,10000,694,400,UCS2W330MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,980,980,544.44,871.11,435.56,MP,14850,Normal,9
450,39,0.24,10,50,-40,105,8.162,10000,802,300,UCS2W390MND9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,820,820,455.56,728.89,364.44,LTB,17550,Normal,6.45
450,47,0.24,18,25,-40,105,6.773,10000,946,300,UCS2W470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1200,1200,666.67,1066.67,533.33,MP,21150,Normal,10.6
450,68,0.24,12.5,50,-40,105,4.681,10000,1324,400,UCS2W680MNY9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1340,1340,744.44,1191.11,595.56,LTB,30600,Normal,10.4
450,68,0.24,18,30.5,-40,105,4.681,10000,1324,300,UCS2W680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1575,1575,875,1400,700,MP,30600,Normal,13.1
