Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
10,3300,0.23,0.018,12.5,25,-40,105,0.117,5000,0.045,330,800,UHD1A332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2770,2770,2216,2637.04,2083.04,MP,33000,Normal,4.56
10,3900,0.23,0.016,12.5,30.5,-40,105,0.099,5000,0.041,390,600,UHD1A392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3290,3290,2632,3132.08,2474.08,MP,39000,Normal,6.01
10,3900,0.23,0.018,16,20,-40,105,0.099,5000,0.045,390,600,UHD1A392MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3140,3140,2512,2989.28,2361.28,MP,39000,Normal,6.6
10,4700,0.25,0.015,12.5,35.5,-40,105,0.093,5000,0.039,470,500,UHD1A472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3400,3400,2720,3236.8,2556.8,MP,47000,Normal,7.06
10,5600,0.27,0.016,16,25,-40,105,0.088,5000,0.043,560,400,UHD1A562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3460,3460,2768,3293.92,2601.92,MP,56000,Normal,8.2
16,56,0.16,0.3,5,11,-40,105,3.789,2000,1,9,6000,UHD1C560MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,250,,,,,EOL,896,Normal,0.44
16,120,0.16,0.13,6.3,11,-40,105,1.768,2000,0.41,19,4000,UHD1C121MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,405,385.17,283.22,342.69,243.57,EOL,1920,Normal,0.59
16,330,0.16,0.072,8,11.5,-40,105,0.643,3000,0.22,53,3000,UHD1C331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,760,722.8,531.47,643.08,457.06,MP,5280,Normal,1.19
16,470,0.16,0.056,8,15,-40,105,0.452,3000,0.17,75,2000,UHD1C471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,995,980.04,748.12,897.74,650.86,MP,7520,Normal,1.36
16,470,0.16,0.053,10,12.5,-40,105,0.452,4000,0.16,75,2000,UHD1C471MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1030,1014.51,774.44,929.32,673.76,MP,7520,Normal,1.49
16,680,0.16,0.041,8,20,-40,105,0.312,3000,0.13,109,2000,UHD1C681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1250,1231.2,939.85,1127.82,817.67,MP,10880,Normal,1.66
16,680,0.16,0.038,10,16,-40,105,0.312,4000,0.12,109,1800,UHD1C681MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1430,1408.5,1075.19,1290.23,935.41,MP,10880,Normal,1.77
16,1000,0.16,0.023,10,20,-40,105,0.239,4000,0.069,160,1400,UHD1C102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1820,1792.63,1368.42,1642.11,1190.53,MP,16000,Normal,2.34
16,1200,0.16,0.022,10,25,-40,105,0.199,4000,0.066,192,1200,UHD1C122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2150,2150,1720,2046.8,1616.8,MP,19200,Normal,3.07
16,1500,0.16,0.021,12.5,20,-40,105,0.159,5000,0.053,240,1000,UHD1C152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2360,2360,1888,2246.72,1774.72,MP,24000,Normal,3.43
16,2200,0.18,0.018,12.5,25,-40,105,0.133,5000,0.045,352,800,UHD1C222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2770,2770,2216,2637.04,2083.04,MP,35200,Normal,4.56
16,2700,0.18,0.016,12.5,30.5,-40,105,0.108,5000,0.041,432,600,UHD1C272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3290,3290,2632,3132.08,2474.08,MP,43200,Normal,6.01
16,2700,0.18,0.018,16,20,-40,105,0.108,5000,0.045,432,600,UHD1C272MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3140,3140,2512,2989.28,2361.28,MP,43200,Normal,6.6
