Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
6.3,100,2.918,1.5,5,11,-55,105,0.22,5000,19,6000,UPV0J101MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,150,EOL,Normal,0.44
6.3,120,2.432,1.1,5,11,-55,105,0.22,5000,23,6000,UPV0J121MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,175,EOL,Normal,0.44
6.3,150,1.945,0.83,6.3,11,-55,105,0.22,5000,28,4000,UPV0J151MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,225,EOL,Normal,0.59
6.3,180,1.621,0.66,6.3,11,-55,105,0.22,5000,34,4000,UPV0J181MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,250,EOL,Normal,0.59
6.3,220,1.326,0.51,6.3,11,-55,105,0.22,5000,42,4000,UPV0J221MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,285,EOL,Normal,0.59
6.3,270,1.081,0.41,8,11.5,-55,105,0.22,5000,51,3000,UPV0J271MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,370,LTB,Normal,1.19
6.3,330,0.884,0.34,8,11.5,-55,105,0.22,5000,62,3000,UPV0J331MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,405,LTB,Normal,1.19
6.3,390,0.748,0.29,8,11.5,-55,105,0.22,5000,74,3000,UPV0J391MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,445,LTB,Normal,1.19
10,68,3.706,1.4,5,11,-55,105,0.19,5000,20,6000,UPV1A680MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,155,EOL,Normal,0.44
10,82,3.073,1.1,5,11,-55,105,0.19,5000,25,6000,UPV1A820MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,175,EOL,Normal,0.44
