Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,Vibration resistant,Weight (g)
6.3,470,0.621,10,12.5,-40,85,0.22,1000,30,2000,UFG0J471MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,270,EOL,Normal,1.49
6.3,1000,0.292,10,20,-40,85,0.22,1000,63,1400,UFG0J102MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,485,EOL,Normal,2.34
6.3,2200,0.145,12.5,25,-40,85,0.24,1000,139,800,UFG0J222MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,867,EOL,Normal,4.56
6.3,3300,0.104,16,25,-40,85,0.26,1000,208,400,UFG0J332MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,1135,EOL,Normal,8.2
6.3,4700,0.079,16,30.5,-40,85,0.28,1000,296,300,UFG0J472MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,1431,EOL,Normal,9.6
6.3,6800,0.062,18,35.5,-40,85,0.32,1000,428,250,UFG0J682MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,1810,EOL,Normal,14.2
6.3,10000,0.053,18,40,-40,85,0.4,1000,630,200,UFG0J103MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,2100,EOL,Normal,17.7
10,47,5.362,5,11,-40,85,0.19,1000,5,6000,UFG1A470MDM,Uni-Polar,Radial Lead,Hi-Grade For Audio,60,EOL,Normal,0.44
10,100,2.52,6.3,11,-40,85,0.19,1000,10,4000,UFG1A101MEM,Uni-Polar,Radial Lead,Hi-Grade For Audio,99,EOL,Normal,0.59
10,220,1.145,8,11.5,-40,85,0.19,1000,22,3000,UFG1A221MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,170,EOL,Normal,1.19
10,330,0.764,10,12.5,-40,85,0.19,1000,33,2000,UFG1A331MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,247,EOL,Normal,1.49
10,470,0.536,10,16,-40,85,0.19,1000,47,1800,UFG1A471MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,330,EOL,Normal,1.77
10,1000,0.252,12.5,20,-40,85,0.19,1000,100,1000,UFG1A102MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,601,EOL,Normal,3.43
10,2200,0.127,16,25,-40,85,0.21,1000,220,400,UFG1A222MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,1047,EOL,Normal,8.2
10,3300,0.092,16,30.5,-40,85,0.23,1000,330,300,UFG1A332MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,1520,EOL,Normal,9.6
10,4700,0.071,16,35.5,-40,85,0.25,1000,470,300,UFG1A472MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,1840,EOL,Normal,11.8
10,6800,0.057,18,40,-40,85,0.29,1000,680,200,UFG1A682MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,2049,EOL,Normal,17.7
16,33,6.431,5,11,-40,85,0.16,1000,5,6000,UFG1C330MDM,Uni-Polar,Radial Lead,Hi-Grade For Audio,57,EOL,Normal,0.44
16,47,4.515,6.3,11,-40,85,0.16,1000,8,4000,UFG1C470MEM,Uni-Polar,Radial Lead,Hi-Grade For Audio,74,EOL,Normal,0.59
16,100,2.122,8,11.5,-40,85,0.16,1000,16,3000,UFG1C101MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,128,EOL,Normal,1.19
16,220,0.965,10,12.5,-40,85,0.16,1000,35,2000,UFG1C221MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,226,EOL,Normal,1.49
16,330,0.643,10,16,-40,85,0.16,1000,53,1800,UFG1C331MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,309,EOL,Normal,1.77
16,470,0.452,10,20,-40,85,0.16,1000,75,1400,UFG1C471MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,406,EOL,Normal,2.34
16,1000,0.212,12.5,25,-40,85,0.16,1000,160,800,UFG1C102MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,723,EOL,Normal,4.56
16,2200,0.109,16,25,-40,85,0.18,1000,352,400,UFG1C222MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,1290,EOL,Normal,8.2
16,3300,0.08,16,35.5,-40,85,0.2,1000,528,300,UFG1C332MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,1720,EOL,Normal,11.8
16,4700,0.062,18,35.5,-40,85,0.22,1000,752,250,UFG1C472MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,2140,EOL,Normal,14.2
25,22,8.44,5,11,-40,85,0.14,1000,6,6000,UFG1E220MDM,Uni-Polar,Radial Lead,Hi-Grade For Audio,50,EOL,Normal,0.44
25,33,5.627,6.3,11,-40,85,0.14,1000,8,4000,UFG1E330MEM,Uni-Polar,Radial Lead,Hi-Grade For Audio,70,EOL,Normal,0.59
25,47,3.951,6.3,11,-40,85,0.14,1000,12,4000,UFG1E470MEM,Uni-Polar,Radial Lead,Hi-Grade For Audio,85,EOL,Normal,0.59
25,100,1.857,8,11.5,-40,85,0.14,1000,25,3000,UFG1E101MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,140,EOL,Normal,1.19
25,220,0.844,10,16,-40,85,0.14,1000,55,1800,UFG1E221MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,260,EOL,Normal,1.77
25,330,0.563,10,20,-40,85,0.14,1000,83,1400,UFG1E331MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,351,EOL,Normal,2.34
25,470,0.395,12.5,20,-40,85,0.14,1000,118,1000,UFG1E471MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,476,EOL,Normal,3.43
25,1000,0.186,16,25,-40,85,0.14,1000,250,400,UFG1E102MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,854,EOL,Normal,8.2
25,2200,0.096,16,35.5,-40,85,0.16,1000,550,300,UFG1E222MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,1570,EOL,Normal,11.8
25,3300,0.072,18,40,-40,85,0.18,1000,825,200,UFG1E332MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,1794,EOL,Normal,17.7
35,22,7.234,6.3,11,-40,85,0.12,1000,8,4000,UFG1V220MEM,Uni-Polar,Radial Lead,Hi-Grade For Audio,60,EOL,Normal,0.59
