Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,Vibration resistant,Weight (g)
25,330,0.643,10,12.5,-40,85,0.16,2000,248,2000,UKW1E331MPD,Uni-Polar,Radial Lead,Standard,420,MP,Normal,1.49
25,470,0.452,10,12.5,-40,85,0.16,2000,353,2000,UKW1E471MPD,Uni-Polar,Radial Lead,Standard,530,MP,Normal,1.49
25,1000,0.212,10,20,-40,85,0.16,2000,750,1400,UKW1E102MPD,Uni-Polar,Radial Lead,Standard,950,MP,Normal,2.34
25,2200,0.109,12.5,25,-40,85,0.18,2000,1650,800,UKW1E222MHD,Uni-Polar,Radial Lead,Standard,1550,MP,Normal,4.56
25,3300,0.08,16,25,-40,85,0.2,2000,2475,400,UKW1E332MHD,Uni-Polar,Radial Lead,Standard,1950,MP,Normal,8.2
25,4700,0.062,16,30.5,-40,85,0.22,2000,3525,300,UKW1E472MHD,Uni-Polar,Radial Lead,Standard,2360,MP,Normal,9.6
25,6800,0.051,18,35.5,-40,85,0.26,2000,5100,250,UKW1E682MHD,Uni-Polar,Radial Lead,Standard,2590,MP,Normal,14.2
25,10000,0.045,20,40,-40,85,0.34,2000,7500,150,UKW1E103MRD,Uni-Polar,Radial Lead,Standard,3000,EOL,Normal,19.6
25,15000,0.039,22,50,-40,85,0.44,2000,11250,250,UKW1E153MRD,Uni-Polar,Radial Lead,Standard,3800,EOL,Normal,27.4
25,22000,0.035,25,50,-40,85,0.58,2000,16500,140,UKW1E223MRD,Uni-Polar,Radial Lead,Standard,4500,EOL,Normal,38.8
35,33,5.627,5,11,-40,85,0.14,2000,35,6000,UKW1V330MDD,Uni-Polar,Radial Lead,Standard,105,EOL,Normal,0.44
35,47,3.951,5,11,-40,85,0.14,2000,49,6000,UKW1V470MDD,Uni-Polar,Radial Lead,Standard,120,EOL,Normal,0.44
35,100,1.857,6.3,11,-40,85,0.14,2000,105,4000,UKW1V101MED,Uni-Polar,Radial Lead,Standard,200,EOL,Normal,0.59
35,220,0.844,10,12.5,-40,85,0.14,2000,231,2000,UKW1V221MPD,Uni-Polar,Radial Lead,Standard,370,MP,Normal,1.49
35,330,0.563,10,12.5,-40,85,0.14,2000,347,2000,UKW1V331MPD,Uni-Polar,Radial Lead,Standard,470,MP,Normal,1.49
35,470,0.395,10,16,-40,85,0.14,2000,494,1800,UKW1V471MPD,Uni-Polar,Radial Lead,Standard,630,MP,Normal,1.77
35,1000,0.186,12.5,20,-40,85,0.14,2000,1050,1000,UKW1V102MHD,Uni-Polar,Radial Lead,Standard,1100,MP,Normal,3.43
35,2200,0.096,16,25,-40,85,0.16,2000,2310,400,UKW1V222MHD,Uni-Polar,Radial Lead,Standard,1800,MP,Normal,8.2
35,3300,0.072,16,35.5,-40,85,0.18,2000,3465,300,UKW1V332MHD,Uni-Polar,Radial Lead,Standard,2220,MP,Normal,11.8
35,4700,0.056,18,35.5,-40,85,0.2,2000,4935,250,UKW1V472MHD,Uni-Polar,Radial Lead,Standard,2490,MP,Normal,14.2
35,6800,0.047,20,40,-40,85,0.24,2000,7140,150,UKW1V682MRD,Uni-Polar,Radial Lead,Standard,3000,EOL,Normal,19.6
35,10000,0.042,22,50,-40,85,0.32,2000,10500,250,UKW1V103MRD,Uni-Polar,Radial Lead,Standard,3700,EOL,Normal,27.4
35,15000,0.037,25,50,-40,85,0.42,2000,15750,140,UKW1V153MRD,Uni-Polar,Radial Lead,Standard,4300,EOL,Normal,38.8
50,2.2,72.343,5,11,-40,85,0.12,2000,4,6000,UKW1H2R2MDD,Uni-Polar,Radial Lead,Standard,23,EOL,Normal,0.44
50,3.3,48.229,5,11,-40,85,0.12,2000,5,6000,UKW1H3R3MDD,Uni-Polar,Radial Lead,Standard,35,EOL,Normal,0.44
50,4.7,33.863,5,11,-40,85,0.12,2000,7,6000,UKW1H4R7MDD,Uni-Polar,Radial Lead,Standard,40,EOL,Normal,0.44
50,10,15.916,5,11,-40,85,0.12,2000,15,6000,UKW1H100MDD,Uni-Polar,Radial Lead,Standard,65,EOL,Normal,0.44
50,22,7.234,5,11,-40,85,0.12,2000,33,6000,UKW1H220MDD,Uni-Polar,Radial Lead,Standard,95,EOL,Normal,0.44
