Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Leakage Current,Part Number,Ripple Current,Surge Voltage
6.3,47,733.694,5,11,26,3.0,ESE476M6R3AC3(1),60,8
6.3,68,507.112,5,11,26,4.3,ESE686M6R3AC3(1),75,8
6.3,100,344.836,5,11,26,6.3,ESE107M6R3AC3(1),100,8
6.3,150,229.891,5,11,26,9.5,ESE157M6R3AC3(1),120,8
6.3,220,156.744,5,11,26,13.9,ESE227M6R3AC3(1),140,8
6.3,220,156.744,6.3,11,26,13.9,ESE227M6R3AE3(1),165,8
6.3,330,104.496,6.3,11,26,20.8,ESE337M6R3AE3(1),160,8
6.3,470,73.369,6.3,11,26,29.6,ESE477M6R3AE3(1),220,8
6.3,680,50.711,8,11,26,42.8,ESE687M6R3AG3(1),255,8
6.3,1000,34.484,8,11,26,63.0,ESE108M6R3AG3(1),370,8
6.3,1000,34.484,10,12.5,26,63.0,ESE108M6R3AH9(1),470,8
6.3,1500,22.989,10,15,26,94.5,ESE158M6R3AH2(1),600,8
6.3,2200,15.674,10,20,26,138.6,ESE228M6R3AH4(1),740,8
6.3,3300,10.45,13,20,26,207.9,ESE338M6R3AL3(1),1100,8
6.3,4700,7.337,13,25,26,296.1,ESE478M6R3AL4(1),1100,8
6.3,6800,5.071,13,25,26,428.4,ESE688M6R3AL4(1),1250,8
6.3,10000,3.448,16,25,26,630.0,ESE109M6R3AM7(1),1560,8
6.3,15000,2.299,18,32,26,945.0,ESE159M6R3AN1(1),2100,8
10,22,1326.292,5,11,22,3.0,ESE226M010AC3(1),45,13
10,33,884.195,5,11,22,3.3,ESE336M010AC3(1),60,13
10,47,620.818,5,11,22,4.7,ESE476M010AC3(1),75,13
10,68,429.095,5,11,22,6.8,ESE686M010AC3(1),80,13
10,100,291.784,5,11,22,10.0,ESE107M010AC3(1),110,13
10,150,194.523,5,11,22,15.0,ESE157M010AC3(1),110,13
10,220,132.629,6.3,11,22,22.0,ESE227M010AE3(1),180,13
10,330,88.419,6.3,11,22,33.0,ESE337M010AE3(1),205,13
10,470,62.082,6.3,11,22,47.0,ESE477M010AE3(1),245,13
10,470,62.082,8,11,22,47.0,ESE477M010AG3(1),305,13
10,680,42.909,8,11,22,68.0,ESE687M010AG3(1),335,13
10,680,42.909,10,12.5,22,68.0,ESE687M010AH9(1),420,13
10,1000,29.178,8,15,22,100.0,ESE108M010AG4(1),450,13
10,1000,29.178,10,12.5,22,100.0,ESE108M010AH9(1),490,13
10,1500,19.452,10,20,22,150.0,ESE158M010AH4(1),750,13
10,2200,13.263,10,20,22,220.0,ESE228M010AH4(1),800,13
10,3300,8.842,10,25,22,330.0,ESE338M010AH5(1),950,13
10,3300,8.842,13,20,22,330.0,ESE338M010AL3(1),1050,13
10,4700,6.208,13,25,22,470.0,ESE478M010AL4(1),1190,13
10,6800,4.291,16,25,22,680.0,ESE688M010AM7(1),1370,13
10,10000,2.918,16,36,22,1000.0,ESE109M010AM3(1),1760,13
10,15000,1.945,18,36,22,1500.0,ESE159M010AN2(1),2150,13
16,10,2387.326,5,11,18,3.0,ESE106M016AC3(1),25,20
16,15,1591.551,5,11,18,3.0,ESE156M016AC3(1),40,20
16,22,1085.148,5,11,18,3.5,ESE226M016AC3(1),55,20
16,33,723.432,5,11,18,5.3,ESE336M016AC3(1),70,20
16,47,507.942,5,11,18,7.5,ESE476M016AC3(1),85,20
16,68,351.077,5,11,18,10.9,ESE686M016AC3(1),100,20
16,100,238.733,5,11,18,16.0,ESE107M016AC3(1),110,20
16,150,159.155,6.3,11,18,24.0,ESE157M016AE3(1),175,20
16,220,108.515,6.3,11,18,35.2,ESE227M016AE3(1),180,20
16,330,72.343,8,11,18,52.8,ESE337M016AG3(1),285,20
16,470,50.794,8,11,18,75.2,ESE477M016AG3(1),310,20
16,680,35.108,10,12.5,18,108.8,ESE687M016AH9(1),455,20
16,1000,23.873,8,20,18,160.0,ESE108M016AG6(1),600,20
16,1000,23.873,10,15,18,160.0,ESE108M016AH2(1),590,20
16,1500,15.916,10,20,18,240.0,ESE158M016AH4(1),680,20
16,2200,10.851,13,20,18,352.0,ESE228M016AL3(1),990,20
16,3300,7.234,13,25,18,528.0,ESE338M016AL4(1),1140,20
16,4700,5.079,16,25,18,752.0,ESE478M016AM7(1),1330,20
16,6800,3.511,16,32,18,1088.0,ESE688M016AM2(1),1580,20
16,10000,2.387,18,36,18,1600.0,ESE109M016AN2(1),2150,20
25,4.7,4515.038,5,11,16,3.0,ESE475M025AC3(1),20,32
25,6.8,3120.688,5,11,16,3.0,ESE685M025AC3(1),25,32
25,10,2122.068,5,11,16,3.0,ESE106M025AC3(1),30,32
25,15,1414.712,5,11,16,3.8,ESE156M025AC3(1),45,32
25,22,964.576,5,11,16,5.5,ESE226M025AC3(1),60,32
25,33,643.051,5,11,16,8.3,ESE336M025AC3(1),75,32
25,47,451.504,5,11,16,11.8,ESE476M025AC3(1),90,32
25,68,312.069,6.3,11,16,17.0,ESE686M025AE3(1),125,32
25,100,212.207,6.3,11,16,25.0,ESE107M025AE3(1),145,32
25,150,141.471,8,11,16,37.5,ESE157M025AG3(1),200,32
25,220,96.458,8,11,16,55.0,ESE227M025AG3(1),200,32
25,330,64.305,8,11,16,82.5,ESE337M025AG3(1),265,32
25,330,64.305,8,15,16,82.5,ESE337M025AG4(1),320,32
25,470,45.15,8,15,16,117.5,ESE477M025AG4(1),365,32
25,680,31.207,10,15,16,170.0,ESE687M025AH2(1),650,32
25,1000,21.221,10,20,16,250.0,ESE108M025AH4(1),680,32
25,1500,14.147,13,20,16,375.0,ESE158M025AL3(1),880,32
25,2200,9.646,13,25,16,550.0,ESE228M025AL4(1),1030,32
25,3300,6.431,16,25,16,825.0,ESE338M025AM7(1),1230,32
25,4700,4.515,16,32,16,1175.0,ESE478M025AM2(1),1420,32
25,6800,3.121,18,36,16,1700.0,ESE688M025AN2(1),1850,32
35,4.7,3950.658,5,11,14,3.0,ESE475M035AC3(1),25,44
35,6.8,2730.602,5,11,14,3.0,ESE685M035AC3(1),30,44
35,10,1856.809,5,11,14,3.5,ESE106M035AC3(1),40,44
35,15,1237.873,5,11,14,5.3,ESE156M035AC3(1),50,44
35,22,844.004,5,11,14,7.7,ESE226M035AC3(1),65,44
35,33,562.669,5,11,14,11.6,ESE336M035AC3(1),85,44
35,47,395.066,5,11,14,16.5,ESE476M035AC3(1),95,44
35,68,273.06,6.3,11,14,23.8,ESE686M035AE3(1),125,44
35,100,185.681,6.3,11,14,35.0,ESE107M035AE3(1),150,44
35,150,123.787,8,11,14,52.5,ESE157M035AG3(1),200,44
35,220,84.4,8,11,14,77.0,ESE227M035AG3(1),230,44
35,220,84.4,10,12.5,14,77.0,ESE227M035AH9(1),315,44
35,330,56.267,8,15,14,115.5,ESE337M035AG4(1),345,44
35,330,56.267,10,12.5,14,115.5,ESE337M035AH9(1),380,44
35,470,39.507,10,15,14,164.5,ESE477M035AH2(1),415,44
35,680,27.306,10,20,14,238.0,ESE687M035AH4(1),680,44
35,1000,18.568,13,20,14,350.0,ESE108M035AL3(1),850,44
35,1500,12.379,13,25,14,525.0,ESE158M035AL4(1),935,44
35,2200,8.44,16,25,14,770.0,ESE228M035AM7(1),1230,44
35,3300,5.627,16,36,14,1155.0,ESE338M035AM3(1),1470,44
35,4700,3.951,18,36,14,1645.0,ESE478M035AN2(1),1580,44
50,1,15915.508,5,11,12,3.0,ESE105M050AC3(1),12,63
50,2.2,7234.322,5,11,12,3.0,ESE225M050AC3(1),18,63
50,3.3,4822.881,5,11,12,3.0,ESE335M050AC3(1),25,63
50,4.7,3386.278,5,11,12,3.0,ESE475M050AC3(1),30,63
50,6.8,2340.516,5,11,12,3.4,ESE685M050AC3(1),32,63
50,10,1591.551,5,11,12,5.0,ESE106M050AC3(1),50,63
50,15,1061.034,5,11,12,7.5,ESE156M050AC3(1),60,63
50,22,723.432,5,11,12,11.0,ESE226M050AC3(1),75,63
50,33,482.288,5,11,12,16.5,ESE336M050AC3(1),95,63
50,47,338.628,6.3,11,12,23.5,ESE476M050AE3(1),105,63
50,68,234.052,8,11,12,34.0,ESE686M050AG3(1),159,63
50,100,159.155,8,11,12,50.0,ESE107M050AG3(1),160,63
50,150,106.103,10,12.5,12,75.0,ESE157M050AH9(1),289,63
50,220,72.343,10,12.5,12,110.0,ESE227M050AH9(1),340,63
50,330,48.229,10,20,12,165.0,ESE337M050AH4(1),535,63
50,470,33.863,10,20,12,235.0,ESE477M050AH4(1),580,63
50,470,33.863,13,20,12,235.0,ESE477M050AL3(1),730,63
50,680,23.405,13,25,12,340.0,ESE687M050AL4(1),860,63
50,1000,15.916,13,25,12,500.0,ESE108M050AL4(1),930,63
50,1500,10.61,16,25,12,750.0,ESE158M050AM7(1),1220,63
50,2200,7.234,16,36,12,1100.0,ESE228M050AM3(1),1360,63
50,3300,4.823,18,36,12,1650.0,ESE338M050AN2(1),1540,63
63,1,13262.923,5,11,10,3.0,ESE105M063AC3(1),13,79
63,2.2,6028.601,5,11,10,3.0,ESE225M063AC3(1),20,79
63,3.3,4019.068,5,11,10,3.0,ESE335M063AC3(1),27,79
63,4.7,2821.899,5,11,10,3.0,ESE475M063AC3(1),34,79
63,6.8,1950.43,5,11,10,4.3,ESE685M063AC3(1),37,79
63,10,1326.292,5,11,10,6.3,ESE106M063AC3(1),55,79
63,15,884.195,5,11,10,9.5,ESE156M063AC3(1),65,79
63,22,602.86,6.3,11,10,13.9,ESE226M063AE3(1),90,79
63,33,401.907,6.3,11,10,20.8,ESE336M063AE3(1),110,79
63,47,282.19,8,11,10,29.6,ESE476M063AG3(1),155,79
63,100,132.629,8,15,10,63.0,ESE107M063AG4(1),230,79
63,100,132.629,10,12.5,10,63.0,ESE107M063AH9(1),260,79
63,150,88.419,10,15,10,94.5,ESE157M063AH2(1),330,79
63,220,60.286,10,15,10,138.6,ESE227M063AH2(1),400,79
63,220,60.286,10,20,10,138.6,ESE227M063AH4(1),460,79
63,330,40.191,10,20,10,207.9,ESE337M063AH4(1),520,79
63,470,28.219,13,20,10,296.1,ESE477M063AL3(1),700,79
63,680,19.504,13,25,10,428.4,ESE687M063AL4(1),840,79
63,1000,13.263,16,25,10,630.0,ESE108M063AM7(1),1020,79
63,1500,8.842,16,32,10,945.0,ESE158M063AM2(1),1300,79
63,2200,6.029,18,36,10,1386.0,ESE228M063AN2(1),1455,79
100,1,13262.923,5,11,10,3.0,ESE105M100AC3(1),15,125
100,2.2,6028.601,5,11,10,3.0,ESE225M100AC3(1),22,125
100,3.3,4019.068,5,11,10,3.3,ESE335M100AC3(1),29,125
100,4.7,2821.899,5,11,10,4.7,ESE475M100AC3(1),37,125
100,6.8,1950.43,5,11,10,6.8,ESE685M100AC3(1),46,125
100,10,1326.292,5,11,10,10.0,ESE106M100AC3(1),55,125
100,10,1326.292,6.3,11,10,10.0,ESE106M100AE3(1),65,125
100,15,884.195,6.3,11,10,15.0,ESE156M100AE3(1),72,125
100,22,602.86,8,11,10,22.0,ESE226M100AG3(1),115,125
100,33,401.907,8,11,10,33.0,ESE336M100AG3(1),120,125
100,47,282.19,10,12.5,10,47.0,ESE476M100AH9(1),180,125
100,68,195.043,10,15,10,68.0,ESE686M100AH2(1),241,125
100,100,132.629,10,20,10,100.0,ESE107M100AH4(1),385,125
100,150,88.419,13,20,10,150.0,ESE157M100AL3(1),414,125
100,220,60.286,13,25,10,220.0,ESE227M100AL4(1),590,125
100,330,40.191,13,25,10,330.0,ESE337M100AL4(1),600,125
100,470,28.219,16,25,10,470.0,ESE477M100AM7(1),740,125
100,680,19.504,16,36,10,680.0,ESE687M100AM3(1),1200,125
100,1000,13.263,18,40,10,1000.0,ESE108M100AN3(1),1340,125
160,1,19894.385,5,11,15,14.8,ESE105M160AC3(1),17,200
160,2.2,9042.902,6.3,11,15,20.6,ESE225M160AE3(1),25,200
160,3.3,6028.601,6.3,11,15,25.8,ESE335M160AE3(1),30,200
160,4.7,4232.848,6.3,11,15,32.6,ESE475M160AE3(1),34,200
160,6.8,2925.645,8,11,15,42.6,ESE685M160AG3(1),50,200
160,10,1989.438,8,11,15,58.0,ESE106M160AG3(1),56,200
160,15,1326.292,10,12.5,15,82.0,ESE156M160AH9(1),80,200
160,22,904.29,10,15,15,115.6,ESE226M160AH2(1),130,200
160,33,602.86,10,20,15,168.4,ESE336M160AH4(1),180,200
160,47,423.285,10,20,15,235.6,ESE476M160AH4(1),230,200
160,68,292.564,13,20,15,336.4,ESE686M160AL3(1),270,200
160,100,198.944,13,25,15,490.0,ESE107M160AL4(1),330,200
160,150,132.629,16,25,15,730.0,ESE157M160AM7(1),410,200
160,220,90.429,16,32,15,1066.0,ESE227M160AM2(1),550,200
160,330,60.286,18,36,15,1594.0,ESE337M160AN2(1),770,200
160,470,42.328,18,40,15,2266.0,ESE477M160AN3(1),800,200
200,1,19894.385,5,11,15,16.0,ESE105M200AC3(1),19,250
200,2.2,9042.902,6.3,11,15,23.2,ESE225M200AE3(1),22,250
200,3.3,6028.601,6.3,11,15,29.8,ESE335M200AE3(1),32,250
200,4.7,4232.848,8,11,15,38.2,ESE475M200AG3(1),40,250
200,6.8,2925.645,8,11,15,50.8,ESE685M200AG3(1),56,250
200,10,1989.438,10,12.5,15,70.0,ESE106M200AH9(1),69,250
200,15,1326.292,10,15,15,100.0,ESE156M200AH2(1),110,250
200,22,904.29,10,15,15,142.0,ESE226M200AH2(1),140,250
200,33,602.86,10,20,15,208.0,ESE336M200AH4(1),190,250
200,47,423.285,13,20,15,292.0,ESE476M200AL3(1),240,250
200,68,292.564,13,25,15,418.0,ESE686M200AL4(1),330,250
200,100,198.944,16,25,15,610.0,ESE107M200AM7(1),410,250
200,150,132.629,16,32,15,910.0,ESE157M200AM2(1),430,250
200,220,90.429,16,36,15,1330.0,ESE227M200AM3(1),520,250
200,220,90.429,18,32,15,1330.0,ESE227M200AN1(1),520,250
200,330,60.286,18,36,15,1990.0,ESE337M200AN2(1),705,250
250,1,19894.385,6.3,11,15,17.5,ESE105M250AE3(1),19,300
250,2.2,9042.902,6.3,11,15,26.5,ESE225M250AE3(1),23,300
250,3.3,6028.601,8,11,15,34.8,ESE335M250AG3(1),33,300
250,4.7,4232.848,8,11,15,45.3,ESE475M250AG3(1),41,300
250,6.8,2925.645,8,11,15,61.0,ESE685M250AG3(1),57,300
250,10,1989.438,10,12.5,15,85.0,ESE106M250AH9(1),78,300
250,15,1326.292,10,15,15,122.5,ESE156M250AH2(1),120,300
250,22,904.29,10,20,15,175.0,ESE226M250AH4(1),155,300
