Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@120Hz
160,22,14.469,10,12.5,0.24,EKXF161E□□220MJC5S,121
160,33,9.646,10,16,0.24,EKXF161E□□330MJ16S,158
200,18,17.684,10,12.5,0.24,EKXF201E□□180MJC5S,113
200,27,11.789,10,16,0.24,EKXF201E□□270MJ16S,149
250,10,31.831,10,12.5,0.24,EKXF251E□□100MJC5S,90
250,12,26.526,10,12.5,0.24,EKXF251E□□120MJC5S,97
250,18,17.684,10,16,0.24,EKXF251E□□180MJ16S,129
400,5.6,56.841,10,12.5,0.24,EKXF401E□□5R6MJC5S,64
400,8.2,38.818,10,16,0.24,EKXF401E□□8R2MJ16S,88
450,6.8,46.81,10,16,0.24,EKXF451E□□6R8MJ16S,62
450,8.2,38.818,10,16,0.24,EKXF451E□□8R2MJ16S,88
450,10,31.831,10,20,0.24,EKXF451E□□100MJ20S,92
450,15,21.221,12.5,20,0.24,EKXF451E□□150MK20S,140
450,22,14.469,12.5,25,0.24,EKXF451E□□220MK25S,240
450,27,11.789,16,20,0.24,EKXF451E□□270ML20S,305
450,33,9.646,16,25,0.24,EKXF451E□□330ML25S,392
450,33,9.646,18,20,0.24,EKXF451E□□330MM20S,312
450,47,6.773,18,25,0.24,EKXF451E□□470MM25S,480
450,68,4.681,18,31.5,0.24,EKXF451E□□680MMN3S,520
