Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
16,220,0.723,26,8,9,-55,105,0.12,3000,704,2000,PLV1C221MCL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2100,NRND,Normal,0.75
16,270,0.589,24,8,12,-55,105,0.12,3000,864,2000,PLV1C271MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2500,NRND,Normal,0.95
16,470,0.339,23,10,13,-55,105,0.12,3000,1504,1000,PLV1C471MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2900,NRND,Normal,1.5
20,150,1.061,27,8,9,-55,105,0.12,3000,600,2000,PLV1D151MCL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2000,NRND,Normal,0.75
20,220,0.723,25,8,12,-55,105,0.12,3000,880,2000,PLV1D221MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2400,NRND,Normal,0.95
20,330,0.482,24,10,13,-55,105,0.12,3000,1320,1000,PLV1D331MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2800,NRND,Normal,1.5
25,120,1.326,28,8,9,-55,105,0.12,3000,600,2000,PLV1E121MCL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2000,NRND,Normal,0.75
25,150,1.061,26,8,12,-55,105,0.12,3000,750,2000,PLV1E151MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2400,NRND,Normal,0.95
25,270,0.589,25,10,13,-55,105,0.12,3000,1350,1000,PLV1E271MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2800,NRND,Normal,1.5
35,56,2.842,29,8,9,-55,105,0.12,3000,392,2000,PLV1V560MCL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,1900,NRND,Normal,0.75
35,82,1.941,27,8,12,-55,105,0.12,3000,574,2000,PLV1V820MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2300,NRND,Normal,0.95
35,150,1.061,26,10,13,-55,105,0.12,3000,1050,1000,PLV1V151MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2700,NRND,Normal,1.5
50,33,4.823,32,8,9,-55,105,0.12,3000,330,2000,PLV1H330MCL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,1900,NRND,Normal,0.75
50,39,4.081,29,8,12,-55,105,0.12,3000,390,2000,PLV1H390MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2200,NRND,Normal,0.95
50,68,2.341,28,10,13,-55,105,0.12,3000,680,1000,PLV1H680MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2600,NRND,Normal,1.5
63,22,7.234,35,8,9,-55,105,0.12,3000,277,2000,PLV1J220MCL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,1800,NRND,Normal,0.75
63,27,5.895,33,8,12,-55,105,0.12,3000,340,2000,PLV1J270MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2100,NRND,Normal,0.95
63,47,3.386,29,10,13,-55,105,0.12,3000,592,1000,PLV1J470MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2600,NRND,Normal,1.5
80,10,15.916,40,8,9,-55,105,0.12,3000,160,2000,PLV1K100MCL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,1700,NRND,Normal,0.75
80,12,13.263,38,8,12,-55,105,0.12,3000,192,2000,PLV1K120MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,1900,NRND,Normal,0.95
80,22,7.234,35,10,13,-55,105,0.12,3000,352,1000,PLV1K220MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2300,NRND,Normal,1.5
100,6.8,23.405,45,8,9,-55,105,0.12,3000,136,2000,PLV2A6R8MCL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,1600,NRND,Normal,0.75
100,10,15.916,42,8,12,-55,105,0.12,3000,200,2000,PLV2A100MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,1800,NRND,Normal,0.95
100,18,8.842,38,10,13,-55,105,0.12,3000,360,1000,PLV2A180MDL1,Uni-Polar,Radial Lead,Hi-Volt. Long Life,2200,NRND,Normal,1.5
