Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz
6.3,220,1.326,0.22,5,11,0.22,0.8,EKZM6R3E□□221ME11D,345
6.3,470,0.621,0.094,6.3,11,0.22,0.35,EKZM6R3E□□471MF11D,540
6.3,820,0.356,0.056,8,11.5,0.22,0.19,EKZM6R3E□□821MHB5D,945
6.3,1200,0.243,0.045,8,15,0.22,0.15,EKZM6R3E□□122MH15D,1250
6.3,1200,0.243,0.039,10,12.5,0.22,0.14,EKZM6R3E□□122MJC5S,1330
6.3,1500,0.195,0.029,8,20,0.22,0.11,EKZM6R3E□□152MH20D,1500
6.3,1800,0.162,0.028,10,16,0.22,0.1,EKZM6R3E□□182MJ16S,1760
6.3,2200,0.145,0.02,10,20,0.24,0.06,EKZM6R3E□□222MJ20S,1960
6.3,2700,0.118,0.018,10,25,0.24,0.054,EKZM6R3E□□272MJ25S,2250
6.3,3900,0.088,0.017,12.5,20,0.26,0.043,EKZM6R3E□□392MK20S,2480
6.3,4700,0.079,0.015,12.5,25,0.28,0.038,EKZM6R3E□□472MK25S,2900
6.3,5600,0.071,0.013,12.5,30,0.3,0.033,EKZM6R3E□□562MK30S,3450
6.3,6800,0.062,0.012,12.5,35,0.32,0.031,EKZM6R3E□□682MK35S,3570
6.3,6800,0.062,0.015,16,20,0.32,0.038,EKZM6R3E□□682ML20S,3250
6.3,8200,0.058,0.013,16,25,0.36,0.035,EKZM6R3E□□822ML25S,3630
6.3,10000,0.053,0.012,18,25,0.4,0.031,EKZM6R3E□□103MM25S,3650
10,150,1.68,0.22,5,11,0.19,0.8,EKZM100E□□151ME11D,345
10,330,0.764,0.094,6.3,11,0.19,0.35,EKZM100E□□331MF11D,540
10,680,0.371,0.056,8,11.5,0.19,0.19,EKZM100E□□681MHB5D,945
10,1000,0.252,0.045,8,15,0.19,0.15,EKZM100E□□102MH15D,1250
10,1000,0.252,0.039,10,12.5,0.19,0.14,EKZM100E□□102MJC5S,1330
10,1500,0.168,0.029,8,20,0.19,0.11,EKZM100E□□152MH20D,1500
10,1500,0.168,0.028,10,16,0.19,0.1,EKZM100E□□152MJ16S,1760
10,1800,0.14,0.02,10,20,0.19,0.06,EKZM100E□□182MJ20S,1960
10,2200,0.127,0.018,10,25,0.21,0.054,EKZM100E□□222MJ25S,2250
10,3300,0.092,0.017,12.5,20,0.23,0.043,EKZM100E□□332MK20S,2480
10,3900,0.078,0.015,12.5,25,0.23,0.038,EKZM100E□□392MK25S,2900
10,4700,0.071,0.013,12.5,30,0.25,0.033,EKZM100E□□472MK30S,3450
10,4700,0.071,0.015,16,20,0.25,0.038,EKZM100E□□472ML20S,3250
10,5600,0.064,0.012,12.5,35,0.27,0.031,EKZM100E□□562MK35S,3570
10,6800,0.057,0.013,16,25,0.29,0.035,EKZM100E□□682ML25S,3630
10,8200,0.053,0.012,18,25,0.33,0.031,EKZM100E□□822MM25S,3650
16,100,2.122,0.22,5,11,0.16,0.8,EKZM160E□□101ME11D,345
16,220,0.965,0.094,6.3,11,0.16,0.35,EKZM160E□□221MF11D,540
16,470,0.452,0.056,8,11.5,0.16,0.19,EKZM160E□□471MHB5D,945
16,680,0.312,0.045,8,15,0.16,0.15,EKZM160E□□681MH15D,1250
16,680,0.312,0.039,10,12.5,0.16,0.14,EKZM160E□□681MJC5S,1330
16,1000,0.212,0.029,8,20,0.16,0.11,EKZM160E□□102MH20D,1500
16,1000,0.212,0.028,10,16,0.16,0.1,EKZM160E□□102MJ16S,1760
16,1500,0.141,0.02,10,20,0.16,0.06,EKZM160E□□152MJ20S,1960
16,1800,0.118,0.018,10,25,0.16,0.054,EKZM160E□□182MJ25S,2250
16,2200,0.109,0.017,12.5,20,0.18,0.043,EKZM160E□□222MK20S,2480
16,2700,0.088,0.015,12.5,25,0.18,0.038,EKZM160E□□272MK25S,2900
16,3300,0.08,0.013,12.5,30,0.2,0.033,EKZM160E□□332MK30S,3450
16,3300,0.08,0.015,16,20,0.2,0.038,EKZM160E□□332ML20S,3250
16,3900,0.068,0.012,12.5,35,0.2,0.031,EKZM160E□□392MK35S,3570
16,4700,0.062,0.013,16,25,0.22,0.035,EKZM160E□□472ML25S,3630
16,5600,0.057,0.012,18,25,0.24,0.031,EKZM160E□□562MM25S,3650
25,68,2.731,0.22,5,11,0.14,0.8,EKZM250E□□680ME11D,345
25,150,1.238,0.094,6.3,11,0.14,0.35,EKZM250E□□151MF11D,540
25,330,0.563,0.056,8,11.5,0.14,0.19,EKZM250E□□331MHB5D,945
25,390,0.476,0.045,8,15,0.14,0.15,EKZM250E□□391MH15D,1250
25,470,0.395,0.039,10,12.5,0.14,0.14,EKZM250E□□471MJC5S,1330
25,560,0.332,0.029,8,20,0.14,0.11,EKZM250E□□561MH20D,1500
25,680,0.273,0.028,10,16,0.14,0.1,EKZM250E□□681MJ16S,1760
25,820,0.226,0.02,10,20,0.14,0.06,EKZM250E□□821MJ20S,1960
25,1000,0.186,0.018,10,25,0.14,0.054,EKZM250E□□102MJ25S,2250
25,1500,0.124,0.017,12.5,20,0.14,0.043,EKZM250E□□152MK20S,2480
25,1800,0.103,0.015,12.5,25,0.14,0.038,EKZM250E□□182MK25S,2900
25,2200,0.096,0.013,12.5,30,0.16,0.033,EKZM250E□□222MK30S,3450
25,2200,0.096,0.015,16,20,0.16,0.038,EKZM250E□□222ML20S,3250
25,2700,0.079,0.012,12.5,35,0.16,0.031,EKZM250E□□272MK35S,3570
25,3300,0.072,0.013,16,25,0.18,0.035,EKZM250E□□332ML25S,3630
25,3900,0.061,0.012,18,25,0.18,0.031,EKZM250E□□392MM25S,3650
35,47,3.386,0.22,5,11,0.12,0.8,EKZM350E□□470ME11D,345
35,100,1.592,0.094,6.3,11,0.12,0.35,EKZM350E□□101MF11D,540
35,220,0.723,0.056,8,11.5,0.12,0.19,EKZM350E□□221MHB5D,945
35,270,0.589,0.045,8,15,0.12,0.15,EKZM350E□□271MH15D,1250
35,330,0.482,0.039,10,12.5,0.12,0.14,EKZM350E□□331MJC5S,1330
35,390,0.408,0.029,8,20,0.12,0.11,EKZM350E□□391MH20D,1500
35,470,0.339,0.028,10,16,0.12,0.1,EKZM350E□□471MJ16S,1760
35,560,0.284,0.02,10,20,0.12,0.06,EKZM350E□□561MJ20S,1960
35,680,0.234,0.018,10,25,0.12,0.054,EKZM350E□□681MJ25S,2250
35,1000,0.159,0.017,12.5,20,0.12,0.043,EKZM350E□□102MK20S,2480
35,1200,0.133,0.015,12.5,25,0.12,0.038,EKZM350E□□122MK25S,2900
35,1500,0.106,0.013,12.5,30,0.12,0.033,EKZM350E□□152MK30S,3450
35,1500,0.106,0.015,16,20,0.12,0.038,EKZM350E□□152ML20S,3250
35,1800,0.088,0.012,12.5,35,0.12,0.031,EKZM350E□□182MK35S,3570
35,2200,0.084,0.013,16,25,0.14,0.035,EKZM350E□□222ML25S,3630
35,2700,0.069,0.012,18,25,0.14,0.031,EKZM350E□□272MM25S,3650
50,27,4.912,0.34,5,11,0.1,1.18,EKZM500E□□270ME11D,238
50,56,2.368,0.14,6.3,11,0.1,0.5,EKZM500E□□560MF11D,385
50,100,1.326,0.074,8,11.5,0.1,0.22,EKZM500E□□101MHB5D,724
50,120,1.105,0.061,8,15,0.1,0.18,EKZM500E□□121MH15D,950
50,150,0.884,0.061,10,12.5,0.1,0.18,EKZM500E□□151MJC5S,979
50,180,0.737,0.046,8,20,0.1,0.14,EKZM500E□□181MH20D,1190
50,220,0.603,0.042,10,16,0.1,0.12,EKZM500E□□221MJ16S,1370
50,270,0.491,0.03,10,20,0.1,0.09,EKZM500E□□271MJ20S,1580
