Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
2.5,560,0.08,0.005,8,9,-55,105,0.189,2000,280,2000,PLE0E561MCO1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,6100,EOL,Normal,0.75
2.5,820,0.08,0.005,8,9,-55,105,0.129,2000,410,2000,PLE0E821MCO6,Uni-Polar,Radial Lead,Ultra-Lo-ESR,6300,EOL,Normal,0.75
2.5,820,0.08,0.005,8,12,-55,105,0.129,2000,410,2000,PLE0E821MDO1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,6600,EOL,Normal,0.95
2.5,1000,0.08,0.005,10,13,-55,105,0.133,2000,500,1000,PLE0E102MDO1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,7100,EOL,Normal,1.5
2.5,1500,0.08,0.005,10,13,-55,105,0.088,2000,750,1000,PLE0E152MDO1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,7300,EOL,Normal,1.5
4,560,0.08,0.005,8,9,-55,105,0.189,2000,448,2000,PLE0G561MCO1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,6000,EOL,Normal,0.75
4,680,0.08,0.005,8,12,-55,105,0.156,2000,544,2000,PLE0G681MDO1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,6500,EOL,Normal,0.95
4,820,0.08,0.005,10,13,-55,105,0.129,2000,656,1000,PLE0G821MDO1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,7000,EOL,Normal,1.5
4,1200,0.08,0.005,10,13,-55,105,0.111,2000,960,1000,PLE0G122MDO1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,7200,EOL,Normal,1.5
6.3,470,0.08,0.005,8,12,-55,105,0.226,2000,592,2000,PLE0J471MDO1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,6400,EOL,Normal,0.95
6.3,680,0.08,0.005,10,13,-55,105,0.156,2000,857,1000,PLE0J681MDO1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,6700,EOL,Normal,1.5
6.3,820,0.08,0.005,10,13,-55,105,0.129,2000,1033,1000,PLE0J821MDO1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,6800,EOL,Normal,1.5
