Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@60Hz,Straight leads,Taping,VC
16,2200,0.16,0.015,12.5,25,0.121,7000,0.6,5,5,,EEUFM1C222( ),3190,3190,2552,3036.88,2398.88,200,500,35200
16,2700,0.16,0.013,12.5,30,0.098,7000,0.8,5,,,EEUFM1C272L,3630,3630,2904,3455.76,2729.76,100,,43200
16,2700,0.16,0.017,16,20,0.098,5000,0.8,7.5,7.5,,EEUFM1C272S( ),3300,3300,2640,3141.6,2481.6,100,250,43200
16,3300,0.16,0.012,12.5,35,0.088,7000,0.8,5,,,EEUFM1C332L,3750,3750,3000,3570,2820,100,,52800
16,3900,0.16,0.014,16,25,0.075,7000,0.8,7.5,7.5,,EEUFM1C392( ),3820,3820,3056,3636.64,2872.64,100,250,62400
25,47,0.14,0.3,5,11,3.951,2000,0.5,2,5,2.5,EEUFM1E470( ),280,266.29,195.8,236.92,168.39,200,2000,1175
25,100,0.14,0.13,6.3,11.2,1.857,2000,0.5,2.5,5,2.5,EEUFM1E101( ),455,432.73,318.18,385,273.64,200,2000,2500
25,220,0.14,0.056,8,11.5,0.844,3000,0.6,3.5,5,,EEUFM1E221( ),950,903.5,664.34,803.85,571.33,200,1000,5500
25,330,0.14,0.041,8,15,0.563,3000,0.6,3.5,5,,EEUFM1E331L( ),1240,1179.3,867.13,1049.23,745.73,200,1000,8250
25,330,0.14,0.038,10,12.5,0.563,4000,0.6,5,5,,EEUFM1E331( ),1290,1226.85,902.1,1091.54,775.8,200,500,8250
25,470,0.14,0.03,8,20,0.395,4000,0.6,3.5,5,,EEUFM1E471L( ),1560,1536.54,1172.93,1407.52,1020.45,200,1000,11750
25,470,0.14,0.026,10,16,0.395,4000,0.6,5,5,,EEUFM1E471( ),1790,1763.08,1345.86,1615.04,1170.9,200,500,11750
25,680,0.14,0.019,10,20,0.273,5000,0.6,5,5,,EEUFM1E681( ),2180,2147.22,1639.1,1966.92,1426.02,200,500,17000
25,820,0.14,0.018,10,25,0.226,5000,0.6,5,5,,EEUFM1E821L( ),2470,2432.86,1857.14,2228.57,1615.71,200,500,20500
25,1000,0.14,0.018,12.5,20,0.212,5000,0.6,5,5,,EEUFM1E102( ),2600,2560.9,1954.89,2345.86,1700.75,200,500,25000
25,1500,0.14,0.015,12.5,25,0.141,7000,0.6,5,5,,EEUFM1E152( ),3190,3190,2552,3036.88,2398.88,200,500,37500
25,1800,0.14,0.013,12.5,30,0.118,7000,0.8,5,,,EEUFM1E182L,3630,3630,2904,3455.76,2729.76,100,,45000
25,1800,0.14,0.017,16,20,0.118,5000,0.8,7.5,7.5,,EEUFM1E182S( ),3300,3300,2640,3141.6,2481.6,100,250,45000
25,2200,0.14,0.012,12.5,35,0.109,7000,0.8,5,,,EEUFM1E222L,3750,3750,3000,3570,2820,100,,55000
25,2700,0.14,0.014,16,25,0.088,7000,0.8,7.5,7.5,,EEUFM1E272( ),3820,3820,3056,3636.64,2872.64,100,250,67500
35,33,0.12,0.3,5,11,4.823,2000,0.5,2,5,2.5,EEUFM1V330( ),280,252.31,153.85,209.23,126.15,200,2000,1155
35,68,0.12,0.13,6.3,11.2,2.341,2000,0.5,2.5,5,2.5,EEUFM1V680( ),455,432.73,318.18,385,273.64,200,2000,2380
35,150,0.12,0.056,8,11.5,1.061,3000,0.6,3.5,5,,EEUFM1V151( ),950,903.5,664.34,803.85,571.33,200,1000,5250
35,220,0.12,0.041,8,15,0.723,3000,0.6,3.5,5,,EEUFM1V221L( ),1240,1179.3,867.13,1049.23,745.73,200,1000,7700
35,220,0.12,0.038,10,12.5,0.723,4000,0.6,5,5,,EEUFM1V221( ),1290,1226.85,902.1,1091.54,775.8,200,500,7700
35,330,0.12,0.03,8,20,0.482,4000,0.6,3.5,5,,EEUFM1V331L( ),1560,1483.64,1090.91,1320,938.18,200,1000,11550
35,330,0.12,0.026,10,16,0.482,4000,0.6,5,5,,EEUFM1V331( ),1790,1702.38,1251.75,1514.62,1076.5,200,500,11550
35,470,0.12,0.019,10,20,0.339,5000,0.6,5,5,,EEUFM1V471( ),2180,2147.22,1639.1,1966.92,1426.02,200,500,16450
35,560,0.12,0.018,10,25,0.284,5000,0.6,5,5,,EEUFM1V561L( ),2470,2432.86,1857.14,2228.57,1615.71,200,500,19600
35,680,0.12,0.018,12.5,20,0.234,5000,0.6,5,5,,EEUFM1V681( ),2600,2560.9,1954.89,2345.86,1700.75,200,500,23800
35,1000,0.12,0.015,12.5,25,0.186,7000,0.6,5,5,,EEUFM1V102( ),3190,3142.03,2398.5,2878.2,2086.69,200,500,35000
35,1200,0.12,0.013,12.5,30,0.155,7000,0.8,5,,,EEUFM1V122L,3630,3630,2904,3455.76,2729.76,100,,42000
