Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@120Hz
100,220,0.482,12.5,20,0.08,EKMQ101E□□221MK20S,390
100,330,0.322,12.5,25,0.08,EKMQ101E□□331MK25S,540
100,470,0.226,16,25,0.08,EKMQ101E□□471ML25S,715
100,1000,0.106,18,35.5,0.08,EKMQ101E□□102MMP1S,960
160,68,3.901,12.5,20,0.2,EKMQ161E□□680MK20S,250
160,100,2.653,12.5,25,0.2,EKMQ161E□□101MK25S,310
160,220,1.206,16,31.5,0.2,EKMQ161E□□221MLN3S,540
160,330,0.804,18,35.5,0.2,EKMQ161E□□331MMP1S,705
160,470,0.564,18,40,0.2,EKMQ161E□□471MM40S,855
200,47,5.644,12.5,20,0.2,EKMQ201E□□470MK20S,195
200,68,3.901,12.5,25,0.2,EKMQ201E□□680MK25S,250
200,100,2.653,16,25,0.2,EKMQ201E□□101ML25S,335
200,220,1.206,16,35.5,0.2,EKMQ201E□□221MLP1S,500
200,330,0.804,18,40,0.2,EKMQ201E□□331MM40S,675
250,47,5.644,12.5,20,0.2,EKMQ251E□□470MK20S,190
250,68,3.901,16,25,0.2,EKMQ251E□□680ML25S,270
250,100,2.653,16,25,0.2,EKMQ251E□□101ML25S,310
250,220,1.206,18,35.5,0.2,EKMQ251E□□221MMP1S,485
350,22,14.469,12.5,20,0.24,EKMQ351E□□220MK20S,130
350,33,9.646,12.5,25,0.24,EKMQ351E□□330MK25S,170
350,47,6.773,16,25,0.24,EKMQ351E□□470ML25S,230
350,68,4.681,16,25,0.24,EKMQ351E□□680ML25S,285
350,100,3.183,18,31.5,0.24,EKMQ351E□□101MMN3S,375
400,22,14.469,12.5,25,0.24,EKMQ401E□□220MK25S,145
400,33,9.646,16,25,0.24,EKMQ401E□□330ML25S,195
400,47,6.773,16,25,0.24,EKMQ401E□□470ML25S,200
400,68,4.681,16,31.5,0.24,EKMQ401E□□680MLN3S,240
400,100,3.183,18,35.5,0.24,EKMQ401E□□101MMP1S,310
450,22,14.469,12.5,25,0.24,EKMQ451E□□220MK25S,100
450,33,9.646,16,25,0.24,EKMQ451E□□330ML25S,125
450,47,6.773,16,31.5,0.24,EKMQ451E□□470MLN3S,155
450,68,4.681,18,35.5,0.24,EKMQ451E□□680MMP1S,185
450,100,3.183,18,40,0.24,EKMQ451E□□101MM40S,200
