Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Ripple Current
6.3,220,1.326,0.22,5,11,0.22,0.8,345
6.3,470,0.621,0.094,6.3,11,0.22,0.35,540
6.3,820,0.356,0.056,8,11.5,0.22,0.19,945
6.3,1200,0.243,0.045,8,16,0.22,0.15,1250
6.3,1200,0.243,0.039,10,12.5,0.22,0.14,1330
6.3,1500,0.195,0.029,8,20,0.22,0.11,1500
6.3,1800,0.162,0.028,10,16,0.22,0.1,1760
6.3,2200,0.133,0.02,10,20,0.22,0.06,1960
6.3,2700,0.108,0.018,10,23,0.22,0.054,2250
6.3,3900,0.075,0.017,12.5,20,0.22,0.043,2480
6.3,4700,0.062,0.015,12.5,25,0.22,0.038,2900
6.3,5600,0.052,0.013,12.5,30,0.22,0.033,3450
6.3,6800,0.043,0.015,16,20,0.22,0.038,3250
6.3,6800,0.043,0.012,12.5,35,0.22,0.031,3570
6.3,8200,0.036,0.013,16,25,0.22,0.035,3630
10,150,1.68,0.22,5,11,0.19,0.8,345
10,330,0.764,0.094,6.3,11,0.19,0.35,540
10,680,0.371,0.056,8,11.5,0.19,0.19,945
10,1000,0.252,0.045,8,16,0.19,0.15,1250
10,1000,0.252,0.039,10,12.5,0.19,0.14,1330
10,1500,0.168,0.029,8,20,0.19,0.11,1500
10,1500,0.168,0.028,10,16,0.19,0.1,1760
10,1800,0.14,0.02,10,20,0.19,0.06,1960
10,2200,0.115,0.018,10,23,0.19,0.054,2250
10,3300,0.076,0.017,12.5,20,0.19,0.043,2480
10,3900,0.065,0.015,12.5,25,0.19,0.038,2900
10,4700,0.054,0.013,12.5,30,0.19,0.033,3450
10,4700,0.054,0.015,16,20,0.19,0.038,3250
10,5600,0.045,0.012,12.5,35,0.19,0.031,3570
10,6800,0.037,0.013,16,25,0.19,0.035,3630
16,100,2.122,0.22,5,11,0.16,0.8,345
16,220,0.965,0.094,6.3,11,0.16,0.35,540
16,470,0.452,0.056,8,11.5,0.16,0.19,945
16,680,0.312,0.045,8,16,0.16,0.15,1250
16,680,0.312,0.039,10,12.5,0.16,0.14,1330
