Voltage,Capacitance,ESR 20°C@100kHz,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance 125°C,Endurance 135°C,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 60Hz,Lead Diameter,Lead Space,Lead Space Taping,Min Packaging Qty Straight,Min Packaging Qty Taping,Part Number,Ripple Current 125°C,Ripple Current 135°C,VC
35,820,0.03,0.12,0.11,12.5,25,0.12,0.194,4000,2000,1.33,1.27,1.0,1.2,0.93,0.6,5.0,5.0,200,500,EEUTP1V821( ),2180,1750,28700
35,1000,0.029,0.115,0.105,16,20,0.12,0.186,5000,2000,1.33,1.27,1.0,1.2,0.93,0.8,7.5,7.5,100,250,EEUTP1V102( ),2380,1985,35000
35,1200,0.029,0.109,0.099,16,20,0.12,0.155,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,7.5,100,250,EEUTP1V122( ),2380,1985,42000
35,1500,0.022,0.087,0.079,16,25,0.12,0.124,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,7.5,100,250,EEUTP1V152( ),2760,2300,52500
35,1500,0.028,0.087,0.079,18,20,0.12,0.124,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,7.5,100,250,EEUTP1V152S( ),2700,2250,52500
35,1600,0.022,0.082,0.074,16,25,0.12,0.116,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,7.5,100,250,EEUTP1V162( ),2760,2300,56000
35,1800,0.018,0.073,0.066,16,31.5,0.12,0.103,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,nan,100,nan,EEUTP1V182,3250,2710,63000
35,1800,0.02,0.073,0.066,18,25,0.12,0.103,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,7.5,100,250,EEUTP1V182S( ),2960,2470,63000
35,2000,0.018,0.084,0.076,16,31.5,0.14,0.119,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,nan,100,nan,EEUTP1V202,3250,2710,70000
35,2000,0.02,0.084,0.076,18,25,0.14,0.119,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,7.5,100,250,EEUTP1V202S( ),2960,2470,70000
35,2200,0.016,0.077,0.069,18,31.5,0.14,0.109,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,nan,50,nan,EEUTP1V222,3480,2900,77000
35,2700,0.016,0.062,0.057,18,31.5,0.14,0.088,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,nan,50,nan,EEUTP1V272,3480,2900,94500
35,100,0.19,0.836,0.671,10,12.5,0.12,1.592,3000,2000,1.54,1.38,1.0,1.31,0.85,0.6,5.0,5.0,200,500,EEUTP1V101( ),580,500,3500
35,120,0.19,0.696,0.559,10,12.5,0.12,1.326,3000,2000,1.54,1.38,1.0,1.31,0.85,0.6,5.0,5.0,200,500,EEUTP1V121( ),580,500,4200
35,220,0.067,0.38,0.305,8,20,0.12,0.723,2000,1000,1.54,1.38,1.0,1.31,0.85,0.6,3.5,5.0,200,1000,EEUTP1V221L( ),1060,760,7700
35,220,0.13,0.38,0.305,10,16,0.12,0.723,3000,2000,1.54,1.38,1.0,1.31,0.85,0.6,5.0,5.0,200,500,EEUTP1V221( ),1100,945,7700
35,270,0.067,0.31,0.249,8,16,0.12,0.589,2000,1000,1.54,1.38,1.0,1.31,0.85,0.6,3.5,5.0,200,1000,EEUTP1V271L( ),1060,760,9450
35,270,0.13,0.31,0.249,10,16,0.12,0.589,3000,2000,1.54,1.38,1.0,1.31,0.85,0.6,5.0,5.0,200,500,EEUTP1V271( ),1100,945,9450
35,330,0.052,0.253,0.203,10,20,0.12,0.482,3000,2000,1.54,1.38,1.0,1.31,0.85,0.6,5.0,5.0,200,500,EEUTP1V331( ),1540,1100,11550
35,390,0.052,0.253,0.231,10,20,0.12,0.408,3000,2000,1.33,1.27,1.0,1.2,0.93,0.6,5.0,5.0,200,500,EEUTP1V391( ),1540,1100,13650
35,470,0.038,0.21,0.191,12.5,20,0.12,0.339,4000,2000,1.33,1.27,1.0,1.2,0.93,0.6,5.0,5.0,200,500,EEUTP1V471( ),1860,1490,16450
35,560,0.038,0.176,0.161,12.5,20,0.12,0.284,4000,2000,1.33,1.27,1.0,1.2,0.93,0.6,5.0,5.0,200,500,EEUTP1V561( ),1860,1490,19600
35,620,0.038,0.159,0.145,12.5,20,0.12,0.257,4000,2000,1.33,1.27,1.0,1.2,0.93,0.6,5.0,5.0,200,500,EEUTP1V621( ),1860,1490,21700
35,820,0.03,0.12,0.11,12.5,25,0.12,0.194,4000,2000,1.33,1.27,1.0,1.2,0.93,0.6,5.0,5.0,200,500,EEUTP1V821( ),2180,1750,28700
35,1000,0.029,0.115,0.105,16,20,0.12,0.186,5000,2000,1.33,1.27,1.0,1.2,0.93,0.8,7.5,7.5,100,250,EEUTP1V102( ),2380,1985,35000
35,1200,0.029,0.109,0.099,16,20,0.12,0.155,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,7.5,100,250,EEUTP1V122( ),2380,1985,42000
35,1500,0.022,0.087,0.079,16,25,0.12,0.124,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,7.5,100,250,EEUTP1V152( ),2760,2300,52500
35,1500,0.028,0.087,0.079,18,20,0.12,0.124,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,7.5,100,250,EEUTP1V152S( ),2700,2250,52500
35,1600,0.022,0.082,0.074,16,25,0.12,0.116,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,7.5,100,250,EEUTP1V162( ),2760,2300,56000
35,1800,0.018,0.073,0.066,16,31.5,0.12,0.103,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,nan,100,nan,EEUTP1V182,3250,2710,63000
35,1800,0.02,0.073,0.066,18,25,0.12,0.103,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,7.5,100,250,EEUTP1V182S( ),2960,2470,63000
35,2000,0.018,0.084,0.076,16,31.5,0.14,0.119,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,nan,100,nan,EEUTP1V202,3250,2710,70000
35,2000,0.02,0.084,0.076,18,25,0.14,0.119,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,7.5,100,250,EEUTP1V202S( ),2960,2470,70000
35,2200,0.016,0.077,0.069,18,31.5,0.14,0.109,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,nan,50,nan,EEUTP1V222,3480,2900,77000
35,2700,0.016,0.062,0.057,18,31.5,0.14,0.088,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,nan,50,nan,EEUTP1V272,3480,2900,94500
