Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Part Number,Ripple Current 125°C@100kHz,Ripple Current 135°C@100kHz
80,750,0.141,0.031,12.5,40,0.08,0.22,EGPD800E□□751MK40H,4610,3260
80,750,0.141,0.034,16,30,0.08,0.2,EGPD800E□□751ML30H,3860,3050
80,820,0.129,0.033,18,25,0.08,0.19,EGPD800E□□821MM25H,3080,2810
80,1000,0.106,0.027,16,35,0.08,0.15,EGPD800E□□102ML35H,4590,3420
80,1100,0.096,0.028,18,30,0.08,0.15,EGPD800E□□112MM30H,4080,3220
80,1300,0.082,0.025,16,40,0.08,0.14,EGPD800E□□132ML40H,5190,3670
80,1300,0.082,0.022,18,35,0.08,0.12,EGPD800E□□132MM35H,5220,3690
80,1600,0.066,0.021,18,40,0.08,0.11,EGPD800E□□162MM40H,5660,3820
100,160,0.663,0.09,12.5,20,0.08,0.75,EGPD101E□□161MK20H,1580,1410
100,220,0.482,0.068,12.5,25,0.08,0.55,EGPD101E□□221MK25H,2140,1960
100,270,0.393,0.067,16,20,0.08,0.47,EGPD101E□□271ML20H,2050,1670
100,300,0.354,0.052,12.5,30,0.08,0.41,EGPD101E□□301MK30H,2950,2330
100,360,0.295,0.045,12.5,35,0.08,0.35,EGPD101E□□361MK35H,3530,2630
100,360,0.295,0.061,18,20,0.08,0.35,EGPD101E□□361MM20H,2270,1860
100,390,0.272,0.048,16,25,0.08,0.33,EGPD101E□□391ML25H,2790,2360
100,430,0.247,0.038,12.5,40,0.08,0.29,EGPD101E□□431MK40H,4140,2920
100,470,0.226,0.041,16,30,0.08,0.27,EGPD101E□□471ML30H,3440,2720
100,510,0.208,0.045,18,25,0.08,0.25,EGPD101E□□511MM25H,2920,2470
100,560,0.189,0.036,16,35,0.08,0.23,EGPD101E□□561ML35H,4190,2960
100,620,0.171,0.037,18,30,0.08,0.2,EGPD101E□□621MM30H,3920,2920
100,750,0.141,0.028,16,40,0.08,0.18,EGPD101E□□751ML40H,5020,3380
100,820,0.129,0.03,18,35,0.08,0.16,EGPD101E□□821MM35H,4710,3330
100,910,0.117,0.026,18,40,0.08,0.14,EGPD101E□□911MM40H,5280,3560
