Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current 85°C@120Hz
50,1,0.12,5,11,159.155,20
50,2.2,0.12,5,11,72.343,30
50,3.3,0.12,5,11,48.229,37
50,4.7,0.12,5,11,33.863,44
50,10,0.12,5,11,15.916,64
50,22,0.12,5,11,7.234,95
50,33,0.12,6.3,11,4.823,142
50,47,0.12,6.3,11,3.386,169
50,100,0.12,8,11.5,1.592,276
50,220,0.12,10,12.5,0.723,455
50,330,0.12,10,16,0.482,516
50,470,0.12,10,16,0.339,696
50,1000,0.12,13,20,0.186,1326
50,2200,0.12,16,25,0.096,2064
50,3300,0.12,16,31.5,0.072,2753
50,4700,0.12,16,31.5,0.056,3298
50,6800,0.12,18,35.5,0.047,3509
50,10000,0.12,18,35.5,0.042,3897
50,15000,0.12,18,35.5,0.037,3685
63,1,0.1,5,11,132.629,22
63,2.2,0.1,5,11,60.286,33
63,3.3,0.1,5,11,40.191,40
63,4.7,0.1,5,11,28.219,48
63,10,0.1,5,11,13.263,70
63,22,0.1,6.3,11,6.029,104
63,33,0.1,8,11.5,4.019,194
63,47,0.1,10,12.5,2.822,257
63,100,0.1,10,12,1.326,302
63,220,0.1,10,16,0.603,563
63,330,0.1,10,20,0.402,630
63,470,0.1,10,20,0.282,829
63,1000,0.1,13,25,0.159,1545
63,2200,0.1,16,35.5,0.084,2549
63,3300,0.1,18,35.5,0.064,3116
100,1,0.08,5,11,106.103,24
100,2.2,0.08,5,11,48.229,37
100,3.3,0.08,5,11,32.153,45
100,4.7,0.08,5,11,22.575,54
100,10,0.08,6.3,11,10.61,78
100,22,0.08,10,16,4.823,129
100,33,0.08,10,20,3.215,243
100,47,0.08,13,20,2.258,344
100,100,0.08,10,20,1.061,468
100,220,0.08,13,25,0.482,887
100,330,0.08,13,25,0.322,761
100,470,0.08,13,20,0.226,1075
100,1000,0.08,16,25,0.133,1891
100,2200,0.08,18,40,0.072,2606
160,1,0.15,6.3,11,198.944,25
160,2.2,0.15,6.3,11,90.429,37
160,3.3,0.15,6.3,11,60.286,45
160,4.7,0.15,6.3,11,42.328,54
160,10,0.15,10,12.5,19.894,107
160,22,0.15,10,20,9.043,180
160,33,0.15,10,20,6.029,243
160,47,0.15,13,20,4.233,344
160,100,0.15,13,25,1.989,542
160,220,0.15,16,31.5,0.904,970
160,330,0.15,18,35.5,0.603,1087
160,470,0.15,16,25,0.423,1449
200,1,0.15,6.3,11,198.944,25
200,2.2,0.15,6.3,11,90.429,37
200,3.3,0.15,8,11.5,60.286,45
200,4.7,0.15,8,11.5,42.328,66
200,10,0.15,10,12.5,19.894,107
200,22,0.15,10,20,9.043,199
200,33,0.15,13,20,6.029,288
200,47,0.15,13,25,4.233,371
200,100,0.15,16,25,1.989,605
200,220,0.15,18,35.5,0.904,1107
200,330,0.15,18,35.5,0.603,1356
250,1,0.15,6.3,11,198.944,25
250,2.2,0.15,6.3,11,90.429,37
250,3.3,0.15,8,11.5,60.286,54
250,4.7,0.15,10,12.5,42.328,66
250,10,0.15,10,20,19.894,121
250,22,0.15,13,20,9.043,212
250,33,0.15,16,25,6.029,295
250,47,0.15,16,25,4.233,394
250,100,0.15,16,31.5,1.989,654
250,220,0.15,18,40,0.904,1119
350,1,0.2,6.3,11,265.258,20
350,2.2,0.2,8,11.5,120.572,36
350,3.3,0.2,8,11.5,80.381,54
350,4.7,0.2,10,16,56.438,66
350,10,0.2,10,20,26.526,121
350,22,0.2,13,25,12.057,229
350,33,0.2,16,25,8.038,313
350,47,0.2,16,31.5,5.644,404
350,100,0.2,16,35.5,2.653,664
400,1,0.2,6.3,11,265.258,24
400,2.2,0.2,8,11.5,120.572,44
400,3.3,0.2,10,12.5,80.381,61
400,4.7,0.2,10,16,56.438,75
400,10,0.2,13,20,26.526,121
400,22,0.2,16,25,12.057,229
400,33,0.2,16,31.5,8.038,303
400,47,0.2,16,35.5,5.644,386
450,1,0.2,8,11.5,265.258,27
450,2.2,0.2,10,12.5,120.572,44
450,3.3,0.2,10,16,80.381,54
450,4.7,0.2,10,20,56.438,74
450,10,0.2,13,20,26.526,128
6.3,100,0.28,5,11,3.714,144
6.3,220,0.28,5,11,1.688,198
6.3,330,0.28,6.3,11,1.125,268
6.3,470,0.28,6.3,11,0.79,320
6.3,1000,0.28,8,11.5,0.398,571
6.3,2200,0.28,10,20,0.193,1029
6.3,3300,0.28,10,20,0.137,1305
6.3,4700,0.28,13,20,0.102,1624
6.3,6800,0.28,13,25,0.078,2055
6.3,10000,0.28,16,25,0.064,2654
6.3,15000,0.28,16,31.5,0.051,3169
6.3,22000,0.28,18,40,0.043,3958
10,100,0.24,5,11,3.183,157
10,220,0.24,6.3,11,1.447,237
10,330,0.24,6.3,11,0.965,290
10,470,0.24,8,11.5,0.677,423
10,1000,0.24,10,12.5,0.345,686
10,2200,0.24,10,20,0.169,1135
10,3300,0.24,13,20,0.121,1585
10,4700,0.24,13,25,0.09,2006
10,6800,0.24,16,25,0.07,2527
10,10000,0.24,16,31.5,0.058,2889
10,15000,0.24,18,35.5,0.048,3685
16,10,0.2,5,11,26.526,55
16,22,0.2,5,11,12.057,74
16,33,0.2,5,11,8.038,90
16,47,0.2,5,11,5.644,108
16,100,0.2,6.3,11,2.653,195
16,220,0.2,6.3,11,1.206,259
16,330,0.2,8,11.5,0.804,388
16,470,0.2,8,11.5,0.564,463
16,1000,0.2,10,16,0.292,849
16,2200,0.2,13,20,0.145,1460
16,3300,0.2,13,25,0.104,1806
16,4700,0.2,16,25,0.079,2367
16,6800,0.2,16,31.5,0.062,2963
16,10000,0.2,18,35.5,0.053,3897
25,10,0.16,5,11,21.221,59
25,22,0.16,5,11,9.646,82
25,33,0.16,5,11,6.431,101
25,47,0.16,5,11,4.515,121
25,100,0.16,6.3,11,2.122,209
25,220,0.16,8,11.5,0.965,354
25,330,0.16,8,11.5,0.643,434
25,470,0.16,10,12.5,0.452,576
25,1000,0.16,10,20,0.239,975
25,2200,0.16,13,25,0.121,1742
25,3300,0.16,16,25,0.088,2261
25,4700,0.16,16,31.5,0.068,2779
25,6800,0.16,18,35.5,0.055,3509
35,10,0.14,5,11,18.568,59
35,22,0.14,5,11,8.44,88
35,33,0.14,5,11,5.627,108
35,47,0.14,6.3,11,3.951,143
35,100,0.14,8,11.5,1.857,276
35,220,0.14,8,11.5,0.844,379
35,330,0.14,10,12.5,0.563,516
35,470,0.14,10,16,0.395,696
35,1000,0.14,13,20,0.212,1326
35,2200,0.14,16,25,0.109,2064
35,3300,0.14,16,31.5,0.08,2753
