Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@120Hz
350,18,17.684,10,16,0.24,EKXN351E□□180MJ16S,205
350,27,11.789,10,20,0.24,EKXN351E□□270MJ20S,270
350,33,9.646,10,25,0.24,EKXN351E□□330MJ25S,325
350,33,9.646,12.5,16,0.24,EKXN351E□□330MK16S,315
350,47,6.773,10,30,0.24,EKXN351E□□470MJ30S,420
350,47,6.773,12.5,20,0.24,EKXN351E□□470MK20S,420
350,56,5.684,10,35,0.24,EKXN351E□□560MJ35S,485
350,56,5.684,16,16,0.24,EKXN351E□□560ML16S,475
350,68,4.681,10,40,0.24,EKXN351E□□680MJ40S,560
350,68,4.681,10,45,0.24,EKXN351E□□680MJ45S,580
350,68,4.681,12.5,25,0.24,EKXN351E□□680MK25S,550
350,68,4.681,18,16,0.24,EKXN351E□□680MM16S,550
350,82,3.882,10,50,0.24,EKXN351E□□820MJ50S,660
350,82,3.882,12.5,30,0.24,EKXN351E□□820MK30S,640
350,82,3.882,16,20,0.24,EKXN351E□□820ML20S,615
350,100,3.183,12.5,35,0.24,EKXN351E□□101MK35S,745
350,100,3.183,12.5,40,0.24,EKXN351E□□101MK40S,775
350,100,3.183,18,20,0.24,EKXN351E□□101MM20S,715
350,120,2.653,12.5,45,0.24,EKXN351E□□121MK45S,880
350,120,2.653,16,25,0.24,EKXN351E□□121ML25S,810
350,120,2.653,16,30,0.24,EKXN351E□□121ML30S,870
350,150,2.122,12.5,50,0.24,EKXN351E□□151MK50S,1010
350,150,2.122,18,25,0.24,EKXN351E□□151MM25S,930
350,180,1.768,16,35,0.24,EKXN351E□□181ML35S,1090
350,180,1.768,16,40,0.24,EKXN351E□□181ML40S,1120
350,180,1.768,18,30,0.24,EKXN351E□□181MM30S,1090
350,220,1.447,16,45,0.24,EKXN351E□□221ML45S,1270
350,220,1.447,18,35,0.24,EKXN351E□□221MM35S,1250
350,220,1.447,18,40,0.24,EKXN351E□□221MM40S,1280
