Voltage,Capacitance,ESR 20°C@120Hz,Case Size Length,Dissipation Factor,Part Number,Ripple Current 85°C@120Hz
315,1,318.31,6.3,0.24,RE3-315V010M,22.0
315,2.2,144.686,8,0.24,RE3-315V2R2M,38.0
315,3.3,96.458,10,0.24,RE3-315V3R3M,53.0
315,4.7,67.726,10,0.24,RE3-315V4R7M,65.0
315,10,31.831,10,0.24,RE3-315V100M,115.0
315,22,14.469,12.5,0.24,RE3-315V220M,182.0
315,33,9.646,16,0.24,RE3-315V330M,277.0
315,47,6.773,16,0.24,RE3-315V470M,330.0
315,100,3.183,18,0.24,RE3-315V101M,567.0
350,0.47,677.256,6.3,0.24,RE3-350VR47M,15.0
350,1,318.31,6.3,0.24,RE3-350V010M,22.0
350,2.2,144.686,8,0.24,RE3-350V2R2M,38.0
350,3.3,96.458,10,0.24,RE3-350V3R3M,53.0
350,4.7,67.726,10,0.24,RE3-350V4R7M,65.0
350,10,31.831,10,0.24,RE3-350V100M,115.0
350,22,14.469,12.5,0.24,RE3-350V220M,197.0
350,33,9.646,16,0.24,RE3-350V330M,277.0
350,47,6.773,16,0.24,RE3-350V470M,330.0
350,100,3.183,18,0.24,RE3-350V101M,507.0
400,0.47,677.256,6.3,0.24,RE3-400VR47M,15.0
400,1,318.31,6.3,0.24,RE3-400V010M,22.0
400,2.2,144.686,8,0.24,RE3-400V2R2M,38.0
400,3.3,96.458,10,0.24,RE3-400V3R3M,54.0
400,4.7,67.726,10,0.24,RE3-400V4R7M,71.0
400,10,31.831,12.5,0.24,RE3-400V100M,123.0
400,22,14.469,12.5,0.24,RE3-400V220M,197.0
400,33,9.646,16,0.24,RE3-400V330M,277.0
400,47,6.773,16,0.24,RE3-400V470M,361.0
450,0.47,677.256,8,0.24,RE3-450VR47M,18.0
450,1,318.31,8,0.24,RE3-450V010M,25.0
450,2.2,144.686,10,0.24,RE3-450V2R2M,43.0
450,3.3,96.458,10,0.24,RE3-450V3R3M,59.0
450,4.7,67.726,10,0.24,RE3-450V4R7M,76.0
450,10,31.831,12.5,0.24,RE3-450V100M,123.0
450,22,14.469,16,0.24,RE3-450V220M,226.0
450,33,9.646,16,0.24,RE3-450V330M,304.0
450,47,6.773,16,0.24,RE3-450V470M,380.0
