Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
16,33,8.842,5,11,-55,105,0.22,1000,16,6000,UKT1C330MDD,Uni-Polar,Radial Lead,105degC Standard,65,EOL,Normal,0.44
16,47,6.208,5,11,-55,105,0.22,1000,23,6000,UKT1C470MDD,Uni-Polar,Radial Lead,105degC Standard,79,EOL,Normal,0.44
16,100,2.918,5,11,-55,105,0.22,1000,48,6000,UKT1C101MDD,Uni-Polar,Radial Lead,105degC Standard,115,EOL,Normal,0.44
16,220,1.326,6.3,11,-55,105,0.22,1000,106,4000,UKT1C221MED,Uni-Polar,Radial Lead,105degC Standard,190,EOL,Normal,0.59
16,330,0.884,8,11.5,-55,105,0.22,1000,158,3000,UKT1C331MPD,Uni-Polar,Radial Lead,105degC Standard,265,MP,Normal,1.19
16,470,0.621,8,11.5,-55,105,0.22,1000,226,3000,UKT1C471MPD,Uni-Polar,Radial Lead,105degC Standard,315,MP,Normal,1.19
16,1000,0.292,10,16,-55,105,0.22,1000,480,1800,UKT1C102MPD,Uni-Polar,Radial Lead,105degC Standard,560,MP,Normal,1.77
16,2200,0.145,12.5,20,-55,105,0.24,1000,1056,1000,UKT1C222MHD,Uni-Polar,Radial Lead,105degC Standard,920,MP,Normal,3.43
16,3300,0.104,12.5,30.5,-55,105,0.26,1000,1584,600,UKT1C332MHD,Uni-Polar,Radial Lead,105degC Standard,1270,MP,Normal,6.01
16,4700,0.079,12.5,35.5,-55,105,0.28,1000,2256,500,UKT1C472MHD,Uni-Polar,Radial Lead,105degC Standard,1480,MP,Normal,7.06
16,6800,0.062,16,30.5,-55,105,0.32,1000,3264,300,UKT1C682MHD,Uni-Polar,Radial Lead,105degC Standard,1780,MP,Normal,9.6
16,10000,0.053,18,35.5,-55,105,0.4,1000,4800,250,UKT1C103MHD,Uni-Polar,Radial Lead,105degC Standard,2060,MP,Normal,14.2
16,15000,0.044,20,40,-55,105,0.5,1000,7200,150,UKT1C153MRD,Uni-Polar,Radial Lead,105degC Standard,2430,EOL,Normal,19.6
16,22000,0.039,22,50,-55,105,0.64,1000,10560,250,UKT1C223MRD,Uni-Polar,Radial Lead,105degC Standard,3000,EOL,Normal,27.4
25,4.7,50.794,5,11,-55,105,0.18,1000,4,6000,UKT1E4R7MDD,Uni-Polar,Radial Lead,105degC Standard,25,EOL,Normal,0.44
25,10,23.873,5,11,-55,105,0.18,1000,8,6000,UKT1E100MDD,Uni-Polar,Radial Lead,105degC Standard,36,EOL,Normal,0.44
25,22,10.851,5,11,-55,105,0.18,1000,17,6000,UKT1E220MDD,Uni-Polar,Radial Lead,105degC Standard,58,EOL,Normal,0.44
25,33,7.234,5,11,-55,105,0.18,1000,25,6000,UKT1E330MDD,Uni-Polar,Radial Lead,105degC Standard,68,EOL,Normal,0.44
25,47,5.079,5,11,-55,105,0.18,1000,35,6000,UKT1E470MDD,Uni-Polar,Radial Lead,105degC Standard,83,EOL,Normal,0.44
25,100,2.387,6.3,11,-55,105,0.18,1000,75,4000,UKT1E101MED,Uni-Polar,Radial Lead,105degC Standard,140,EOL,Normal,0.59
25,220,1.085,8,11.5,-55,105,0.18,1000,165,3000,UKT1E221MPD,Uni-Polar,Radial Lead,105degC Standard,240,MP,Normal,1.19
25,330,0.723,8,11.5,-55,105,0.18,1000,248,3000,UKT1E331MPD,Uni-Polar,Radial Lead,105degC Standard,290,MP,Normal,1.19
25,470,0.508,10,12.5,-55,105,0.18,1000,353,2000,UKT1E471MPD,Uni-Polar,Radial Lead,105degC Standard,380,MP,Normal,1.49
25,1000,0.239,10,20,-55,105,0.18,1000,750,1400,UKT1E102MPD,Uni-Polar,Radial Lead,105degC Standard,680,MP,Normal,2.34
25,2200,0.121,12.5,30.5,-55,105,0.2,1000,1650,600,UKT1E222MHD,Uni-Polar,Radial Lead,105degC Standard,1200,MP,Normal,6.01
25,3300,0.088,12.5,35.5,-55,105,0.22,1000,2475,500,UKT1E332MHD,Uni-Polar,Radial Lead,105degC Standard,1400,MP,Normal,7.06
25,4700,0.068,16,30.5,-55,105,0.24,1000,3525,300,UKT1E472MHD,Uni-Polar,Radial Lead,105degC Standard,1710,MP,Normal,9.6
25,6800,0.055,18,35.5,-55,105,0.28,1000,5100,250,UKT1E682MHD,Uni-Polar,Radial Lead,105degC Standard,2040,MP,Normal,14.2
25,10000,0.048,20,40,-55,105,0.36,1000,7500,150,UKT1E103MRD,Uni-Polar,Radial Lead,105degC Standard,2150,EOL,Normal,19.6
25,15000,0.041,22,50,-55,105,0.46,1000,11250,250,UKT1E153MRD,Uni-Polar,Radial Lead,105degC Standard,2750,EOL,Normal,27.4
35,4.7,45.15,5,11,-55,105,0.16,1000,5,6000,UKT1V4R7MDD,Uni-Polar,Radial Lead,105degC Standard,28,EOL,Normal,0.44
35,10,21.221,5,11,-55,105,0.16,1000,11,6000,UKT1V100MDD,Uni-Polar,Radial Lead,105degC Standard,41,EOL,Normal,0.44
