Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current @100kHz,Ripple Current @120Hz
400,39,6.801,10,30,0.2,0.902,0.41
400,39,6.801,12.5,20,0.2,0.858,0.39
400,47,5.644,10,35,0.2,1.056,0.48
400,47,5.644,12.5,25,0.2,1.012,0.46
400,47,5.644,14.5,20,0.2,1.012,0.46
400,56,4.737,10,40,0.2,1.188,0.54
400,56,4.737,16,20,0.2,1.144,0.52
400,68,3.901,10,45,0.2,1.342,0.61
400,68,3.901,10,50,0.2,1.408,0.64
400,68,3.901,12.5,30,0.2,1.276,0.58
400,68,3.901,12.5,35,0.2,1.364,0.62
400,68,3.901,14.5,25,0.2,1.298,0.59
400,82,3.235,10,55,0.2,1.584,0.72
400,82,3.235,10,60,0.2,1.628,0.74
400,82,3.235,12.5,40,0.2,1.54,0.7
400,82,3.235,14.5,30,0.2,1.496,0.68
400,82,3.235,16,25,0.2,1.452,0.66
400,82,3.235,18,20,0.2,1.386,0.63
400,100,2.653,12.5,45,0.2,1.6,0.8
400,100,2.653,12.5,50,0.2,1.66,0.83
400,100,2.653,14.5,35,0.2,1.56,0.78
400,100,2.653,16,30,0.2,1.54,0.77
400,120,2.21,14.5,40,0.2,1.78,0.89
400,120,2.21,14.5,45,0.2,1.84,0.92
400,120,2.21,16,35,0.2,1.76,0.88
400,120,2.21,18,25,0.2,1.58,0.79
400,150,1.768,14.5,50,0.2,2.12,1.06
400,150,1.768,16,40,0.2,2.02,1.01
400,150,1.768,18,30,0.2,1.86,0.93
400,180,1.474,16,45,0.2,2.28,1.14
400,180,1.474,16,50,0.2,2.36,1.18
400,180,1.474,18,35,0.2,2.12,1.06
400,180,1.474,18,40,0.2,2.28,1.14
400,220,1.206,18,45,0.2,2.58,1.29
400,220,1.206,18,50,0.2,2.68,1.34
420,33,10.048,12.5,20,0.25,0.748,0.34
420,39,8.502,10,30,0.25,0.836,0.38
420,47,7.055,10,35,0.25,0.968,0.44
420,47,7.055,12.5,25,0.25,0.946,0.43
420,47,7.055,14.5,20,0.25,0.924,0.42
420,56,5.921,10,40,0.25,1.078,0.49
420,56,5.921,10,45,0.25,1.144,0.52
420,56,5.921,12.5,30,0.25,1.1,0.5
420,56,5.921,14.5,25,0.25,1.1,0.5
420,56,5.921,16,20,0.25,1.056,0.48
420,68,4.876,10,50,0.25,1.298,0.59
420,68,4.876,10,55,0.25,1.342,0.61
420,68,4.876,12.5,35,0.25,1.254,0.57
420,68,4.876,18,20,0.25,1.21,0.55
420,82,4.044,10,60,0.25,1.496,0.68
420,82,4.044,12.5,40,0.25,1.43,0.65
420,82,4.044,14.5,30,0.25,1.386,0.63
420,82,4.044,16,25,0.25,1.342,0.61
420,100,3.316,12.5,45,0.25,1.46,0.73
420,100,3.316,12.5,50,0.25,1.54,0.77
420,100,3.316,14.5,35,0.25,1.44,0.72
420,100,3.316,14.5,40,0.25,1.52,0.76
420,100,3.316,16,30,0.25,1.44,0.72
420,100,3.316,18,25,0.25,1.4,0.7
420,120,2.763,14.5,45,0.25,1.72,0.86
420,120,2.763,14.5,50,0.25,1.78,0.89
420,120,2.763,16,35,0.25,1.64,0.82
420,120,2.763,18,30,0.25,1.62,0.81
420,150,2.21,16,40,0.25,1.86,0.93
420,150,2.21,16,45,0.25,1.96,0.98
420,150,2.21,18,35,0.25,1.88,0.94
420,180,1.842,16,50,0.25,2.2,1.1
420,180,1.842,18,40,0.25,2.12,1.06
420,220,1.507,18,45,0.25,2.4,1.2
420,220,1.507,18,50,0.25,2.5,1.25
450,27,12.28,12.5,20,0.25,0.682,0.31
450,33,10.048,10,30,0.25,0.792,0.36
450,39,8.502,10,35,0.25,0.902,0.41
450,39,8.502,12.5,25,0.25,0.88,0.4
450,39,8.502,14.5,20,0.25,0.858,0.39
450,47,7.055,10,40,0.25,1.012,0.46
450,47,7.055,16,20,0.25,0.99,0.45
450,56,5.921,10,45,0.25,1.144,0.52
450,56,5.921,10,50,0.25,1.188,0.54
450,56,5.921,12.5,30,0.25,1.078,0.49
450,56,5.921,14.5,25,0.25,1.1,0.5
450,68,4.876,10,55,0.25,1.342,0.61
450,68,4.876,10,60,0.25,1.386,0.63
450,68,4.876,12.5,35,0.25,1.232,0.56
