Voltage,Capacitance,ESR 20°C@100kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Ripple Current 125°C@100kHz,Ripple Current 135°C@100kHz,Size Code,VC
50,1800,0.033,0.064,18,25,0.1,0.32,0.088,1.18,1.18,1.0,1.12,0.94,0.94,4230,2530,K25,90000
50,2200,0.029,0.061,16,35.5,0.1,0.27,0.084,1.18,1.18,1.0,1.12,0.94,0.94,5480,3160,J35,110000
50,2400,0.028,0.056,18,31.5,0.1,0.25,0.077,1.18,1.18,1.0,1.12,0.94,0.94,5240,3020,K31,120000
50,2700,0.025,0.049,16,40,0.1,0.22,0.069,1.18,1.18,1.0,1.12,0.94,0.94,5930,3420,J40,135000
50,3000,0.024,0.051,18,35.5,0.1,0.2,0.071,1.18,1.18,1.0,1.12,0.94,0.94,5870,3390,K35,150000
50,3600,0.023,0.042,18,40,0.1,0.16,0.059,1.18,1.18,1.0,1.12,0.94,0.94,6420,3700,K40,180000
63,270,0.072,0.207,12.5,20,0.1,0.56,0.491,1.54,1.54,1.0,1.31,0.85,0.85,1640,1420,G20,17010
63,390,0.072,0.192,12.5,20,0.1,0.56,0.34,1.33,1.33,1.0,1.2,0.93,0.93,1640,1420,G20,24570
63,560,0.052,0.134,12.5,25,0.1,0.39,0.237,1.33,1.33,1.0,1.2,0.93,0.93,2520,2050,G25,35280
63,680,0.053,0.11,16,20,0.1,0.34,0.195,1.33,1.33,1.0,1.2,0.93,0.93,2140,1910,J20,42840
63,750,0.042,0.1,12.5,30,0.1,0.3,0.177,1.33,1.33,1.0,1.2,0.93,0.93,3110,2630,G30,47250
63,910,0.035,0.082,12.5,35,0.1,0.25,0.146,1.33,1.33,1.0,1.2,0.93,0.93,3760,2970,G35,57330
63,910,0.044,0.082,18,20,0.1,0.26,0.146,1.33,1.33,1.0,1.2,0.93,0.93,2350,2100,K20,57330
63,1000,0.038,0.09,16,25,0.1,0.23,0.159,1.33,1.33,1.0,1.2,0.93,0.93,2940,2680,J25,63000
63,1100,0.031,0.104,12.5,40,0.1,0.22,0.145,1.18,1.18,1.0,1.12,0.94,0.94,4610,3260,G40,69300
63,1200,0.034,0.095,16,31.5,0.1,0.2,0.133,1.18,1.18,1.0,1.12,0.94,0.94,3860,3050,J31,75600
63,1300,0.033,0.088,18,25,0.1,0.19,0.122,1.18,1.18,1.0,1.12,0.94,0.94,3080,2810,K25,81900
63,1600,0.027,0.071,16,35.5,0.1,0.15,0.099,1.18,1.18,1.0,1.12,0.94,0.94,4590,3420,J35,100800
63,1600,0.028,0.071,18,31.5,0.1,0.15,0.099,1.18,1.18,1.0,1.12,0.94,0.94,4080,3220,K31,100800
63,1800,0.025,0.064,16,40,0.1,0.14,0.088,1.18,1.18,1.0,1.12,0.94,0.94,5190,3670,J40,113400
63,2200,0.022,0.061,18,35.5,0.1,0.12,0.084,1.18,1.18,1.0,1.12,0.94,0.94,5220,3690,K35,138600
63,2400,0.021,0.056,18,40,0.1,0.11,0.077,1.18,1.18,1.0,1.12,0.94,0.94,5660,3820,K40,151200
80,270,0.072,0.166,12.5,20,0.08,0.56,0.393,1.54,1.54,1.0,1.31,0.85,0.85,1640,1420,G20,21600
80,390,0.052,0.154,12.5,25,0.08,0.39,0.272,1.33,1.33,1.0,1.2,0.93,0.93,2520,2050,G25,31200
80,470,0.053,0.128,16,20,0.08,0.34,0.226,1.33,1.33,1.0,1.2,0.93,0.93,2140,1910,J20,37600
