Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Endurance,Impedance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping
6.3,2.2,132.629,4,7,0.22,1000.0,2.0,0.45,1.5,5.0,2.5,EEUFC0J2R2( ),65.0,200.0,2000.0
6.3,3.3,88.419,5,7,0.22,1000.0,0.95,0.45,2.0,5.0,2.5,EEUFC0J3R3( ),120.0,200.0,2000.0
6.3,4.7,62.082,5,11,0.22,1000.0,0.8,0.5,2.0,5.0,2.5,EEUFC0J4R7( ),175.0,200.0,2000.0
6.3,10,29.178,5,11,0.22,1000.0,0.8,0.5,2.0,5.0,2.5,EEUFC0J100L( ),175.0,200.0,2000.0
6.3,12,24.315,5,11,0.22,1000.0,0.8,0.5,2.0,5.0,2.5,EEUFC0J120( ),175.0,200.0,2000.0
6.3,15,19.452,5,11,0.22,1000.0,0.8,0.5,2.0,5.0,2.5,EEUFC0J150( ),175.0,200.0,2000.0
6.3,18,16.21,5,11,0.22,1000.0,0.8,0.5,2.0,5.0,2.5,EEUFC0J180( ),175.0,200.0,2000.0
6.3,22,13.263,5,11,0.22,1000.0,0.8,0.5,2.0,5.0,2.5,EEUFC0J220( ),175.0,200.0,2000.0
6.3,33,8.842,6.3,11.2,0.22,1000.0,0.35,0.5,2.5,5.0,2.5,EEUFC0J330( ),290.0,200.0,2000.0
6.3,39,7.482,6.3,11.2,0.22,1000.0,0.35,0.5,2.5,5.0,2.5,EEUFC0J390( ),290.0,200.0,2000.0
6.3,47,6.208,6.3,11.2,0.22,1000.0,0.35,0.5,2.5,5.0,2.5,EEUFC0J470( ),290.0,200.0,2000.0
6.3,56,5.21,8,11.5,0.22,2000.0,0.117,0.6,3.5,5.0,,EEUFC0J560( ),555.0,200.0,1000.0
6.3,68,4.291,8,11.5,0.22,2000.0,0.117,0.6,3.5,5.0,,EEUFC0J680( ),555.0,200.0,1000.0
6.3,82,3.558,8,11.5,0.22,2000.0,0.117,0.6,3.5,5.0,,EEUFC0J820( ),555.0,200.0,1000.0
6.3,100,2.918,10,12.5,0.22,3000.0,0.09,0.6,5.0,5.0,,EEUFC0J101( ),755.0,200.0,500.0
6.3,120,2.432,8,15,0.22,2000.0,0.085,0.6,3.5,5.0,,EEUFC0J121L( ),730.0,200.0,1000.0
6.3,150,1.945,10,12.5,0.22,3000.0,0.09,0.6,5.0,5.0,,EEUFC0J151( ),755.0,200.0,500.0
6.3,180,1.621,10,16,0.22,3000.0,0.068,0.6,5.0,5.0,,EEUFC0J181( ),1050.0,200.0,500.0
6.3,220,1.326,8,20,0.22,2000.0,0.065,0.6,3.5,5.0,,EEUFC0J221L( ),995.0,200.0,1000.0
6.3,270,1.081,10,16,0.22,3000.0,0.068,0.6,5.0,5.0,,EEUFC0J271( ),1050.0,200.0,500
6.3,330,0.884,10,20,0.22,3000.0,0.052,0.6,5.0,5.0,,EEUFC0J331( ),1220.0,200.0,500
6.3,390,0.748,12.5,15,0.22,5000.0,0.065,0.6,5.0,5.0,,EEUFC0J391S( ),1205.0,200.0,500
6.3,470,0.621,10,20,0.22,3000.0,0.052,0.6,5.0,5.0,,EEUFC0J471( ),1220.0,200.0,500
6.3,560,0.521,10,25,0.22,3000.0,0.045,0.6,5.0,5.0,,EEUFC0J561( ),1440.0,200.0,500
6.3,680,0.429,12.5,20,0.22,5000.0,0.038,0.6,5.0,5.0,,EEUFC0J681( ),1655.0,200.0,500
6.3,820,0.356,16,15,0.22,5000.0,0.043,0.8,7.5,7.5,,EEUFC0J821S( ),1690.0,100.0,250
6.3,1000,0.292,10,30,0.22,3000.0,0.035,0.6,5.0,,,EEUFC0J102L,1815.0,100.0,
6.3,1200,0.243,12.5,20,0.22,5000.0,0.038,0.6,5.0,5.0,,EEUFC0J122( ),1655.0,200.0,500
6.3,1500,0.195,12.5,25,0.22,5000.0,0.03,0.6,5.0,5.0,,EEUFC0J152( ),1945.0,200.0,500
6.3,1800,0.162,12.5,40,0.22,5000.0,0.018,0.8,5.0,,,EEUFC0J182L,2655.0,100.0,
6.3,2200,0.133,16,25,0.22,5000.0,0.022,0.8,7.5,7.5,,EEUFC0J222( ),2555.0,100.0,250
6.3,2700,0.108,16,31.5,0.22,5000.0,0.018,0.8,7.5,,,EEUFC0J272L,3010.0,100.0,
6.3,3300,0.088,18,35.5,0.22,5000.0,0.015,0.8,7.5,,,EEUFC0J332,3680.0,50.0,
6.3,3900,0.075,18,40,0.22,5000.0,0.014,0.8,7.5,,,EEUFC0J392,3735.0,50.0,
10,2.2,114.543,5,11,0.19,1000.0,1.8,0.5,2.0,5.0,2.5,EEUFC1A2R2( ),45.0,200.0,2000
10,3.3,76.362,5,11,0.19,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1A3R3( ),65.0,200.0,2000
10,4.7,53.616,5,11,0.19,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1A4R7( ),95.0,200.0,2000
10,10,25.2,5,11,0.19,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1A100L( ),125.0,200.0,2000
10,12,21,5,11,0.19,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1A120( ),135.0,200.0,2000
10,15,16.8,5,11,0.19,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1A150( ),145.0,200.0,2000
10,18,14,5,11,0.19,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1A180( ),155.0,200.0,2000
10,22,11.454,5,11,0.19,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1A220( ),155.0,200.0,2000
10,33,7.636,6.3,11.2,0.19,1000.0,0.6,0.5,2.5,5.0,2.5,EEUFC1A330( ),260.0,200.0,2000
10,39,6.461,6.3,11.2,0.19,1000.0,0.6,0.5,2.5,5.0,2.5,EEUFC1A390( ),260.0,200.0,2000
10,47,5.362,6.3,11.2,0.19,1000.0,0.6,0.5,2.5,5.0,2.5,EEUFC1A470( ),260.0,200.0,2000
10,68,3.706,8,11.5,0.19,2000.0,0.234,0.6,3.5,5.0,,EEUFC1A680( ),485.0,200.0,1000
10,82,3.073,8,11.5,0.19,2000.0,0.234,0.6,3.5,5.0,,EEUFC1A820( ),485.0,200.0,1000
10,100,2.52,10,12.5,0.19,3000.0,0.162,0.6,5.0,5.0,,EEUFC1A101( ),615.0,200.0,500
10,120,2.1,8,15,0.19,2000.0,0.155,0.6,3.5,5.0,,EEUFC1A121L( ),635.0,200.0,1000
10,150,1.68,10,16,0.19,3000.0,0.119,0.6,5.0,5.0,,EEUFC1A151( ),850.0,200.0,500
10,180,1.4,8,20,0.19,2000.0,0.12,0.6,3.5,5.0,,EEUFC1A181L( ),860.0,200.0,1000
10,220,1.145,10,20,0.19,3000.0,0.09,0.6,5.0,5.0,,EEUFC1A221( ),1030.0,200.0,500
10,270,0.933,10,25,0.19,3000.0,0.082,0.6,5.0,5.0,,EEUFC1A271( ),1200.0,200.0,500
10,330,0.764,12.5,20,0.19,5000.0,0.063,0.6,5.0,5.0,,EEUFC1A331( ),1480.0,200.0,500
10,390,0.646,12.5,25,0.19,5000.0,0.07,0.6,5.0,5.0,,EEUFC1A391( ),1720.0,200.0,500
10,470,0.536,12.5,30,0.19,5000.0,0.055,0.8,5.0,,,EEUFC1A471L,2090.0,100.0,
10,560,0.45,16,20,0.19,5000.0,0.059,0.8,7.5,7.5,,EEUFC1A561( ),1765.0,100.0,250
10,680,0.371,12.5,35,0.19,5000.0,0.047,0.8,5.0,,,EEUFC1A681L,2265.0,100.0,
10,820,0.307,16,25,0.19,5000.0,0.05,0.8,7.5,7.5,,EEUFC1A821( ),2160.0,100.0,250
10,1000,0.252,16,31.5,0.19,5000.0,0.043,0.8,7.5,,,EEUFC1A102U,2670.0,100.0,
10,1200,0.21,16,40,0.19,5000.0,0.03,0.8,7.5,,,EEUFC1A122L,2825.0,100.0,
10,1500,0.168,18,35.5,0.19,5000.0,0.03,0.8,7.5,,,EEUFC1A152,3095.0,50.0,
10,1800,0.14,18,40,0.19,5000.0,0.025,0.8,7.5,,,EEUFC1A182,3205.0,50.0,
16,2.2,96.458,5,11,0.16,1000.0,1.8,0.5,2.0,5.0,2.5,EEUFC1C2R2( ),45.0,200.0,2000
16,3.3,64.305,5,11,0.16,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1C3R3( ),65.0,200.0,2000
16,4.7,45.15,5,11,0.16,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1C4R7( ),95.0,200.0,2000
16,10,21.221,5,11,0.16,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1C100L( ),125.0,200.0,2000
16,12,17.684,5,11,0.16,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1C120( ),135.0,200.0,2000
