Voltage,Capacitance,ESR 20°C@120Hz,Case Size Length,Dissipation Factor,Part Number,Ripple Current 85°C@120Hz
6.3,33,8.842,5,0.22,RE3-6V330MA,60
6.3,47,6.208,5,0.22,RE3-6V470MA,70
6.3,100,2.918,5,0.22,RE3-6V101MA,100
6.3,220,1.326,6.3,0.22,RE2-6V221MMA,170
6.3,330,0.884,6.3,0.22,RE2-6V331MMA,210
6.3,470,0.621,8,0.22,RE2-6V471MMA,300
6.3,1000,0.292,10,0.22,RE2-6V102MMA,530
6.3,2200,0.145,12.5,0.24,RE2-6V222MMA,990
6.3,3300,0.104,12.5,0.26,RE2-6V332MMA,1150
6.3,4700,0.079,16,0.28,RE2-6V472MMA,1700
6.3,6800,0.062,16,0.32,RE2-6V682MMA,1900
6.3,10000,0.05,16,0.38,RE2-6V103MMA,2250
6.3,15000,0.042,18,0.48,RE2-6V153MMA,2900
10,22,11.454,5,0.19,RE3-10V220MA,50
10,33,7.636,5,0.19,RE3-10V330MA,65
10,47,5.362,5,0.19,RE3-10V470MA,75
10,100,2.52,5,0.19,RE3-10V101MA,110
10,220,1.145,6.3,0.19,RE2-10V221MMA,190
10,330,0.764,8,0.19,RE2-10V331MMA,270
10,470,0.536,8,0.19,RE2-10V471MMA,330
10,1000,0.252,10,0.19,RE2-10V102MMA,620
10,2200,0.127,12.5,0.21,RE2-10V222MMA,1050
10,3300,0.092,12.5,0.23,RE2-10V332MMA,1350
10,4700,0.071,16,0.25,RE2-10V472MMA,1800
10,6800,0.057,16,0.29,RE2-10V682MMA,2200
10,10000,0.046,18,0.35,RE2-10V103MMA,2750
16,10,21.221,5,0.16,RE3-16V100MA,40
16,22,9.646,5,0.16,RE3-16V220MA,55
16,33,6.431,5,0.16,RE3-16V330MA,70
16,47,4.515,5,0.16,RE3-16V470MA,80
16,100,2.122,6.3,0.16,RE2-16V101MMA,140
16,220,0.965,8,0.16,RE2-16V221MMA,240
16,330,0.643,8,0.16,RE2-16V331MMA,300
16,470,0.452,10,0.16,RE2-16V471MMA,420
16,1000,0.212,10,0.16,RE2-16V102MMA,740
16,2200,0.109,12.5,0.18,RE2-16V222MMA,1200
16,3300,0.08,16,0.2,RE2-16V332MMA,1650
16,4700,0.062,16,0.22,RE2-16V472MMA,2100
16,6800,0.051,18,0.26,RE2-16V682MMA,2600
25,4.7,39.507,5,0.14,RE3-25V4R7MA,25
25,10,18.568,5,0.14,RE3-25V100MA,40
25,22,8.44,5,0.14,RE3-25V220MA,60
25,33,5.627,5,0.14,RE3-25V330MA,70
25,47,3.951,5,0.14,RE3-25V470MA,90
25,100,1.857,6.3,0.14,RE2-25V101MMA,150
25,220,0.844,8,0.14,RE2-25V221MMA,260
25,330,0.563,10,0.14,RE2-25V331MMA,380
25,470,0.395,10,0.14,RE2-25V471MMA,500
25,1000,0.186,12.5,0.14,RE2-25V102MMA,1000
25,2200,0.096,16,0.16,RE2-25V222MMA,1500
25,3300,0.072,16,0.18,RE2-25V332MMA,1900
25,4700,0.056,18,0.2,RE2-25V472MMA,2450
35,4.7,33.863,5,0.12,RE3-35V4R7MA,30
35,10,15.916,5,0.12,RE3-35V100MA,45
35,22,7.234,5,0.12,RE3-35V220MA,60
35,33,4.823,5,0.12,RE3-35V330MA,80
35,47,3.386,6.3,0.12,RE2-35V470MMA,110
35,100,1.592,8,0.12,RE2-35V101MMA,190
35,220,0.723,10,0.12,RE2-35V221MMA,330
35,330,0.482,10,0.12,RE2-35V331MMA,450
35,470,0.339,10,0.12,RE2-35V471MMA,590
35,1000,0.159,12.5,0.12,RE2-35V102MMA,1050
35,2200,0.084,16,0.14,RE2-35V222MMA,1750
35,3300,0.064,18,0.16,RE2-35V332MMA,2250
50,0.1,1326.292,5,0.1,RE3-50VR10MA,5
50,0.22,602.86,5,0.1,RE3-50VR22MA,7
50,0.33,401.907,5,0.1,RE3-50VR33MA,9
50,0.47,282.19,5,0.1,RE3-50VR47MA,10
50,1,132.629,5,0.1,RE3-50V010MA,15
50,2.2,60.286,5,0.1,RE3-50V2R2MA,20
50,3.3,40.191,5,0.1,RE3-50V3R3MA,25
50,4.7,28.219,5,0.1,RE3-50V4R7MA,30
50,10,13.263,5,0.1,RE3-50V100MA,45
50,22,6.029,5,0.1,RE3-50V220MA,70
50,33,4.019,6.3,0.1,RE2-50V330MMA,100
50,47,2.822,6.3,0.1,RE2-50V470MMA,120
50,100,1.326,8,0.1,RE2-50V101MMA,210
50,220,0.603,10,0.1,RE2-50V221MMA,400
50,330,0.402,10,0.1,RE2-50V331MMA,540
50,470,0.282,12.5,0.1,RE2-50V471MMA,740
50,1000,0.133,16,0.1,RE2-50V102MMA,1350
50,2200,0.072,18,0.12,RE2-50V222MMA,2100
63,4.7,25.397,5,0.09,RE3-63V4R7MA,35
63,10,11.937,5,0.09,RE3-63V100MA,50
63,22,5.426,6.3,0.09,RE2-63V220MMA,85
63,33,3.617,6.3,0.09,RE2-63V330MMA,100
63,47,2.54,8,0.09,RE2-63V470MMA,150
63,100,1.194,10,0.09,RE2-63V101MMA,260
63,220,0.543,10,0.09,RE2-63V221MMA,460
63,330,0.362,12.5,0.09,RE2-63V331MMA,650
63,470,0.254,12.5,0.09,RE2-63V471MMA,850
63,1000,0.119,16,0.09,RE2-63V102MMA,1550
100,0.1,1061.034,5,0.08,RE3-100VR10M,5
100,0.22,482.288,5,0.08,RE3-100VR22M,8
