Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Size Code
6.3,100,2.918,0.65,5,11.5,0.22,1.46,175,C11
10,82,3.073,0.65,5,11.5,0.19,1.46,175,C11
16,56,3.789,0.65,5,11.5,0.16,1.46,175,C11
25,39,4.761,0.65,5,11.5,0.14,1.46,175,C11
35,27,5.895,0.65,5,11.5,0.12,1.46,175,C11
50,18,7.368,0.95,5,11.5,0.1,1.9,120,C11
63,12,8.842,1.2,5,11.5,0.08,3.6,120,C11
100,5.6,16.579,1.9,5,11.5,0.07,7.6,57,C11
50,1,132.629,3.5,5,11.5,0.1,7.0,36,C11
50,2.2,60.286,3,5,11.5,0.1,6.0,54,C11
50,3.3,40.191,2.6,5,11.5,0.1,5.2,63,C11
50,4.7,28.219,2.2,5,11.5,0.1,4.4,75,C11
50,10,13.263,1.4,5,11.5,0.1,2.8,110,C11
6.3,220,1.326,0.31,6.3,11.5,0.22,0.7,290,D11
10,180,1.4,0.31,6.3,11.5,0.19,0.7,290,D11
16,120,1.768,0.31,6.3,11.5,0.16,0.7,290,D11
25,82,2.264,0.31,6.3,11.5,0.14,0.7,290,D11
35,56,2.842,0.31,6.3,11.5,0.12,0.7,290,D11
50,39,3.401,0.43,6.3,11.5,0.1,0.86,148,D11
63,27,3.93,0.55,6.3,11.5,0.08,1.7,148,D11
100,12,7.737,1.1,6.3,11.5,0.07,4.4,78,D11
6.3,470,0.621,0.17,8,12,0.22,0.38,488,E12
10,330,0.764,0.17,8,12,0.19,0.38,488,E12
16,270,0.786,0.17,8,12,0.16,0.38,488,E12
25,180,1.032,0.17,8,12,0.14,0.38,488,E12
35,120,1.326,0.17,8,12,0.12,0.38,488,E12
50,68,1.95,0.2,8,12,0.1,0.4,360,E12
63,47,2.258,0.32,8,12,0.08,0.96,360,E12
100,22,4.22,0.53,8,12,0.07,2.1,275,E12
6.3,680,0.429,0.13,8,15,0.22,0.29,617,E15
10,470,0.536,0.13,8,15,0.19,0.29,617,E15
16,330,0.643,0.13,8,15,0.16,0.29,617,E15
25,220,0.844,0.13,8,15,0.14,0.29,617,E15
35,180,0.884,0.13,8,15,0.12,0.29,617,E15
50,82,1.617,0.18,8,15,0.1,0.36,460,E15
63,68,1.56,0.24,8,15,0.08,0.72,469,E15
100,33,2.813,0.35,8,15,0.07,1.4,360,E15
6.3,1000,0.292,0.095,8,20,0.22,0.21,800,E20
10,680,0.371,0.095,8,20,0.19,0.21,800,E20
16,470,0.452,0.095,8,20,0.16,0.21,800,E20
25,330,0.563,0.095,8,20,0.14,0.21,800,E20
35,220,0.723,0.095,8,20,0.12,0.21,800,E20
50,120,1.105,0.13,8,20,0.1,0.26,670,E20
63,82,1.294,0.17,8,20,0.08,0.51,682,E20
100,39,2.381,0.27,8,20,0.07,1.1,490,E20
6.3,680,0.429,0.1,10,12.5,0.22,0.23,625,F12
10,470,0.536,0.1,10,12.5,0.19,0.23,625,F12
16,330,0.643,0.1,10,12.5,0.16,0.23,625,F12
25,220,0.844,0.1,10,12.5,0.14,0.23,625,F12
35,150,1.061,0.1,10,12.5,0.12,0.23,625,F12
50,82,1.617,0.18,10,12.5,0.1,0.36,443,F12
63,56,1.895,0.23,10,12.5,0.08,0.69,448,F12
100,27,3.439,0.47,10,12.5,0.07,1.9,319,F12
6.3,820,0.356,0.08,10,16,0.22,0.18,825,F16
10,560,0.45,0.08,10,16,0.19,0.18,825,F16
16,390,0.544,0.08,10,16,0.16,0.18,825,F16
25,270,0.688,0.08,10,16,0.14,0.18,825,F16
35,180,0.884,0.08,10,16,0.12,0.18,825,F16
50,100,1.326,0.15,10,16,0.1,0.3,553,F16
63,68,1.56,0.17,10,16,0.08,0.51,553,F16
100,33,2.813,0.32,10,16,0.07,1.3,424,F16
6.3,1200,0.243,0.062,10,20,0.22,0.14,1010,F20
10,1000,0.252,0.062,10,20,0.19,0.14,1010,F20
16,680,0.312,0.062,10,20,0.16,0.14,1010,F20
25,470,0.395,0.062,10,20,0.14,0.14,1010,F20
35,330,0.482,0.062,10,20,0.12,0.14,1010,F20
50,180,0.737,0.085,10,20,0.1,0.17,676,F20
63,120,0.884,0.12,10,20,0.08,0.36,676,F20
100,56,1.658,0.25,10,20,0.07,1.0,499,F20
6.3,1500,0.195,0.052,10,25,0.22,0.12,1190,F25
10,1200,0.21,0.052,10,25,0.19,0.12,1190,F25
16,820,0.259,0.052,10,25,0.16,0.12,1190,F25
25,560,0.332,0.052,10,25,0.14,0.12,1190,F25
35,390,0.408,0.052,10,25,0.12,0.12,1190,F25
50,220,0.603,0.075,10,25,0.1,0.15,876,F25
63,150,0.707,0.1,10,25,0.08,0.3,876,F25
100,68,1.365,0.18,10,25,0.07,0.72,634,F25
6.3,2200,0.133,0.044,10,30,0.22,0.099,1440,F30
10,1500,0.168,0.044,10,30,0.19,0.099,1440,F30
16,1200,0.177,0.044,10,30,0.16,0.099,1440,F30
25,820,0.226,0.044,10,30,0.14,0.099,1440,F30
35,560,0.284,0.044,10,30,0.12,0.099,1440,F30
50,330,0.402,0.055,10,30,0.1,0.11,1010,F30
63,180,0.589,0.085,10,30,0.08,0.26,1020,F30
100,100,0.928,0.15,10,30,0.07,0.6,739,F30
6.3,1200,0.243,0.062,12.5,15,0.22,0.14,1010,G15
10,1000,0.252,0.062,12.5,15,0.19,0.14,1010,G15
16,680,0.312,0.062,12.5,15,0.16,0.14,1010,G15
25,470,0.395,0.062,12.5,15,0.14,0.14,1010,G15
35,330,0.482,0.062,12.5,15,0.12,0.14,1010,G15
50,180,0.737,0.095,12.5,15,0.1,0.19,745,G15
63,150,0.707,0.11,12.5,15,0.08,0.33,745,G15
100,68,1.365,0.2,12.5,15,0.07,0.8,613,G15
6.3,2200,0.133,0.042,12.5,20,0.22,0.095,1400,G20
10,1800,0.14,0.042,12.5,20,0.19,0.095,1400,G20
16,1200,0.177,0.042,12.5,20,0.16,0.095,1400,G20
25,820,0.226,0.042,12.5,20,0.14,0.095,1400,G20
35,560,0.284,0.042,12.5,20,0.12,0.095,1400,G20
50,330,0.402,0.06,12.5,20,0.1,0.12,979,G20
63,220,0.482,0.075,12.5,20,0.08,0.23,979,G20
100,100,0.928,0.13,12.5,20,0.07,0.52,805,G20
6.3,2700,0.108,0.034,12.5,25,0.22,0.076,1690,G25
10,2200,0.115,0.034,12.5,25,0.19,0.076,1690,G25
16,1500,0.141,0.034,12.5,25,0.16,0.076,1690,G25
25,1000,0.186,0.034,12.5,25,0.14,0.076,1690,G25
35,680,0.234,0.034,12.5,25,0.12,0.076,1690,G25
50,470,0.282,0.044,12.5,25,0.1,0.088,1180,G25
63,270,0.393,0.065,12.5,25,0.08,0.2,1180,G25
100,120,0.774,0.11,12.5,25,0.07,0.44,857,G25
6.3,3900,0.075,0.03,12.5,30,0.22,0.068,1950,G30
10,2700,0.093,0.03,12.5,30,0.19,0.068,1950,G30
16,2200,0.096,0.03,12.5,30,0.16,0.068,1950,G30
25,1500,0.124,0.03,12.5,30,0.14,0.068,1950,G30
35,1000,0.159,0.03,12.5,30,0.12,0.068,1950,G30
50,560,0.237,0.04,12.5,30,0.1,0.08,1310,G30
63,390,0.272,0.055,12.5,30,0.08,0.17,1310,G30
100,180,0.516,0.09,12.5,30,0.07,0.36,1120,G30
6.3,4700,0.062,0.024,12.5,35,0.22,0.054,2220,G35
10,3300,0.076,0.024,12.5,35,0.19,0.054,2220,G35
16,2700,0.079,0.024,12.5,35,0.16,0.054,2220,G35
25,1800,0.103,0.024,12.5,35,0.14,0.054,2220,G35
35,1200,0.133,0.024,12.5,35,0.12,0.054,2220,G35
50,680,0.195,0.036,12.5,35,0.1,0.072,1470,G35
63,470,0.226,0.048,12.5,35,0.08,0.14,1470,G35
100,220,0.422,0.075,12.5,35,0.07,0.3,1240,G35
6.3,5600,0.052,0.021,12.5,40,0.22,0.047,2390,G40
10,3900,0.065,0.021,12.5,40,0.19,0.047,2390,G40
16,3300,0.064,0.021,12.5,40,0.16,0.047,2390,G40
25,2200,0.084,0.021,12.5,40,0.14,0.047,2390,G40
35,1500,0.106,0.021,12.5,40,0.12,0.047,2390,G40
50,820,0.162,0.034,12.5,40,0.1,0.068,1590,G40
63,560,0.189,0.042,12.5,40,0.08,0.13,1590,G40
100,270,0.344,0.06,12.5,40,0.07,0.24,1330,G40
6.3,2700,0.108,0.046,16,16,0.22,0.1,1310,J16
10,1800,0.14,0.046,16,16,0.19,0.1,1310,J16
16,1500,0.141,0.046,16,16,0.16,0.1,1310,J16
25,820,0.226,0.046,16,16,0.14,0.1,1310,J16
35,560,0.284,0.046,16,16,0.12,0.1,1310,J16
50,330,0.402,0.065,16,16,0.1,0.13,982,J16
63,220,0.482,0.08,16,16,0.08,0.24,982,J16
100,120,0.774,0.13,16,16,0.07,0.52,706,J16
6.3,4700,0.062,0.034,16,20,0.22,0.077,1660,J20
10,3300,0.076,0.034,16,20,0.19,0.077,1660,J20
16,2200,0.096,0.034,16,20,0.16,0.077,1660,J20
25,1500,0.124,0.034,16,20,0.14,0.077,1660,J20
35,1000,0.159,0.034,16,20,0.12,0.077,1660,J20
50,680,0.195,0.045,16,20,0.1,0.09,1210,J20
63,390,0.272,0.057,16,20,0.08,0.17,1210,J20
100,180,0.516,0.11,16,20,0.07,0.44,916,J20
6.3,5600,0.052,0.028,16,25,0.22,0.063,2070,J25
10,3900,0.065,0.028,16,25,0.19,0.063,2070,J25
16,2700,0.079,0.028,16,25,0.16,0.063,2070,J25
25,1800,0.103,0.028,16,25,0.14,0.063,2070,J25
35,1200,0.133,0.028,16,25,0.12,0.063,2070,J25
50,820,0.162,0.038,16,25,0.1,0.076,1490,J25
63,470,0.226,0.052,16,25,0.08,0.16,1490,J25
100,220,0.422,0.081,16,25,0.07,0.32,1290,J25
6.3,6800,0.043,0.025,16,31.5,0.22,0.056,2350,J31
10,5600,0.045,0.025,16,31.5,0.19,0.056,2350,J31
16,3900,0.054,0.025,16,31.5,0.16,0.056,2350,J31
25,2700,0.069,0.025,16,31.5,0.14,0.056,2350,J31
35,1800,0.088,0.025,16,31.5,0.12,0.056,2350,J31
50,1000,0.133,0.032,16,31.5,0.1,0.064,1890,J31
63,680,0.156,0.042,16,31.5,0.08,0.13,1890,J31
100,330,0.281,0.059,16,31.5,0.07,0.23,1630,J31
6.3,8200,0.036,0.022,16,35.5,0.22,0.05,2550,J35
10,6800,0.037,0.022,16,35.5,0.19,0.05,2550,J35
16,4700,0.045,0.022,16,35.5,0.16,0.05,2550,J35
25,3300,0.056,0.022,16,35.5,0.14,0.05,2550,J35
35,2200,0.072,0.022,16,35.5,0.12,0.05,2550,J35
50,1200,0.111,0.028,16,35.5,0.1,0.056,2140,J35
63,820,0.129,0.036,16,35.5,0.08,0.11,2140,J35
100,390,0.238,0.052,16,35.5,0.07,0.21,1750,J35
6.3,12000,0.024,0.018,16,40,0.22,0.041,2970,J40
10,8200,0.031,0.018,16,40,0.19,0.041,2970,J40
16,5600,0.038,0.018,16,40,0.16,0.041,2970,J40
25,3900,0.048,0.018,16,40,0.14,0.041,2970,J40
35,2700,0.059,0.018,16,40,0.12,0.041,2970,J40
50,1500,0.088,0.026,16,40,0.1,0.052,2410,J40
63,1000,0.106,0.032,16,40,0.08,0.096,2410,J40
