Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@60Hz,Straight leads,Taping,VC
10,330,0.24,6.3,11.2,0.965,1000,0.5,2.5,5,2.5,EEUHD1A331( ),300,300,200,270,160,200,2000,3300
10,330,0.24,6.3,11.2,0.965,1000,0.5,2.5,5,2.5,EEUHD1A331( ),300,300,200,270,160,200,2000,3300
10,470,0.24,8,11.5,0.677,1000,0.6,3.5,5,,EEUHD1A471( ),375,375,250,337.5,200,200,1000,4700
10,470,0.24,8,11.5,0.677,1000,0.6,3.5,5,,EEUHD1A471( ),375,375,250,337.5,200,200,1000,4700
10,1000,0.24,10,12.5,0.345,2000,0.6,5,5,,EEUHD1A102( ),529,529,460,506,391,200,500,10000
10,1000,0.24,10,12.5,0.345,2000,0.6,5,5,,EEUHD1A102( ),529,529,460,506,391,200,500,10000
10,2200,0.26,10,16,0.181,2000,0.6,5,5,,EEUHD1A222( ),874,874,760,836,646,200,500,22000
10,2200,0.26,10,16,0.181,2000,0.6,5,5,,EEUHD1A222( ),874,874,760,836,646,200,500,22000
10,4700,0.3,12.5,20,0.107,2000,0.6,5,5,,EEUHD1A472( ),1449,1449,1260,1386,1071,200,500,47000
10,4700,0.3,12.5,20,0.107,2000,0.6,5,5,,EEUHD1A472( ),1449,1449,1260,1386,1071,200,500,47000
10,6800,0.34,12.5,25,0.09,2000,0.6,5,5,,EEUHD1A682( ),1805.5,1805.5,1570,1727,1334.5,200,500,68000
10,6800,0.34,12.5,25,0.09,2000,0.6,5,5,,EEUHD1A682( ),1805.5,1805.5,1570,1727,1334.5,200,500,68000
10,10000,0.42,16,25,0.082,2000,0.8,7.5,7.5,,EEUHD1A103( ),2173.5,2173.5,1890,2079,1606.5,100,250,100000
10,10000,0.42,16,25,0.082,2000,0.8,7.5,7.5,,EEUHD1A103( ),2173.5,2173.5,1890,2079,1606.5,100,250,100000
10,15000,0.52,16,31.5,0.073,2000,0.8,7.5,,,EEUHD1A153,2507,2507,2180,2398,1853,100,,150000
