Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
400,56,0.2,16,20,-40,105,4.737,5000,996,600,UTH2G560MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,768,480,672,600,384,MP,22400,Normal,6.6
400,75,0.2,18,20,-40,105,3.537,5000,1300,400,UTH2G750MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,880,550,770,687.5,440,MP,30000,Normal,9
400,82,0.2,16,26,-40,105,3.235,5000,1412,400,UTH2G820MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,992,620,868,775,496,MP,32800,Normal,9.85
400,120,0.2,16,31.5,-40,105,2.21,5000,2020,300,UTH2G121MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1264,790,1106,987.5,632,MP,48000,Normal,11.6
400,120,0.2,18,26,-40,105,2.21,5000,2020,300,UTH2G121MND6,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1208,755,1057,943.75,604,MP,48000,Normal,12.5
400,140,0.2,16,36,-40,105,1.895,5000,2340,300,UTH2G141MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1392,870,1218,1087.5,696,MP,56000,Normal,13.3
400,150,0.2,18,31.5,-40,105,1.768,5000,2500,300,UTH2G151MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1464,915,1281,1143.75,732,MP,60000,Normal,13.8
400,160,0.2,16,40,-40,105,1.658,5000,2660,300,UTH2G161MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1472,920,1288,1150,736,MP,64000,Normal,14.1
400,180,0.2,18,36,-40,105,1.474,5000,2980,250,UTH2G181MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1520,950,1330,1187.5,760,MP,72000,Normal,16.9
400,200,0.2,18,40,-40,105,1.326,5000,3300,200,UTH2G201MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1680,1050,1470,1312.5,840,MP,80000,Normal,17.7
420,53,0.2,16,20,-40,105,5.005,5000,990,600,UTHW6530MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,768,480,672,600,384,MP,22260,Normal,6.6
420,68,0.2,18,20,-40,105,3.901,5000,1242,400,UTHW6680MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,864,540,756,675,432,MP,28560,Normal,9
420,82,0.2,16,26,-40,105,3.235,5000,1478,400,UTHW6820MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,992,620,868,775,496,MP,34440,Normal,9.85
420,100,0.2,16,31.5,-40,105,2.653,5000,1780,300,UTHW6101MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1200,750,1050,937.5,600,MP,42000,Normal,11.6
420,110,0.2,18,26,-40,105,2.411,5000,1948,300,UTHW6111MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1184,740,1036,925,592,MP,46200,Normal,12.5
420,120,0.2,16,36,-40,105,2.21,5000,2116,300,UTHW6121MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1312,820,1148,1025,656,MP,50400,Normal,13.3
420,130,0.2,18,31.5,-40,105,2.04,5000,2284,300,UTHW6131MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1376,860,1204,1075,688,MP,54600,Normal,13.8
420,140,0.2,16,40,-40,105,1.895,5000,2452,300,UTHW6141MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1456,910,1274,1137.5,728,MP,58800,Normal,14.1
420,160,0.2,18,36,-40,105,1.658,5000,2788,250,UTHW6161MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1472,920,1288,1150,736,MP,67200,Normal,16.9
420,180,0.2,18,40,-40,105,1.474,5000,3124,200,UTHW6181MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1664,1040,1456,1300,832,MP,75600,Normal,17.7
450,47,0.2,16,20,-40,105,5.644,5000,946,600,UTH2W470MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,688,430,602,537.5,344,MP,21150,Normal,6.6
450,62,0.2,18,20,-40,105,4.278,5000,1216,400,UTH2W620MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,832,520,728,650,416,MP,27900,Normal,9
450,75,0.2,16,26,-40,105,3.537,5000,1450,400,UTH2W750MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,912,570,798,712.5,456,MP,33750,Normal,9.85
450,100,0.2,16,31.5,-40,105,2.653,5000,1900,300,UTH2W101MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1152,720,1008,900,576,MP,45000,Normal,11.6
450,100,0.2,18,26,-40,105,2.653,5000,1900,300,UTH2W101MND6,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1104,690,966,862.5,552,MP,45000,Normal,12.5
450,120,0.2,16,36,-40,105,2.21,5000,2260,300,UTH2W121MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1296,810,1134,1012.5,648,MP,54000,Normal,13.3
450,130,0.2,16,40,-40,105,2.04,5000,2440,300,UTH2W131MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1376,860,1204,1075,688,MP,58500,Normal,14.1
450,130,0.2,18,31.5,-40,105,2.04,5000,2440,300,UTH2W131MND6,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1304,815,1141,1018.75,652,MP,58500,Normal,13.8
450,140,0.2,18,36,-40,105,1.895,5000,2620,250,UTH2W141MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1440,900,1260,1125,720,MP,63000,Normal,16.9
450,160,0.2,18,40,-40,105,1.658,5000,2980,200,UTH2W161MND,Uni-Polar,Radial Lead,Hi-Volt. Minitualized Hi-Ripple Cur. Long Life,1568,980,1372,1225,784,MP,72000,Normal,17.7
