Voltage,Capacitance,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@120Hz,Status,Vibration resistant,Weight (g)
200,22,10,20,-40,105,0.15,2000,276,1400,UAQ2D220MPD,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,120,LTB,Normal,2.34
200,33,10,25,-40,105,0.15,2000,364,1200,UAQ2D330MPD,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,160,LTB,Normal,3.07
200,33,12.5,20,-40,105,0.15,2000,364,1000,UAQ2D330MHD6,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,160,LTB,Normal,3.43
200,47,10,30.5,-40,105,0.15,2000,476,1000,UAQ2D470MPD,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,195,LTB,Normal,3.21
200,47,12.5,20,-40,105,0.15,2000,476,1000,UAQ2D470MHD6,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,195,LTB,Normal,3.43
200,56,12.5,25,-40,105,0.15,2000,548,800,UAQ2D560MHD,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,210,LTB,Normal,4.56
200,68,12.5,25,-40,105,0.15,2000,644,800,UAQ2D680MHD,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,250,LTB,Normal,4.56
200,82,12.5,30.5,-40,105,0.15,2000,756,600,UAQ2D820MHD,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,285,LTB,Normal,6.01
200,82,16,20,-40,105,0.15,2000,756,600,UAQ2D820MHD6,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,335,LTB,Normal,6.6
200,100,12.5,35.5,-40,105,0.15,2000,900,500,UAQ2D101MHD,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,335,LTB,Normal,7.06
200,100,16,25,-40,105,0.15,2000,900,400,UAQ2D101MHD6,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,335,LTB,Normal,8.2
200,100,18,20,-40,105,0.15,2000,900,400,UAQ2D101MHD3,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,335,LTB,Normal,9.0
200,150,16,30.5,-40,105,0.15,2000,1300,300,UAQ2D151MHD,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,435,LTB,Normal,9.6
200,150,18,25,-40,105,0.15,2000,1300,300,UAQ2D151MHD6,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,435,LTB,Normal,10.6
200,150,22,20,-40,105,0.15,2000,1300,250,UAQ2D151MRD3,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,435,EOL,Normal,12.1
200,180,16,35.5,-40,105,0.15,2000,1540,300,UAQ2D181MHD,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,495,LTB,Normal,11.8
200,180,18,30.5,-40,105,0.15,2000,1540,300,UAQ2D181MHD6,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,495,LTB,Normal,13.1
200,180,22,25,-40,105,0.15,2000,1540,250,UAQ2D181MRD3,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,495,EOL,Normal,15.4
200,220,18,35.5,-40,105,0.15,2000,1860,250,UAQ2D221MHD,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,575,LTB,Normal,14.2
400,10,12.5,20,-40,105,0.15,2000,260,1000,UAQ2G100MHD,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,100,LTB,Normal,3.43
400,22,12.5,30.5,-40,105,0.15,2000,452,600,UAQ2G220MHD,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,145,LTB,Normal,6.01
400,22,16,20,-40,105,0.15,2000,452,600,UAQ2G220MHD6,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,145,LTB,Normal,6.6
400,33,12.5,40,-40,105,0.15,2000,628,400,UAQ2G330MHD,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,195,LTB,Normal,7.57
400,33,16,25,-40,105,0.15,2000,628,400,UAQ2G330MHD6,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,195,LTB,Normal,8.2
400,33,18,20,-40,105,0.15,2000,628,400,UAQ2G330MHD3,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,195,LTB,Normal,9.0
400,47,16,35.5,-40,105,0.15,2000,852,300,UAQ2G470MHD,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,280,LTB,Normal,11.8
400,47,18,25,-40,105,0.15,2000,852,300,UAQ2G470MHD6,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,280,LTB,Normal,10.6
400,47,22,20,-40,105,0.15,2000,852,250,UAQ2G470MRD3,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,280,EOL,Normal,12.1
400,56,16,35.5,-40,105,0.15,2000,996,300,UAQ2G560MHD,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,320,LTB,Normal,11.8
400,56,18,30.5,-40,105,0.15,2000,996,300,UAQ2G560MHD6,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,320,LTB,Normal,13.1
400,56,22,25,-40,105,0.15,2000,996,250,UAQ2G560MRD3,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,320,EOL,Normal,15.4
400,68,16,40,-40,105,0.15,2000,1188,300,UAQ2G680MHD,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,350,LTB,Normal,14.1
400,68,18,35.5,-40,105,0.15,2000,1188,250,UAQ2G680MHD6,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,350,LTB,Normal,14.2
400,82,18,40,-40,105,0.15,2000,1412,200,UAQ2G820MHD,Uni-Polar,Radial Lead,For Permissible Abnormal Volt.,420,LTB,Normal,17.7
