Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 135°C@100kHz,Status,VC,Vibration resistant,Weight (g)
35,4700,0.18,0.02,16,35.5,-40,135,0.14,0.073,3000,4935,300,UBY1V472MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,6070,5915.68,5144.07,5761.36,3630,MP,164500,Normal,11.8
35,5100,0.2,0.022,18,30.5,-40,135,0.16,0.078,3000,5355,300,UBY1V512MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5600,5457.63,4745.76,5315.25,3470,MP,178500,Normal,13.1
35,5600,0.2,0.019,16,40,-40,135,0.12,0.071,3000,5880,300,UBY1V562MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,6810,6636.86,5771.19,6463.73,3930,MP,196000,Normal,14.1
35,6200,0.22,0.019,18,35.5,-40,135,0.12,0.073,3000,6510,250,UBY1V622MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,6280,6120.34,5322.03,5960.68,3750,MP,217000,Normal,14.2
35,7500,0.24,0.018,18,40,-40,135,0.1,0.067,3000,7875,200,UBY1V752MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,7070,6890.25,5991.53,6710.51,4080,MP,262500,Normal,17.7
50,620,0.1,0.056,12.5,20,-40,135,0.52,0.214,3000,930,1000,UBY1H621MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2400,2256,1200,2040,1470,MP,31000,Normal,3.43
50,820,0.1,0.044,12.5,25,-40,135,0.35,0.162,3000,1230,800,UBY1H821MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3350,3169.46,2005.99,2908.68,2260,MP,41000,Normal,4.56
50,1000,0.1,0.039,16,20,-40,135,0.3,0.159,3000,1500,600,UBY1H102MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2960,2800.48,1772.46,2570.06,1870,MP,50000,Normal,6.6
50,1100,0.1,0.037,12.5,30.5,-40,135,0.26,0.145,3000,1650,600,UBY1H112MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4220,3992.57,2526.95,3664.07,2520,MP,55000,Normal,6.01
50,1300,0.1,0.033,12.5,35.5,-40,135,0.23,0.122,3000,1950,500,UBY1H132MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4810,4550.78,2880.24,4176.35,2780,MP,65000,Normal,7.06
50,1300,0.1,0.033,16,25,-40,135,0.22,0.122,3000,1950,400,UBY1H132MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4040,3822.28,2419.16,3507.78,2500,MP,65000,Normal,8.2
50,1300,0.1,0.038,18,20,-40,135,0.2,0.122,3000,1950,400,UBY1H132MHL3,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3130,2961.32,1874.25,2717.66,2110,MP,65000,Normal,9
50,1600,0.1,0.032,12.5,40,-40,135,0.2,0.099,3000,2400,400,UBY1H162MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5240,4957.6,3137.72,4549.7,3020,MP,80000,Normal,7.57
50,1800,0.1,0.029,16,30.5,-40,135,0.19,0.088,3000,2700,300,UBY1H182MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5130,4853.53,3071.86,4454.19,2960,MP,90000,Normal,9.6
50,1800,0.1,0.032,18,25,-40,135,0.19,0.088,3000,2700,300,UBY1H182MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4230,4002.04,2532.93,3672.75,2530,MP,90000,Normal,10.6
50,2200,0.12,0.025,16,35.5,-40,135,0.14,0.096,3000,3300,300,UBY1H222MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5480,5232.78,4120.3,4944.36,3160,MP,110000,Normal,11.8
50,2400,0.12,0.025,18,30.5,-40,135,0.16,0.088,3000,3600,300,UBY1H242MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5240,5003.61,3939.85,4727.82,3020,MP,120000,Normal,13.1
50,2700,0.12,0.022,16,40,-40,135,0.13,0.079,3000,4050,300,UBY1H272MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5930,5662.48,4458.65,5350.38,3420,MP,135000,Normal,14.1
50,3000,0.14,0.022,18,35.5,-40,135,0.12,0.088,3000,4500,250,UBY1H302MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5870,5605.19,4413.53,5296.24,3390,MP,150000,Normal,14.2
50,3600,0.14,0.02,18,40,-40,135,0.1,0.074,3000,5400,200,UBY1H362MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,6420,6130.38,4827.07,5792.48,3700,MP,180000,Normal,17.7
63,390,0.1,0.074,12.5,20,-40,135,0.56,0.34,2000,737,1000,UBY1J391MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1640,1541.6,820,1394,1420,MP,24570,Normal,3.43
63,560,0.1,0.054,12.5,25,-40,135,0.39,0.237,2000,1058,800,UBY1J561MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2520,2368.8,1260,2142,2050,MP,35280,Normal,4.56
63,750,0.1,0.042,12.5,30.5,-40,135,0.3,0.177,2000,1418,600,UBY1J751MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3110,2942.4,1862.28,2700.3,2630,MP,47250,Normal,6.01
63,750,0.1,0.053,16,20,-40,135,0.34,0.177,2000,1418,600,UBY1J751MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2140,2024.67,1281.44,1858.08,1910,MP,47250,Normal,6.6
63,950,0.1,0.038,12.5,35.5,-40,135,0.25,0.14,2000,1796,500,UBY1J951MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3760,3557.37,2251.5,3264.67,2970,MP,59850,Normal,7.06
63,950,0.1,0.048,18,20,-40,135,0.26,0.14,2000,1796,400,UBY1J951MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2350,2223.35,1407.19,2040.42,2100,MP,59850,Normal,9
