Voltage,Capacitance,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
2.5,680,0.007,8,11.5,-55,105,0.08,0.156,2000,425,2000,RR70E681MDN1,Uni-Polar,Radial Lead,Lo-ESR,5600,MP,Normal,0.93
2.5,820,0.007,8,11.5,-55,105,0.08,0.129,2000,512,2000,RR70E821MDN1,Uni-Polar,Radial Lead,Lo-ESR,5600,MP,Normal,0.93
2.5,1500,0.007,10,12.5,-55,105,0.08,0.088,2000,937,1600,RR70E152MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
4,560,0.007,8,11.5,-55,105,0.08,0.189,2000,224,2000,RR70G561MDN1,Uni-Polar,Radial Lead,Lo-ESR,5600,MP,Normal,0.93
4,820,0.007,10,12.5,-55,105,0.08,0.129,2000,328,1600,RR70G821MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
4,1200,0.007,10,12.5,-55,105,0.15,0.188,2000,960,1600,RR70G122MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
6.3,150,0.007,8,11.5,-55,105,0.07,0.619,2000,47,2000,RR70J151MDN1,Uni-Polar,Radial Lead,Lo-ESR,5600,MP,Normal,0.93
6.3,220,0.007,8,11.5,-55,105,0.07,0.422,2000,69,2000,RR70J221MDN1,Uni-Polar,Radial Lead,Lo-ESR,5600,MP,Normal,0.93
6.3,330,0.007,10,12.5,-55,105,0.07,0.281,2000,103,1600,RR70J331MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
6.3,390,0.007,8,11.5,-55,105,0.08,0.272,2000,245,2000,RR70J391MDN1,Uni-Polar,Radial Lead,Lo-ESR,5600,MP,Normal,0.93
6.3,680,0.007,10,12.5,-55,105,0.08,0.156,2000,428,1600,RR70J681MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
6.3,820,0.007,10,12.5,-55,105,0.12,0.194,2000,516,1600,RR70J821MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
6.3,1000,0.007,10,12.5,-55,105,0.12,0.186,2000,630,1600,RR70J102MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
10,100,0.007,8,11.5,-55,105,0.07,0.928,2000,50,2000,RR71A101MDN1,Uni-Polar,Radial Lead,Lo-ESR,5600,MP,Normal,0.93
10,220,0.007,10,12.5,-55,105,0.07,0.422,2000,110,1600,RR71A221MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
10,470,0.007,10,12.5,-55,105,0.08,0.226,2000,470,1600,RR71A471MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
10,680,0.007,10,12.5,-55,105,0.1,0.195,2000,1360,1600,RR71A681MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
16,68,0.007,8,11.5,-55,105,0.06,1.17,2000,54,2000,RR71C680MDN1,Uni-Polar,Radial Lead,Lo-ESR,5600,MP,Normal,0.93
16,100,0.007,8,11.5,-55,105,0.06,0.796,2000,80,2000,RR71C101MDN1,Uni-Polar,Radial Lead,Lo-ESR,5600,MP,Normal,0.93
16,150,0.007,10,12.5,-55,105,0.06,0.531,2000,120,1600,RR71C151MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
16,270,0.007,10,12.5,-55,105,0.08,0.393,2000,648,1600,RR71C271MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
16,330,0.007,10,12.5,-55,105,0.08,0.322,2000,792,1600,RR71C331MDN1,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
16,330,0.007,10,12.5,-55,105,0.08,0.322,5000,792,1600,RR71C331MDNASQ,Uni-Polar,Radial Lead,Lo-ESR,6100,MP,Normal,1.35
