Voltage,Capacitance,Case Size Diameter,Case Size Length,Endurance,Impedance,Lead Diameter,Lead Space,Lead Space Taping,Part Number,Ripple Current,Straight leads,Taping
80,47,8,11.5,6000,0.16,0.6,3.5,5.0,EEUFS1K470( ),490,200,1000
80,56,8,11.5,6000,0.16,0.6,3.5,5.0,EEUFS1K560( ),490,200,1000
80,68,8,15,8000,0.112,0.6,3.5,5.0,EEUFS1K680( ),590,200,1000
80,82,8,15,8000,0.112,0.6,3.5,5.0,EEUFS1K820( ),590,200,1000
80,100,8,20,9000,0.096,0.6,3.5,5.0,EEUFS1K101L( ),810,200,1000
80,120,8,20,9000,0.096,0.6,3.5,5.0,EEUFS1K121L( ),810,200,1000
80,150,10,16,8000,0.072,0.6,5.0,5.0,EEUFS1K151( ),930,200,500
80,180,10,20,10000,0.054,0.6,5.0,5.0,EEUFS1K181( ),1120,200,500
80,220,10,20,10000,0.054,0.6,5.0,5.0,EEUFS1K221( ),1120,200,500
80,270,10,25,10000,0.044,0.6,5.0,5.0,EEUFS1K271L( ),1200,200,500
80,390,12.5,25,10000,0.034,0.6,5.0,5.0,EEUFS1K391( ),1800,200,500
80,470,16,20,10000,0.032,0.8,7.5,7.5,EEUFS1K471S( ),1450,100,250
80,560,12.5,35,10000,0.023,0.8,5.0,--,EEUFS1K561L( ),2380,100,--
80,680,16,25,10000,0.025,0.8,7.5,7.5,EEUFS1K681( ),2500,100,250
100,27,8,11.5,6000,0.16,0.6,3.5,5.0,EEUFS2A270( ),490,200,1000
100,33,8,11.5,6000,0.16,0.6,3.5,5.0,EEUFS2A330( ),490,200,1000
100,39,8,15,8000,0.112,0.6,3.5,5.0,EEUFS2A390( ),590,200,1000
100,47,8,15,8000,0.112,0.6,3.5,5.0,EEUFS2A470L( ),590,200,1000
100,56,8,20,9000,0.096,0.6,3.5,5.0,EEUFS2A560L( ),810,200,1000
100,68,8,20,9000,0.096,0.6,3.5,5.0,EEUFS2A680L( ),810,200,1000
100,120,10,20,10000,0.054,0.6,5.0,5.0,EEUFS2A121( ),1120,200,500
100,150,10,25,10000,0.044,0.6,5.0,5.0,EEUFS2A151L( ),1200,200,500
100,180,12.5,25,10000,0.034,0.6,5.0,5.0,EEUFS2A181( ),1800,200,500
100,220,12.5,25,10000,0.034,0.6,5.0,5.0,EEUFS2A221( ),1800,200,500
100,270,16,20,10000,0.032,0.8,7.5,7.5,EEUFS2A271S( ),1450,100,250
100,330,12.5,35,10000,0.023,0.8,5.0,--,EEUFS2A331L( ),2380,100,--
100,390,16,25,10000,0.025,0.8,7.5,7.5,EEUFS2A391( ),2500,100,250
