Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Size Code
6.3,330,0.884,0.32,6.3,11.5,0.22,0.64,290,D11
6.3,470,0.621,0.17,8,12,0.22,0.34,555,E12
6.3,680,0.429,0.17,8,12,0.22,0.34,555,E12
6.3,1000,0.292,0.12,10,12.5,0.22,0.24,760,F12
6.3,2200,0.133,0.052,10,25,0.22,0.104,1440,F25
6.3,3300,0.088,0.042,12.5,20,0.22,0.084,1690,G20
6.3,4700,0.062,0.03,12.5,30,0.22,0.06,2310,G30
6.3,6800,0.043,0.028,16,25,0.22,0.056,2560,J25
6.3,10000,0.029,0.025,16,31.5,0.22,0.05,3010,J31
10,100,2.52,0.65,5,11.5,0.19,1.3,181,C11
10,220,1.145,0.32,6.3,11.5,0.19,0.64,290,D11
10,330,0.764,0.17,8,12,0.19,0.34,555,E12
10,470,0.536,0.17,8,12,0.19,0.34,555,E12
10,680,0.371,0.12,10,12.5,0.19,0.24,760,F12
10,1000,0.252,0.08,10,16,0.19,0.16,1050,F16
10,2200,0.115,0.042,12.5,20,0.19,0.084,1690,G20
10,3300,0.076,0.034,12.5,25,0.19,0.068,1950,G25
10,4700,0.054,0.028,16,25,0.19,0.056,2560,J25
10,6800,0.037,0.025,16,31.5,0.19,0.05,3010,J31
16,330,0.643,0.17,8,12,0.16,0.34,555,E12
16,470,0.452,0.12,10,12.5,0.16,0.24,760,F12
16,680,0.312,0.08,10,16,0.16,0.16,1050,F16
16,1000,0.212,0.062,10,20,0.16,0.124,1220,F20
16,2200,0.096,0.034,12.5,25,0.16,0.068,1950,G25
16,3300,0.064,0.028,16,25,0.16,0.056,2560,J25
16,4700,0.045,0.025,16,31.5,0.16,0.05,3010,J31
25,22,8.44,0.65,5,11.5,0.14,1.3,181,C11
25,33,5.627,0.32,6.3,11.5,0.14,0.64,290,D11
25,47,3.951,0.17,8,12,0.14,0.34,555,E12
25,100,1.857,0.12,10,12.5,0.14,0.24,760,F12
25,220,0.844,0.08,10,16,0.14,0.16,1050,F16
25,330,0.563,0.062,10,20,0.14,0.124,1220,F20
25,470,0.395,0.042,12.5,20,0.14,0.084,1690,G20
25,1000,0.186,0.034,12.5,25,0.14,0.068,1950,G25
25,2200,0.084,0.025,16,31.5,0.14,0.05,3010,J31
35,22,7.234,0.65,5,11.5,0.12,1.3,181,C11
35,33,4.823,0.32,6.3,11.5,0.12,0.64,290,D11
35,47,3.386,0.17,8,12,0.12,0.34,555,E12
35,100,1.592,0.12,10,12.5,0.12,0.24,760,F12
35,220,0.723,0.08,10,16,0.12,0.16,1050,F16
35,330,0.482,0.062,10,20,0.12,0.124,1220,F20
35,470,0.339,0.042,12.5,20,0.12,0.084,1690,G20
35,680,0.234,0.034,12.5,25,0.12,0.068,1950,G25
35,1000,0.159,0.025,16,31.5,0.12,0.05,3010,J31
50,22,6.029,0.95,5,11.5,0.1,1.9,170,C11
50,33,4.019,0.46,6.3,11.5,0.1,0.92,260,D11
50,47,2.822,0.46,6.3,11.5,0.1,0.92,260,D11
50,100,1.326,0.21,8,12,0.1,0.42,485,E12
50,150,0.884,0.19,10,12.5,0.1,0.38,615,F12
50,220,0.603,0.16,10,16,0.1,0.32,850,F16
50,330,0.402,0.085,10,20,0.1,0.17,1050,F20
50,470,0.282,0.06,12.5,20,0.1,0.12,1500,G20
50,680,0.195,0.045,12.5,25,0.1,0.09,1832,G25
50,1000,0.133,0.038,16,25,0.1,0.076,2240,J25
63,3.3,36.172,1.2,5,11.5,0.09,3.6,120,C11
63,4.7,25.397,1.2,5,11.5,0.09,3.6,120,C11
63,10,11.937,0.55,6.3,11.5,0.09,1.7,148,D11
63,22,5.426,0.55,6.3,11.5,0.09,1.7,148,D11
63,33,3.617,0.32,8,12,0.09,0.96,360,E12
63,47,2.54,0.23,10,12.5,0.09,0.69,448,F12
63,100,1.194,0.12,10,20,0.09,0.36,676,F20
63,220,0.543,0.075,12.5,20,0.09,0.23,979,G20
63,330,0.362,0.065,12.5,25,0.09,0.2,1180,G25
63,470,0.254,0.042,16,31.5,0.09,0.13,1890,J31
100,3.3,32.153,1.9,5,11.5,0.08,7.6,57,C11
100,4.7,22.575,1.9,5,11.5,0.08,7.6,57,C11
100,10,10.61,1.1,6.3,11.5,0.08,4.4,78,D11
100,22,4.823,0.53,8,12,0.08,2.1,275,E12
100,33,3.215,0.47,10,12.5,0.08,1.9,319,F12
100,47,2.258,0.32,10,16,0.08,1.3,424,F16
100,100,1.061,0.13,12.5,20,0.08,0.52,805,G20
100,220,0.482,0.081,16,25,0.08,0.32,1290,J25
100,330,0.322,0.081,16,25,0.08,0.32,1290,J25
100,470,0.226,0.059,16,31.5,0.08,0.23,1630,J31
