Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance,Leakage Current,Ripple Current,Surge Voltage
4,33,1406.674,4,7,35,30,336,3.0,5
4,47,987.664,4,7,35,35,476,3.0,5
4,100,464.202,5,7,35,55,107,4.0,5
4,220,211.001,6.3,7,35,95,227,8.8,5
6.3,22,1446.864,4,7,24,37,226,3.0,8
6.3,33,964.576,5,7,24,42,336,3.0,8
6.3,47,677.256,4,7,24,46,476,3.0,8
6.3,47,677.256,5,7,24,55,476,3.0,8
6.3,100,318.31,5,7,24,75,107,6.3,8
6.3,100,318.31,6.3,7,24,90,107,6.3,8
6.3,220,144.686,6.3,7,24,130,227,13.9,8
6.3,330,96.458,8,7,24,140,337,20.8,8
10,22,1205.72,4,7,20,31,226,3.0,13
10,22,1205.72,5,7,20,38,226,3.0,13
10,33,803.814,4,7,20,39,336,3.3,13
10,33,803.814,5,7,20,47,336,3.3,13
10,47,564.38,4,7,20,50,476,4.7,13
10,47,564.38,5,7,20,60,476,4.7,13
10,47,564.38,6.3,7,20,60,476,4.7,13
10,100,265.258,5,7,20,85,107,10.0,13
10,100,265.258,6.3,7,20,100,107,10.0,13
10,220,120.572,6.3,7,20,135,227,22.0,13
10,470,56.438,8,9,20,165,477,47.0,13
16,2.2,10248.622,4,7,17,7,225,3.0,20
16,3.3,6832.415,4,7,17,13,335,3.0,20
16,4.7,4797.228,4,7,17,19,475,3.0,20
16,10,2254.697,4,7,17,29,106,3.0,20
16,22,1024.862,4,7,17,36,226,3.5,20
16,22,1024.862,5,7,17,44,226,3.5,20
16,33,683.241,4,7,17,50,336,5.3,20
16,33,683.241,5,7,17,57,336,5.3,20
16,47,479.723,5,7,17,75,476,7.5,20
16,47,479.723,6.3,7,17,77,476,7.5,20
16,68,331.573,5,7,17,84,686,10.9,20
16,100,225.47,5,7,17,94,107,16.0,20
16,100,225.47,6.3,7,17,110,107,16.0,20
16,150,150.313,6.3,7,17,120,157,24.0,20
16,220,102.486,8,7,17,140,227,35.2,20
16,220,102.486,8,9,17,140,227,35.2,20
16,330,68.324,8,9,17,155,337,52.8,20
16,470,47.972,8,9,17,165,477,75.2,20
25,4.7,4232.848,4,7,15,24,475,3.0,30
25,10,1989.438,4,7,15,33,106,3.0,30
25,10,1989.438,5,7,15,35,106,3.0,30
25,10,1989.438,6.3,7,15,35,106,3.0,30
25,22,904.29,4,7,15,43,226,5.5,30
25,22,904.29,5,7,15,51,226,5.5,30
25,22,904.29,6.3,7,15,53,226,5.5,30
25,33,602.86,5,7,15,55,336,8.3,30
25,33,602.86,6.3,7,15,65,336,8.3,30
25,47,423.285,5,7,15,67,476,11.8,30
25,47,423.285,6.3,7,15,79,476,11.8,30
25,100,198.944,6.3,7,15,120,107,25.0,30
25,100,198.944,8,7,15,120,107,25.0,30
35,4.7,3386.278,4,7,12,24,475,3.0,44
35,4.7,3386.278,5,7,12,24,475,3.0,44
35,10,1591.551,4,7,12,34,106,3.5,44
35,10,1591.551,5,7,12,36,106,3.5,44
35,22,723.432,5,7,12,48,226,7.7,44
35,22,723.432,6.3,7,12,57,226,7.7,44
35,33,482.288,6.3,7,12,70,336,11.6,44
35,47,338.628,6.3,7,12,81,476,16.5,44
50,1,13262.923,4,7,10,10,105,3.0,63
50,2.2,6028.601,4,7,10,19,225,3.0,63
50,3.3,4019.068,4,7,10,24,335,3.0,63
50,4.7,2821.899,4,7,10,29,475,3.0,63
50,4.7,2821.899,5,7,10,31,475,3.0,63
50,10,1326.292,4,7,10,37,106,5.0,63
50,10,1326.292,5,7,10,45,106,5.0,63
50,10,1326.292,6.3,7,10,45,106,5.0,63
50,22,602.86,6.3,7,10,65,226,11.0,63
63,1,10610.339,4,7,8,13,105,3.0,79
63,2.2,4822.881,4,7,8,21,225,3.0,79
63,3.3,3215.254,4,7,8,26,335,3.0,79
63,4.7,2257.519,4,7,8,26,475,3.0,79
63,4.7,2257.519,6.3,7,8,33,475,3.0,79
63,10,1061.034,5,7,8,42,106,6.3,79
63,10,1061.034,6.3,7,8,50,106,6.3,79
