Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
16,1500,,0.042,16,15,,0.12,EKY-160E□□152ML15S,1940,1835.45,1161.68,1684.43,24000
16,2200,,0.027,12.5,25,,0.089,EKY-160E□□222MK25S,2230,2129.4,1676.69,2012.03,35200
16,2200,,0.043,18,15,,0.11,EKY-160E□□222MM15S,2210,2110.3,1661.65,1993.98,35200
16,2700,,0.024,12.5,30,,0.078,EKY-160E□□272MK30S,2650,2530.45,1992.48,2390.98,43200
16,2700,,0.027,16,20,,0.078,EKY-160E□□272ML20S,2530,2415.86,1902.26,2282.71,43200
16,3300,,0.02,12.5,35,,0.065,EKY-160E□□332MK35S,2880,2750.08,2165.41,2598.5,52800
16,3900,,0.017,12.5,40,,0.056,EKY-160E□□392MK40S,3350,3198.87,2518.8,3022.56,62400
16,3900,,0.021,16,25,,0.06,EKY-160E□□392ML25S,2930,2797.82,2203.01,2643.61,62400
16,3900,,0.026,18,20,,0.067,EKY-160E□□392MM20S,2860,2730.98,2150.38,2580.45,62400
16,4700,,0.017,16,31.5,,0.05,EKY-160E□□472MLN3S,3450,3362.29,2923.73,3274.58,75200
16,4700,,0.019,18,25,,0.049,EKY-160E□□472MM25S,3140,3060.17,2661.02,2980.34,75200
16,5600,,0.015,16,35.5,,0.044,EKY-160E□□562MLP1S,3610,3518.22,3059.32,3426.44,89600
16,5600,,0.015,18,31.5,,0.04,EKY-160E□□562MMN3S,4170,4063.98,3533.9,3957.97,89600
16,6800,,0.013,16,40,,0.038,EKY-160E□□682ML40S,4080,3976.27,3457.63,3872.54,108800
16,8200,,0.014,18,35.5,,0.038,EKY-160E□□822MMP1S,4220,4112.71,3576.27,4005.42,131200
16,10000,,0.012,18,40,,0.032,EKY-160E□□103MM40S,4280,4171.19,3627.12,4062.37,160000
25,330,,0.08,10,12.5,,0.32,EKY-250E□□331MJC5S,865,813.1,432.5,735.25,8250
25,470,,0.06,10,16,,0.24,EKY-250E□□471MJ16S,1210,1137.4,605,1028.5,11750
25,680,,0.046,10,20,,0.18,EKY-250E□□681MJ20S,1400,1324.55,838.32,1215.57,17000
25,680,,0.049,12.5,15,,0.16,EKY-250E□□681MK15S,1450,1371.86,868.26,1258.98,17000
25,820,,0.042,10,25,,0.17,EKY-250E□□821MJ25S,1650,1561.08,988.02,1432.63,20500
25,1000,,0.031,10,30,,0.12,EKY-250E□□102MJ30S,1910,1807.07,1143.71,1658.38,25000
25,1000,,0.035,12.5,20,,0.12,EKY-250E□□102MK20S,1900,1797.6,1137.72,1649.7,25000
25,1000,,0.042,16,15,,0.12,EKY-250E□□102ML15S,1940,1835.45,1161.68,1684.43,25000
25,1200,,0.043,18,15,,0.11,EKY-250E□□122MM15S,2210,2090.9,1323.35,1918.86,30000
25,1500,,0.027,12.5,25,,0.089,EKY-250E□□152MK25S,2230,2109.82,1335.33,1936.23,37500
25,1800,,0.024,12.5,30,,0.078,EKY-250E□□182MK30S,2650,2507.19,1586.83,2300.9,45000
25,1800,,0.027,16,20,,0.078,EKY-250E□□182ML20S,2530,2393.65,1514.97,2196.71,45000
25,2200,,0.02,12.5,35,,0.065,EKY-250E□□222MK35S,2880,2750.08,2165.41,2598.5,55000
25,2200,,0.026,18,20,,0.067,EKY-250E□□222MM20S,2860,2730.98,2150.38,2580.45,55000
25,2700,,0.017,12.5,40,,0.056,EKY-250E□□272MK40S,3350,3198.87,2518.8,3022.56,67500
25,2700,,0.021,16,25,,0.06,EKY-250E□□272ML25S,2930,2797.82,2203.01,2643.61,67500
