Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
16,910,,,0.14,10,12.5,,,EKYC160E□□911MJC5S,1120,1059.64,670.66,972.46,14560
16,1300,,,0.1,10,16,,,EKYC160E□□132MJ16S,1570,1485.39,940.12,1363.17,20800
16,2000,,,0.065,10,20,,,EKYC160E□□202MJ20S,1940,1835.45,1161.68,1684.43,32000
16,3300,,,0.05,12.5,20,,,EKYC160E□□332MK20S,2150,2053.01,1616.54,1939.85,52800
16,4700,,,0.037,12.5,25,,,EKYC160E□□472MK25S,2820,2748.31,2389.83,2676.61,75200
16,5600,,,0.029,12.5,30,,,EKYC160E□□562MK30S,3120,3040.68,2644.07,2961.36,89600
16,5600,,,0.038,16,20,,,EKYC160E□□562ML20S,2530,2465.68,2144.07,2401.36,89600
16,6800,,,0.037,18,20,,,EKYC160E□□682MM20S,2700,2631.36,2288.14,2562.71,108800
16,7500,,,0.031,16,25,,,EKYC160E□□752ML25S,3240,3157.63,2745.76,3075.25,120000
16,9100,,,0.025,16,30,,,EKYC160E□□912ML30S,3580,3488.98,3033.9,3397.97,145600
16,10000,,,0.03,18,25,,,EKYC160E□□103MM25S,3350,3264.83,2838.98,3179.66,160000
16,12000,,,0.024,18,30,,,EKYC160E□□123MM30S,3710,3615.68,3144.07,3521.36,192000
25,560,,,0.14,10,12.5,,,EKYC250E□□561MJC5S,1120,1052.8,560,952,14000
25,820,,,0.1,10,16,,,EKYC250E□□821MJ16S,1570,1485.39,940.12,1363.17,20500
25,1300,,,0.065,10,20,,,EKYC250E□□132MJ20S,1940,1835.45,1161.68,1684.43,32500
25,2000,,,0.05,12.5,20,,,EKYC250E□□202MK20S,2150,2034.13,1287.43,1866.77,50000
25,3000,,,0.037,12.5,25,,,EKYC250E□□302MK25S,2820,2692.78,2120.3,2544.36,75000
25,3600,,,0.038,16,20,,,EKYC250E□□362ML20S,2530,2415.86,1902.26,2282.71,90000
25,3900,,,0.029,12.5,30,,,EKYC250E□□392MK30S,3120,2979.25,2345.86,2815.04,97500
25,4700,,,0.037,18,20,,,EKYC250E□□472MM20S,2700,2631.36,2288.14,2562.71,117500
25,5100,,,0.031,16,25,,,EKYC250E□□512ML25S,3240,3157.63,2745.76,3075.25,127500
25,6200,,,0.025,16,30,,,EKYC250E□□622ML30S,3580,3488.98,3033.9,3397.97,155000
25,6200,,,0.03,18,25,,,EKYC250E□□622MM25S,3350,3264.83,2838.98,3179.66,155000
25,8200,,,0.024,18,30,,,EKYC250E□□822MM30S,3710,3615.68,3144.07,3521.36,205000
35,390,,,0.14,10,12.5,,,EKYC350E□□391MJC5S,1120,1052.8,560,952,13650
35,560,,,0.1,10,16,,,EKYC350E□□561MJ16S,1570,1475.8,785,1334.5,19600
35,820,,,0.065,10,20,,,EKYC350E□□821MJ20S,1940,1835.45,1161.68,1684.43,28700
35,1300,,,0.05,12.5,20,,,EKYC350E□□132MK20S,2150,2034.13,1287.43,1866.77,45500
35,1800,,,0.037,12.5,25,,,EKYC350E□□182MK25S,2820,2668.02,1688.62,2448.5,63000
35,2200,,,0.038,16,20,,,EKYC350E□□222ML20S,2530,2415.86,1902.26,2282.71,77000
35,2400,,,0.029,12.5,30,,,EKYC350E□□242MK30S,3120,2979.25,2345.86,2815.04,84000
35,3000,,,0.037,18,20,,,EKYC350E□□302MM20S,2700,2578.2,2030.08,2436.09,105000
35,3300,,,0.031,16,25,,,EKYC350E□□332ML25S,3240,3093.83,2436.09,2923.31,115500
35,3900,,,0.025,16,30,,,EKYC350E□□392ML30S,3580,3418.5,2691.73,3230.08,136500
35,4300,,,0.03,18,25,,,EKYC350E□□432MM25S,3350,3198.87,2518.8,3022.56,150500
35,5100,,,0.024,18,30,,,EKYC350E□□512MM30S,3710,3615.68,3144.07,3521.36,178500
50,180,,,0.14,10,12.5,,,EKYC500E□□181MJC5S,1120,1043.84,448,918.4,9000
50,300,,,0.1,10,16,,,EKYC500E□□301MJ16S,1570,1475.8,785,1334.5,15000
50,430,,,0.065,10,20,,,EKYC500E□□431MJ20S,1940,1823.6,970,1649,21500
50,680,,,0.05,12.5,20,,,EKYC500E□□681MK20S,2150,2034.13,1287.43,1866.77,34000
50,910,,,0.037,12.5,25,,,EKYC500E□□911MK25S,2820,2668.02,1688.62,2448.5,45500
50,1200,,,0.038,16,20,,,EKYC500E□□122ML20S,2530,2393.65,1514.97,2196.71,60000
50,1300,,,0.029,12.5,30,,,EKYC500E□□132MK30S,3120,2951.86,1868.26,2708.98,65000
50,1500,,,0.037,18,20,,,EKYC500E□□152MM20S,2700,2554.49,1616.77,2344.31,75000
50,1600,,,0.031,16,25,,,EKYC500E□□162ML25S,3240,3065.39,1940.12,2813.17,80000
50,2000,,,0.025,16,30,,,EKYC500E□□202ML30S,3580,3387.07,2143.71,3108.38,100000
50,2200,,,0.03,18,25,,,EKYC500E□□222MM25S,3350,3198.87,2518.8,3022.56,110000
50,2700,,,0.024,18,30,,,EKYC500E□□272MM30S,3710,3542.63,2789.47,3347.37,135000
63,150,,,0.14,10,12.5,,,EKYC630E□□151MJC5S,1120,1008,448,842.24,9450
63,220,,,0.1,10,16,,,EKYC630E□□221MJ16S,1570,1463.24,628,1287.4,13860
63,330,,,0.065,10,20,,,EKYC630E□□331MJ20S,1940,1823.6,970,1649,20790
63,470,,,0.05,12.5,20,,,EKYC630E□□471MK20S,2150,2021,1075,1827.5,29610
63,680,,,0.037,12.5,25,,,EKYC630E□□681MK25S,2820,2668.02,1688.62,2448.5,42840
63,820,,,0.038,16,20,,,EKYC630E□□821ML20S,2530,2393.65,1514.97,2196.71,51660
63,910,,,0.029,12.5,30,,,EKYC630E□□911MK30S,3120,2951.86,1868.26,2708.98,57330
63,1000,,,0.025,12.5,35,,,EKYC630E□□102MK35S,3300,3122.16,1976.05,2865.27,63000
63,1200,,,0.031,16,25,,,EKYC630E□□122ML25S,3240,3065.39,1940.12,2813.17,75600
