Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Leakage Current,Part Number,Ripple Current 105°C@100kHz,Surge Voltage
6.3,150,22,5,11,194.523,9.5,ESW157M6R3AC3(1),210,8
6.3,330,22,6.3,11,88.419,20.8,ESW337M6R3AE3(1),340,8
6.3,470,22,6.3,11,62.082,29.6,ESW477M6R3AE3(1),510,8
6.3,680,22,8,11,42.909,42.8,ESW687M6R3AG3(1),640,8
6.3,820,22,10,12.5,35.583,51.7,ESW827M6R3AH9(1),865,8
6.3,1000,22,8,15,29.205,63,ESW108M6R3AG4(1),840,8
6.3,1200,22,8,20,24.337,75.6,ESW128M6R3AG6(1),1050,8
6.3,1200,22,10,16,24.337,75.6,ESW128M6R3AH8(1),1210,8
6.3,1500,22,8,20,19.47,94.5,ESW158M6R3AG6(1),1050,8
6.3,1500,22,10,16,19.47,94.5,ESW158M6R3AH8(1),1210,8
6.3,1500,22,10,20,19.47,94.5,ESW158M6R3AH4(1),1400,8
6.3,1800,22,13,16,16.225,113.4,ESW188M6R3AL2(1),1450,8
6.3,2200,22,10,20,13.287,138.6,ESW228M6R3AH4(1),1400,8
6.3,2200,22,10,25,13.287,138.6,ESW228M6R3AH5(1),1650,8
6.3,2700,22,10,30,10.826,170.1,ESW278M6R3AH6(1),1910,8
6.3,2700,22,16,16,10.826,170.1,ESW278M6R3AM8(1),1940,8
6.3,3300,22,10,25,8.866,207.9,ESW338M6R3AH5(1),1650,8
6.3,3300,22,13,20,8.866,207.9,ESW338M6R3AL3(1),1900,8
6.3,3900,22,13,25,7.502,245.7,ESW398M6R3AL4(1),2230,8
6.3,3900,22,18,16,7.502,245.7,ESW398M6R3AN6(1),2210,8
6.3,4700,22,13,30,6.231,296.1,ESW478M6R3AL8(1),2650,8
6.3,5600,22,13,35,5.234,352.8,ESW568M6R3AL6(1),2880,8
6.3,5600,22,16,20,5.234,352.8,ESW568M6R3AM5(1),2530,8
6.3,6800,22,13,40,4.314,428.4,ESW688M6R3AL7(1),3350,8
6.3,6800,22,16,25,4.314,428.4,ESW688M6R3AM7(1),2930,8
6.3,6800,22,18,20,4.314,428.4,ESW688M6R3AN4(1),2860,8
6.3,8200,22,16,32,3.584,516.6,ESW828M6R3AM2(1),3450,8
6.3,10000,22,16,36,2.944,630,ESW109M6R3AM3(1),3610,8
6.3,10000,22,18,25,2.944,630,ESW109M6R3AN5(1),3140,8
6.3,12000,22,18,32,2.458,756,ESW129M6R3AN1(1),4170,8
6.3,15000,22,18,36,1.972,945,ESW159M6R3AN2(1),4220,8
10,100,19,5,11,251.996,10,ESW107M010AC3(1),210,13
10,220,19,6.3,11,114.543,22,ESW227M010AE3(1),340,13
10,470,19,8,11,53.616,47,ESW477M010AG3(1),640,13
10,680,19,8,15,37.058,68,ESW687M010AG4(1),840,13
10,820,19,10,12.5,30.731,82,ESW827M010AH9(1),865,13
10,1000,19,8,20,25.226,100,ESW108M010AG6(1),1050,13
10,1000,19,10,16,25.226,100,ESW108M010AH8(1),1210,13
10,1200,19,10,20,21.022,120,ESW128M010AH4(1),1400,13
10,1500,19,10,25,16.817,150,ESW158M010AH5(1),1650,13
10,1500,19,13,16,16.817,150,ESW158M010AL2(1),1450,13
10,2200,19,10,30,11.478,220,ESW228M010AH6(1),1910,13
10,2200,19,13,20,11.478,220,ESW228M010AL3(1),1900,13
10,2200,19,16,16,11.478,220,ESW228M010AM8(1),1940,13
10,2700,19,18,16,9.353,270,ESW278M010AN6(1),2210,13
10,3300,19,10,30,7.66,330,ESW338M010AH6(1),1910,13
10,3300,19,13,25,7.66,330,ESW338M010AL4(1),2230,13
10,3900,19,13,30,6.482,390,ESW398M010AL8(1),2650,13
10,3900,19,16,20,6.482,390,ESW398M010AM5(1),2530,13
10,4700,19,13,35,5.384,470,ESW478M010AL6(1),2880,13
10,5600,19,13,40,4.524,560,ESW568M010AL7(1),3350,13
10,5600,19,16,25,4.524,560,ESW568M010AM7(1),2930,13
10,5600,19,18,20,4.524,560,ESW568M010AN4(1),2860,13
10,6800,19,16,32,3.729,680,ESW688M010AM2(1),2450,13
10,6800,19,18,25,3.729,680,ESW688M010AN5(1),3140,13
10,8200,19,16,36,3.099,820,ESW828M010AM3(1),3610,13
10,8200,19,18,32,3.099,820,ESW828M010AN1(1),4170,13
10,10000,19,16,40,2.546,1000,ESW109M010AM4(1),4080,13
10,10000,19,18,36,2.546,1000,ESW109M010AN2(1),4220,13
10,15000,19,18,40,1.706,1500,ESW159M010AN3(1),4280,13
16,56,16,5,11,378.941,9,ESW566M016AC3(1),210,20
16,100,16,6.3,11,212.207,16,ESW107M016AE3(1),250,20
16,120,16,6.3,11,176.839,19.2,ESW127M016AE3(1),340,20
16,220,16,6.3,11,96.458,35.2,ESW227M016AE3(1),469,20
16,220,16,8,11,96.458,35.2,ESW227M016AG3(1),582,20
16,330,16,8,11,64.305,52.8,ESW337M016AG3(1),640,20
16,470,16,8,15,45.15,75.2,ESW477M016AG4(1),840,20
16,470,16,8,20,45.15,75.2,ESW477M016AG6(1),950,20
16,470,16,10,12.5,45.15,75.2,ESW477M016AH9(1),865,20
16,470,16,10,16,45.15,75.2,ESW477M016AH8(1),1210,20
16,680,16,8,20,31.207,108.8,ESW687M016AG6(1),1050,20
16,680,16,10,16,31.207,108.8,ESW687M016AH8(1),1210,20
16,1000,16,8,20,21.247,160,ESW108M016AG6(1),1050,20
16,1000,16,10,16,21.247,160,ESW108M016AH8(1),1210,20
16,1000,16,10,20,21.247,160,ESW108M016AH4(1),1400,20
16,1000,16,13,16,21.247,160,ESW108M016AL2(1),1450,20
16,1200,16,10,25,17.706,192,ESW128M016AH5(1),1650,20
16,1500,16,10,30,14.165,240,ESW158M016AH6(1),1910,20
16,1500,16,13,20,14.165,240,ESW158M016AL3(1),1900,20
16,1500,16,16,16,14.165,240,ESW158M016AM8(1),1940,20
16,2200,16,13,25,9.67,352,ESW228M016AL4(1),2230,20
16,2200,16,18,16,9.67,352,ESW228M016AN6(1),2210,20
16,2700,16,13,30,7.879,432,ESW278M016AL8(1),2650,20
16,2700,16,16,20,7.879,432,ESW278M016AM5(1),2530,20
16,3300,16,13,35,6.455,528,ESW338M016AL6(1),2880,20
16,3900,16,13,40,5.462,624,ESW398M016AL7(1),3350,20
16,3900,16,16,25,5.462,624,ESW398M016AM7(1),2930,20
16,3900,16,18,20,5.462,624,ESW398M016AN4(1),2860,20
16,4700,16,16,32,4.538,752,ESW478M016AM2(1),3450,20
16,4700,16,18,25,4.538,752,ESW478M016AN5(1),3140,20
16,5600,16,16,36,3.813,896,ESW568M016AM3(1),3610,20
16,5600,16,18,32,3.813,896,ESW568M016AN1(1),4170,20
16,6800,16,16,40,3.144,1088,ESW688M016AM4(1),4080,20
16,8200,16,18,36,2.614,1312,ESW828M016AN2(1),4220,20
16,10000,16,18,40,2.149,1600,ESW109M016AN3(1),4280,20
25,47,14,5,11,395.066,11.8,ESW476M025AC3(1),210,32
25,100,14,6.3,11,185.681,25,ESW107M025AE3(1),340,32
25,150,14,8,11,123.787,37.5,ESW157M025AG3(1),640,32
25,220,14,8,11,84.4,55,ESW227M025AG3(1),640,32
25,330,14,8,15,56.267,82.5,ESW337M025AG4(1),840,32
25,330,14,10,12.5,56.267,82.5,ESW337M025AH9(1),865,32
25,470,14,8,20,39.507,117.5,ESW477M025AG6(1),1050,32
25,470,14,10,12.5,39.507,117.5,ESW477M025AH9(1),1050,32
25,470,14,10,16,39.507,117.5,ESW477M025AH8(1),1210,32
25,680,14,10,20,27.306,170,ESW687M025AH4(1),1400,32
25,680,14,13,16,27.306,170,ESW687M025AL2(1),1450,32
25,820,14,10,25,22.644,205,ESW827M025AH5(1),1650,32
25,1000,14,10,30,18.595,250,ESW108M025AH6(1),1910,32
25,1000,14,13,20,18.595,250,ESW108M025AL3(1),1900,32
25,1000,14,16,16,18.595,250,ESW108M025AM8(1),1940,32
25,1200,14,18,16,15.496,300,ESW128M025AN6(1),2210,32
25,1500,14,13,20,12.396,375,ESW158M025AL3(1),1900,32
25,1500,14,13,25,12.396,375,ESW158M025AL4(1),2230,32
25,1800,14,13,30,10.33,450,ESW188M025AL8(1),2650,32
25,1800,14,16,20,10.33,450,ESW188M025AM5(1),2530,32
25,2200,14,13,35,8.464,550,ESW228M025AL6(1),2880,32
25,2200,14,18,20,8.464,550,ESW228M025AN4(1),2860,32
25,2700,14,13,40,6.897,675,ESW278M025AL7(1),3350,32
25,2700,14,16,25,6.897,675,ESW278M025AM7(1),2930,32
25,3300,14,16,32,5.651,825,ESW338M025AM2(1),3450,32
25,3300,14,18,25,5.651,825,ESW338M025AN5(1),3140,32
25,3900,14,18,32,4.781,975,ESW398M025AN1(1),4170,32
25,4700,14,18,36,3.973,1175,ESW478M025AN2(1),4220,32
25,6800,14,18,40,2.754,1700,ESW688M025AN3(1),4280,32
35,4.7,12,5,11,3386.278,3,ESW475M035AC3(1),95,44
35,10,12,5,11,1591.551,3.5,ESW106M035AC3(1),130,44
35,33,12,5,11,482.288,11.6,ESW336M035AC3(1),210,44
35,47,12,6.3,11,338.628,16.5,ESW476M035AE3(1),275,44
35,56,12,6.3,11,284.205,19.6,ESW566M035AE3(1),340,44
35,68,12,6.3,15,234.052,23.8,ESW686M035AE4(1),500,44
35,82,12,6.3,15,194.092,28.7,ESW826M035AE4(1),540,44
35,100,12,8,11,159.155,35,ESW107M035AG3(1),580,44
35,150,12,8,11,106.103,52.5,ESW157M035AG3(1),640,44
35,220,12,8,15,72.343,77,ESW227M035AG4(1),840,44
35,220,12,10,12.5,72.343,77,ESW227M035AH9(1),865,44
35,270,12,8,20,58.946,94.5,ESW277M035AG6(1),1050,44
35,330,12,10,16,48.229,115.5,ESW337M035AH8(1),1210,44
35,330,12,10,20,48.229,115.5,ESW337M035AH4(1),1400,44
35,470,12,10,20,33.863,164.5,ESW477M035AH4(1),1400,44
35,470,12,13,16,33.863,164.5,ESW477M035AL2(1),1450,44
35,560,12,10,25,28.421,196,ESW567M035AH5(1),1650,44
35,680,12,10,30,23.405,238,ESW687M035AH6(1),1910,44
35,680,12,13,20,23.405,238,ESW687M035AL3(1),1900,44
35,680,12,16,16,23.405,238,ESW687M035AM8(1),1940,44
35,820,12,13,20,19.409,287,ESW827M035AL3(1),1900,44
35,1000,12,13,25,15.942,350,ESW108M035AL4(1),2230,44
35,1000,12,18,16,15.942,350,ESW108M035AN6(1),2210,44
35,1200,12,13,30,13.285,420,ESW128M035AL8(1),2650,44
35,1200,12,16,20,13.285,420,ESW128M035AM5(1),2530,44
35,1500,12,13,35,10.628,525,ESW158M035AL6(1),2880,44
35,1800,12,13,40,8.857,630,ESW188M035AL7(1),3350,44
35,1800,12,16,25,8.857,630,ESW188M035AM7(1),2930,44
35,1800,12,18,20,8.857,630,ESW188M035AN4(1),2860,44
35,2200,12,16,32,7.258,770,ESW228M035AM2(1),3450,44
35,2200,12,18,25,7.258,770,ESW228M035AN5(1),3140,44
35,2700,12,16,36,5.914,945,ESW278M035AM3(1),3610,44
35,2700,12,18,32,5.914,945,ESW278M035AN1(1),4170,44
35,3300,12,16,40,4.847,1155,ESW338M035AM4(1),4080,44
35,3300,12,18,36,4.847,1155,ESW338M035AN2(1),4220,44
35,4700,12,18,40,3.409,1645,ESW478M035AN3(1),4280,44
50,2.2,10,5,11,6028.601,3,ESW225M050AC3(1),85,63
50,4.7,10,5,11,2821.899,3,ESW475M050AC3(1),100,63
50,10,10,5,11,1326.292,5,ESW106M050AC3(1),135,63
50,22,10,5,11,602.86,11,ESW226M050AC3(1),180,63
50,33,10,6.3,11,401.907,16.5,ESW336M050AE3(1),245,63
50,47,10,6.3,11,282.19,23.5,ESW476M050AE3(1),300,63
50,56,10,6.3,15,236.838,28,ESW566M050AE4(1),295,63
50,100,10,8,11,132.629,50,ESW107M050AG3(1),555,63
50,120,10,8,15,110.524,60,ESW127M050AG4(1),730,63
50,150,10,10,12.5,88.419,75,ESW157M050AH9(1),760,63
50,180,10,8,20,73.683,90,ESW187M050AG6(1),910,63
50,220,10,10,16,60.286,110,ESW227M050AH8(1),1050,63
50,270,10,10,20,49.122,135,ESW277M050AH4(1),1220,63
50,270,10,13,16,49.122,135,ESW277M050AL2(1),1260,63
50,330,10,10,20,40.191,165,ESW337M050AH4(1),1400,63
50,330,10,10,25,40.191,165,ESW337M050AH5(1),1440,63
50,470,10,10,30,28.219,235,ESW477M050AH6(1),1690,63
50,470,10,13,20,28.219,235,ESW477M050AL3(1),1660,63
50,470,10,16,16,28.219,235,ESW477M050AM8(1),1690,63
50,560,10,13,25,23.684,280,ESW567M050AL4(1),1950,63
50,560,10,18,16,23.684,280,ESW567M050AN6(1),1930,63
50,680,10,13,30,19.504,340,ESW687M050AL8(1),2310,63
50,820,10,13,35,16.174,410,ESW827M050AL6(1),2510,63
50,820,10,16,20,16.174,410,ESW827M050AM5(1),2210,63
50,1000,10,13,40,13.289,500,ESW108M050AL7(1),2920,63
50,1000,10,16,25,13.289,500,ESW108M050AM7(1),2555,63
50,1000,10,18,20,13.289,500,ESW108M050AN4(1),2490,63
50,1200,10,16,32,11.075,600,ESW128M050AM2(1),3010,63
50,1200,10,18,25,11.075,600,ESW128M050AN5(1),2740,63
50,1500,10,16,36,8.86,750,ESW158M050AM3(1),3150,63
50,1800,10,16,40,7.383,900,ESW188M050AM4(1),3710,63
50,1800,10,18,32,7.383,900,ESW188M050AN1(1),3635,63
50,2200,10,18,36,6.053,1100,ESW228M050AN2(1),3680,63
63,15,9,5,11,795.775,9.5,ESW156M063AC3(1),55,79
63,33,9,6.3,11,361.716,20.8,ESW336M063AE3(1),115,79
63,56,9,8,12,213.154,35.3,ESW566M063AG9(1),232,79
63,82,9,8,15,145.569,51.7,ESW826M063AG4(1),300,79
63,82,9,10,12.5,145.569,51.7,ESW826M063AH9(1),288,79
63,120,9,8,20,99.472,75.6,ESW127M063AG6(1),362,79
63,120,9,10,16,99.472,75.6,ESW127M063AH8(1),357,79
63,180,9,10,20,66.315,113.4,ESW187M063AH4(1),466,79
63,180,9,13,16,66.315,113.4,ESW187M063AL2(1),466,79
63,220,9,10,25,54.257,138.6,ESW227M063AH5(1),531,79
63,270,9,10,30,44.21,170.1,ESW277M063AH6(1),663,79
63,270,9,13,20,44.21,170.1,ESW277M063AL3(1),690,79
63,270,9,16,16,44.21,170.1,ESW277M063AM8(1),795,79
63,330,9,13,25,36.172,207.9,ESW337M063AL4(1),784,79
63,390,9,18,16,30.607,245.7,ESW397M063AN6(1),920,79
63,470,9,13,30,25.397,296.1,ESW477M063AL8(1),905,79
63,470,9,16,20,25.397,296.1,ESW477M063AM5(1),1040,79
63,560,9,13,35,21.315,352.8,ESW567M063AL6(1),1050,79
63,560,9,16,25,21.315,352.8,ESW567M063AM7(1),1250,79
63,680,9,13,40,17.554,428.4,ESW687M063AL7(1),1180,79
63,680,9,18,20,17.554,428.4,ESW687M063AN4(1),1240,79
63,820,9,16,32,14.557,516.6,ESW827M063AM2(1),1570,79
63,820,9,18,25,14.557,516.6,ESW827M063AN5(1),1490,79
63,1000,9,16,36,11.963,630,ESW108M063AM3(1),1790,79
63,1000,9,18,32,11.963,630,ESW108M063AN1(1),1630,79
63,1200,9,18,32,9.969,756,ESW128M063AN1(1),2020,79
100,6.8,8,5,11,1560.344,6.8,ESW685M100AC3(1),55,125
100,15,8,6.3,11,707.356,15,ESW156M100AE3(1),115,125
100,27,8,8,12,392.976,27,ESW276M100AG9(1),232,125
100,39,8,8,15,272.06,39,ESW396M100AG4(1),300,125
100,47,8,10,12.5,225.752,47,ESW476M100AH9(1),288,125
100,56,8,8,20,189.47,56,ESW566M100AG6(1),362,125
100,68,8,10,16,156.034,68,ESW686M100AH8(1),357,125
100,82,8,10,20,129.394,82,ESW826M100AH4(1),466,125
100,82,8,13,16,129.394,82,ESW826M100AL2(1),466,125
100,100,8,10,25,106.103,100,ESW107M100AH5(1),531,125
