Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping
50,2200,0.084,16,31.5,0.14,2000,0.8,7.5,,,ECA1HHG222,1470,100,
50,3300,0.064,18,35.5,0.16,2000,0.8,7.5,,,ECA1HHG332,1770,50,
63,10,13.263,5,11,0.1,1000,0.5,2.0,5.0,2.5,ECA1JHG100( ),46,200,2000
63,22,6.029,5,11,0.1,1000,0.5,2.0,5.0,2.5,ECA1JHG220( ),71,200,2000
63,33,4.019,6.3,11.2,0.1,1000,0.5,2.5,5.0,2.5,ECA1JHG330( ),100,200,2000
63,47,2.822,6.3,11.2,0.1,1000,0.5,2.5,5.0,2.5,ECA1JHG470( ),120,200,2000
63,100,1.326,10,12.5,0.1,2000,0.6,5.0,5.0,,ECA1JHG101( ),215,200,500
63,220,0.603,10,16,0.1,2000,0.6,5.0,5.0,,ECA1JHG221( ),335,200,500
63,330,0.402,10,20,0.1,2000,0.6,5.0,5.0,,ECA1JHG331( ),510,200,500
63,470,0.282,12.5,20,0.1,2000,0.6,5.0,5.0,,ECA1JHG471( ),640,200,500
63,1000,0.133,16,25,0.1,2000,0.8,7.5,7.5,,ECA1JHG102( ),930,100,250
63,2200,0.072,18,35.5,0.12,2000,0.8,7.5,,,ECA1JHG222,1610,50,
100,2.2,48.229,5,11,0.08,1000,0.5,2.0,5.0,2.5,ECA2AHG2R2( ),21,200,2000
100,3.3,32.153,5,11,0.08,1000,0.5,2.0,5.0,2.5,ECA2AHG3R3( ),31,200,2000
100,4.7,22.575,5,11,0.08,1000,0.5,2.0,5.0,2.5,ECA2AHG4R7( ),38,200,2000
100,10,10.61,6.3,11.2,0.08,1000,0.5,2.5,5.0,2.5,ECA2AHG100( ),54,200,2000
100,22,4.823,6.3,11.2,0.08,1000,0.5,2.5,5.0,2.5,ECA2AHG220( ),93,200,2000
100,33,3.215,8,11.5,0.08,1000,0.6,3.5,5.0,,ECA2AHG330( ),130,200,1000
100,47,2.258,10,12.5,0.08,2000,0.6,5.0,5.0,,ECA2AHG470( ),165,200,500
100,100,1.061,10,20,0.08,2000,0.6,5.0,5.0,,ECA2AHG101( ),265,200,500
100,220,0.482,12.5,25,0.08,2000,0.6,5.0,5.0,,ECA2AHG221( ),440,200,500
100,330,0.322,16,25,0.08,2000,0.8,7.5,7.5,,ECA2AHG331( ),540,100,250
100,470,0.226,16,25,0.08,2000,0.8,7.5,7.5,,ECA2AHG471( ),715,100,250
100,1000,0.106,18,35.5,0.08,2000,0.8,7.5,,,ECA2AHG102,985,50,
160,2.2,90.429,6.3,11.2,0.15,2000,0.5,2.5,5.0,2.5,ECA2CHG2R2( ),25,200,2000
160,3.3,60.286,6.3,11.2,0.15,2000,0.5,2.5,5.0,2.5,ECA2CHG3R3( ),36,200,2000
