Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Max Ripple Current 105°C@100kHz,Max Ripple Current 125°C@100kHz,Ripple Current 125°C@100kHz
250,27,7.368,12.5,20,0.15,2380,1780,1780
250,39,5.101,12.5,25,0.15,3050,2280,2280
250,47,4.233,10,40,0.15,3260,2440,2440
250,47,4.233,16,20,0.15,3050,2280,2280
250,51,3.901,12.5,30,0.15,3710,2770,2770
275,27,7.368,12.5,20,0.15,2390,1790,1790
275,39,5.101,12.5,25,0.15,3060,2290,2290
275,47,4.233,10,40,0.15,3280,2450,2450
275,47,4.233,16,20,0.15,3040,2270,2270
275,51,3.901,12.5,30,0.15,3720,2780,2780
290,22,9.043,12.5,20,0.15,2330,1740,1740
290,33,6.029,12.5,25,0.15,3000,2240,2240
290,39,5.101,10,40,0.15,3200,2390,2390
290,39,5.101,16,20,0.15,3000,2240,2240
290,43,4.627,12.5,30,0.15,3630,2710,2710
