Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Impedance @100kHz,Lead Diameter,Lead Space,Lead Space Taping,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@60Hz,Straight leads,Taping,VC
80,47,1.221,1.104,8,11.5,0.08,2.258,6000,0.16,0.6,3.5,5,EEUFS1K470( ),490,466.01,342.66,414.62,294.69,200,1000,3760
80,56,1.024,0.927,8,11.5,0.08,1.895,6000,0.16,0.6,3.5,5,EEUFS1K560( ),490,466.01,342.66,414.62,294.69,200,1000,4480
80,68,0.844,0.763,8,15,0.08,1.56,8000,0.112,0.6,3.5,5,EEUFS1K680( ),590,561.12,412.59,499.23,354.83,200,1000,5440
80,82,0.7,0.633,8,15,0.08,1.294,8000,0.112,0.6,3.5,5,EEUFS1K820( ),590,561.12,412.59,499.23,354.83,200,1000,6560
80,100,0.574,0.519,8,20,0.08,1.061,9000,0.096,0.6,3.5,5,EEUFS1K101L( ),810,770.35,566.43,685.38,487.13,200,1000,8000
80,120,0.478,0.432,8,20,0.08,0.884,9000,0.096,0.6,3.5,5,EEUFS1K121L( ),810,770.35,566.43,685.38,487.13,200,1000,9600
80,150,0.382,0.346,10,16,0.08,0.707,8000,0.072,0.6,5,5,EEUFS1K151( ),930,884.48,650.35,786.92,559.3,200,500,12000
80,180,0.319,0.288,10,20,0.08,0.589,10000,0.054,0.6,5,5,EEUFS1K181( ),1120,1065.17,783.22,947.69,673.57,200,500,14400
80,220,0.261,0.236,10,20,0.08,0.482,10000,0.054,0.6,5,5,EEUFS1K221( ),1120,1065.17,783.22,947.69,673.57,200,500,17600
80,270,0.212,0.192,10,25,0.08,0.393,10000,0.044,0.6,5,5,EEUFS1K271L( ),1200,1141.26,839.16,1015.38,721.68,200,500,21600
80,390,0.159,0.154,12.5,25,0.08,0.272,10000,0.034,0.6,5,5,EEUFS1K391( ),1800,1772.93,1353.38,1624.06,1177.44,200,500,31200
80,470,0.132,0.128,16,20,0.08,0.226,10000,0.032,0.8,7.5,7.5,EEUFS1K471S( ),1450,1428.2,1090.23,1308.27,948.5,100,250,37600
80,560,0.11,0.107,12.5,35,0.08,0.189,10000,0.023,0.8,5,--,EEUFS1K561L( ),2380,2344.21,1789.47,2147.37,1556.84,100,--,44800
80,680,0.091,0.088,16,25,0.08,0.156,10000,0.025,0.8,7.5,7.5,EEUFS1K681( ),2500,2462.41,1879.7,2255.64,1635.34,100,250,54400
100,27,1.461,1.186,8,11.5,0.08,3.93,6000,0.16,0.6,3.5,5,EEUFS2A270( ),490,441.54,269.23,366.15,220.77,200,1000,2700
100,33,1.195,0.971,8,11.5,0.08,3.215,6000,0.16,0.6,3.5,5,EEUFS2A330( ),490,441.54,269.23,366.15,220.77,200,1000,3300
100,39,,,8,15,0.08,2.721,8000,0.112,0.6,3.5,5,EEUFS2A390( ),590,,,,,200,1000,3900
100,47,1.221,1.104,8,15,0.08,2.258,8000,0.112,0.6,3.5,5,EEUFS2A470L( ),590,561.12,412.59,499.23,354.83,200,1000,4700
100,56,1.024,0.927,8,20,0.08,1.895,9000,0.096,0.6,3.5,5,EEUFS2A560L( ),810,770.35,566.43,685.38,487.13,200,1000,5600
100,68,0.844,0.763,8,20,0.08,1.56,9000,0.096,0.6,3.5,5,EEUFS2A680L( ),810,770.35,566.43,685.38,487.13,200,1000,6800
100,120,0.478,0.432,10,20,0.08,0.884,10000,0.054,0.6,5,5,EEUFS2A121( ),1120,1065.17,783.22,947.69,673.57,200,500,12000
100,150,0.382,0.346,10,25,0.08,0.707,10000,0.044,0.6,5,5,EEUFS2A151L( ),1200,1141.26,839.16,1015.38,721.68,200,500,15000
100,180,0.319,0.288,12.5,25,0.08,0.589,10000,0.034,0.6,5,5,EEUFS2A181( ),1800,1711.89,1258.74,1523.08,1082.52,200,500,18000
100,220,0.261,0.236,12.5,25,0.08,0.482,10000,0.034,0.6,5,5,EEUFS2A221( ),1800,1711.89,1258.74,1523.08,1082.52,200,500,22000
100,270,0.212,0.192,16,20,0.08,0.393,10000,0.032,0.8,7.5,7.5,EEUFS2A271S( ),1450,1379.02,1013.99,1226.92,872.03,100,250,27000
100,330,0.174,0.157,12.5,35,0.08,0.322,10000,0.023,0.8,5,--,EEUFS2A331L( ),2380,2263.5,1664.34,2013.85,1431.33,100,--,33000
100,390,0.159,0.154,16,25,0.08,0.272,10000,0.025,0.8,7.5,7.5,EEUFS2A391( ),2500,2462.41,1879.7,2255.64,1635.34,100,250,39000
