Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@120Hz
400,33,8.038,10,30,0.2,EKWA401E□□330MJ30S,320
400,39,6.801,10,35,0.2,EKWA401E□□390MJ35S,370
400,47,5.644,10,40,0.2,EKWA401E□□470MJ40S,420
400,56,4.737,10,45,0.2,EKWA401E□□560MJ45S,480
400,56,4.737,12.5,30,0.2,EKWA401E□□560MK30S,460
400,68,3.901,12.5,35,0.2,EKWA401E□□680MK35S,530
400,82,3.235,12.5,40,0.2,EKWA401E□□820MK40S,610
400,82,3.235,14.5,31.5,0.2,EKWA401E□□820MUN3S,590
400,100,2.653,12.5,45,0.2,EKWA401E□□101MK45S,690
400,100,2.653,14.5,40,0.2,EKWA401E□□101MU40S,700
400,100,2.653,16,31.5,0.2,EKWA401E□□101MLN3S,710
400,120,2.21,14.5,45,0.2,EKWA401E□□121MU45S,790
400,120,2.21,16,35,0.2,EKWA401E□□121ML35S,800
400,120,2.21,18,31.5,0.2,EKWA401E□□121MMN3S,800
420,33,8.038,10,30,0.2,EKWA421E□□330MJ30S,320
420,39,6.801,10,35,0.2,EKWA421E□□390MJ35S,370
420,47,5.644,10,40,0.2,EKWA421E□□470MJ40S,420
420,56,4.737,10,50,0.2,EKWA421E□□560MJ50S,500
420,56,4.737,12.5,30,0.2,EKWA421E□□560MK30S,460
420,68,3.901,12.5,35,0.2,EKWA421E□□680MK35S,530
420,68,3.901,14.5,31.5,0.2,EKWA421E□□680MUN3S,530
420,82,3.235,12.5,40,0.2,EKWA421E□□820MK40S,610
420,82,3.235,14.5,35,0.2,EKWA421E□□820MU35S,620
420,100,2.653,12.5,50,0.2,EKWA421E□□101MK50S,680
420,100,2.653,14.5,40,0.2,EKWA421E□□101MU40S,700
420,100,2.653,16,31.5,0.2,EKWA421E□□101MLN3S,710
420,120,2.21,14.5,45,0.2,EKWA421E□□121MU45S,790
420,120,2.21,16,35,0.2,EKWA421E□□121ML35S,800
420,120,2.21,18,31.5,0.2,EKWA421E□□121MMN3S,800
450,27,9.824,10,30,0.2,EKWA451E□□270MJ30S,290
450,33,8.038,10,35,0.2,EKWA451E□□330MJ35S,340
450,39,6.801,10,40,0.2,EKWA451E□□390MJ40S,380
450,47,5.644,10,45,0.2,EKWA451E□□470MJ45S,440
450,47,5.644,12.5,30,0.2,EKWA451E□□470MK30S,420
450,56,4.737,12.5,35,0.2,EKWA451E□□560MK35S,480
450,68,3.901,12.5,40,0.2,EKWA451E□□680MK40S,550
450,68,3.901,14.5,31.5,0.2,EKWA451E□□680MUN3S,530
450,82,3.235,12.5,45,0.2,EKWA451E□□820MK45S,630
450,82,3.235,14.5,35,0.2,EKWA451E□□820MU35S,620
450,82,3.235,16,31.5,0.2,EKWA451E□□820MLN3S,640
450,100,2.653,14.5,45,0.2,EKWA451E□□101MU45S,720
450,100,2.653,16,35,0.2,EKWA451E□□101ML35S,730
450,120,2.21,18,31.5,0.2,EKWA451E□□121MMN3S,800
