Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Part Number,Ripple Current 125°C@100kHz,Ripple Current 150°C@100kHz
25,1100,0.169,0.12,12.5,20,0.14,1.4,EGQB250E□□112MK20H,2620,1100
25,1600,0.116,0.08,12.5,25,0.14,1.0,EGQB250E□□162MK25H,2910,1300
25,1800,0.103,0.07,16,20,0.14,1.0,EGQB250E□□182ML20H,3590,1460
25,2400,0.088,0.058,18,20,0.16,0.9,EGQB250E□□242MM20H,3830,1560
25,2700,0.079,0.05,16,25,0.16,0.8,EGQB250E□□272ML25H,4560,1720
25,3600,0.066,0.042,18,25,0.18,0.7,EGQB250E□□362MM25H,4800,1800
35,560,0.284,0.15,12.5,20,0.12,4.5,EGQB350E□□561MK20H,2230,1000
35,750,0.212,0.12,12.5,25,0.12,3.4,EGQB350E□□751MK25H,2680,1200
35,910,0.175,0.1,16,20,0.12,3.0,EGQB350E□□911ML20H,3110,1260
35,1200,0.133,0.084,18,20,0.12,2.0,EGQB350E□□122MM20H,3250,1320
35,1400,0.114,0.067,16,25,0.12,2.0,EGQB350E□□142ML25H,4060,1600
35,1800,0.088,0.058,18,25,0.12,1.4,EGQB350E□□182MM25H,4500,1680
